[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 1] Καὶ ἦν ὁ βασιλεὺς Σαλωμὼν βασιλεύων ἐπὶ Ἰσραήλ.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 2] Καὶ οὗτοι ἄρχοντες οἳ ἦσαν αὐτῷ· Ἀζαρίας υἱὸς Σαδώκ·
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 3] Ἐλιὰφ καὶ Ἀχιὰ υἱὸς Σηβὰ γραμματεῖς· καὶ Ἰωσαφὰτ υἱὸς Ἀχιλοὺδ ἀναμιμνήσκων·
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 4] Καὶ Βαναίας υἱὸν Ἰωδαὲ ἐπὶ τῆς δυνάμεως· καὶ Σαδὼκ καὶ Ἀβιάθαρ ἱερεῖς·
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 5] Καὶ Ὀρνία υἱὸς Νάθαν ἐπὶ τῶν καθεσταμένων· καὶ Ζαβοὺθ υἱὸς Νάθαν ἑταῖρος τοῦ βασιλέως·
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 6] Καὶ Ἀχισὰρ ἦν οἰκονόμος· καὶ Ἐλιὰκ ὁ οἰκονόμος· καὶ Ἐλιὰβ υἱὸς Σὰφ ἐπὶ τῆς πατριᾶς· καὶ Ἀδωνιρὰμ υἱὸς Αὐδῶν ἐπὶ τῶν φόρων.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 7] Καὶ τῷ Σαλωμὼν δώδεκα καθεστάμενοι ἐπὶ πάντα Ἰσραήλ, χορηγεῖν τῷ βασιλεῖ καὶ τῷ οἴκῳ αὐτοῦ· μῆνα ἐν τῷ ἐνιαυτῷ ἐγίνετο ἐπὶ τὸν ἕνα χορηγεῖν.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 8] Καὶ ταῦτα τὰ ὀνόματα αὐτῶν. Βεὲν υἱὸς Ὢρ ἐν ὄρει Ἐφραὶμ εἷς.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 9] Υἱὸς Δακὰρ ἐν Μακὲς, καὶ ἐν Σαλαβὶν, καὶ Βαιθσαμὺς, καὶ Ἐλὼν ἕως Βηθανὰν εἷς.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 10] Υἱὸς Ἐσδὶ, ἐν Ἀραβὼθ, αὐτοῦ Σωχὼ καὶ πᾶσα ἡ γῆ Ὀφέρ.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 11] Υἱοῦ Ἀμιναδὰβ πᾶσα Νεφθαδὼρ, Τεφὰθ θυγάτηρ Σαλωμὼν ἦν αὐτῷ εἰς γυναῖκα, εἷς.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 12] Βανὰ υἱὸς Ἀχιλοὺθ τὴν Ἰθαανὰχ, καὶ Μαγεδδὼ, καὶ πᾶς ὁ οἶκος Σὰν ὁ παρὰ Σεσαθὰν ὑποκάτω τοῦ Ἐσραὲ, καὶ ἐκ Βηθσὰν ἕως Σαβελμαουλᾶ, ἕως Μαεβὲρ Λουκάμ, εἷς.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 13] Υἱὸς Ναβὲρ ἐν Ῥαβὼθ Γαλαὰδ, τούτῳ σχοίνισμα Ἐργὰβ ἐν τῇ Βασὰν, ἑξήκοντα πόλεις μεγάλαι τειχήρεις καὶ μοχλοὶ χαλκοῖ, εἷς.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 14] Ἀχιναδὰβ υἱὸς Σαδδὼ Μααναΐμ.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 15] Ἀχιμαὰς ἐν Νεφθαλίμ, καὶ οὗτος ἔλαβε τὴν Βασεμμὰθ θυγατέρα Σαλωμὼν εἰς γυναῖκα, εἷς.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 16] Βαανὰ υἱὸς Χουσὶ ἐν Ἀσὴρ καὶ ἐν Βααλὼθ, εἷς.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 17] Σεμεῒ υἱὸς Ἠλὰ ἐν τῷ Βενιαμίν.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 18] Γαβὲρ υἱὸς Ἀδαῒ ἐν τῇ γῇ Γὰδ Σηὼν βασιλέως τοῦ Ἐσεβὼν καὶ Ὢγ βασιλέως τοῦ Βασὰν, καὶ νασὲφ εἷς ἐν γῇ Ἰούδα.
[LXX | EL | OT | 1 Kings | Chapter 4 | Verse 19] Ἰωσαφὰτ υἱὸς Φουασοὺδ ἐν Ἱσσάχαρ.
