[LXX | EL | OT | 1 Kings | Chapter 22 | Verse 1] Καὶ ἐκάθισε τὰ τρία ἔτη, καὶ οὐκ ἦν πόλεμος ἀναμέσον Συρίας καὶ ἀναμέσον Ἰσραήλ.
[LXX | EL | OT | 1 Kings | Chapter 22 | Verse 2] Καὶ ἐγενήθη ἐν τῷ ἐνιαυτῷ τῷ τρίτῳ, καὶ κατέβη Ἰωσαφὰτ βασιλεὺς Ἰούδα πρὸς βασιλέα Ἰσραήλ.
[LXX | EL | OT | 1 Kings | Chapter 22 | Verse 3] Καὶ εἶπε βασιλεὺς Ἰσραὴλ πρὸς τοὺς παῖδας αὐτοῦ, εἰ οἴδατε ὅτι ἡμῖν Ῥεμμὰθ Γαλαὰδ, καὶ ἡμεῖς σιωπῶμεν λαβεῖν αὐτὴν ἐκ χειρὸς βασιλέως Συρίας;
[LXX | EL | OT | 1 Kings | Chapter 22 | Verse 4] Καὶ εἶπε βασιλεὺς Ἰσραὴλ πρὸς Ἰωσαφὰτ, ἀναβήσῃ μεθʼ ἡμῶν εἰς Ῥεμμὰθ Γαλαὰδ εἰς πόλεμον;
[LXX | EL | OT | 1 Kings | Chapter 22 | Verse 5] Καὶ εἶπεν Ἰωσαφὰτ, καθὼς ἐγὼ, καὶ σὺ οὕτως· καθὼς ὁ λαός μου, ὁ λαός σου· καθὼς οἱ ἵπποι μου, οἱ ἵπποι σου. Καὶ εἶπεν Ἰωσαφὰτ βασιλεὺς Ἰούδα πρὸς βασιλέα Ἰσραὴλ, ἐπερωτήσατε δὴ σήμερον τὸν Κύριον.
[LXX | EL | OT | 1 Kings | Chapter 22 | Verse 6] Καὶ συνήθροισεν ὁ βασιλεὺς Ἰσραὴλ πάντας τοὺς προφήτας ὡς τετρακοσίους ἄνδρας, καὶ εἶπεν αὐτοῖς ὁ βασιλεὺς, εἰ πορευθῶ εἰς Ῥεμμὰθ Γαλαὰδ εἰς πόλεμον ἢ ἐπισχῶ; καὶ εἶπον, ἀνάβαινε, καὶ διδοὺς δώσει Κύριος εἰς χεῖρας τοῦ βασιλέως.
[LXX | EL | OT | 1 Kings | Chapter 22 | Verse 7] Καὶ εἶπεν Ἰωσαφὰτ πρὸς βασιλέα Ἰσραὴλ, οὐκ ἔστιν ὧδε προφήτης τοῦ κυρίου, καὶ ἐπερωτήσομεν τὸν κύριον διʼ αὐτοῦ;
[LXX | EL | OT | 1 Kings | Chapter 22 | Verse 8] Καὶ εἶπεν ὁ βασιλεὺς Ἰσραὴλ πρὸς Ἰωσαφὰτ, εἷς ἐστιν ἀνὴρ εἰς τὸ ἐπερωτῆσαι δὀ αὐτοῦ τὸν Κύριον, καὶ ἐγὼ μεμίσηκα αὐτὸν, ὄτι οὐ λαλεῖ περὶ ἐμοῦ καλὰ, ἀλλʼ ἢ κακὰ, Μιχαίας υἱὸς Ἰεμβλαά· καὶ εἶπεν Ἰωσαφὰτ βασιλεὺς Ἰούδα, μὴ λεγέτω ὁ βασιλεὺς οὕτως.
[LXX | EL | OT | 1 Kings | Chapter 22 | Verse 9] Καὶ ἐκάλεσεν ὁ βασιλεὺς Ἰσραὴλ εὐνοῦχον ἕνα, καὶ εἶπε, τοτάχος Μιχαίαν υἱὸν Ἰεμβλαά.
[LXX | EL | OT | 1 Kings | Chapter 22 | Verse 10] Καὶ ὁ βασιλεὺς Ἰσραὴλ καὶ Ἰωσαφὰτ βασιλεὺς Ἰούδα ἐκάθηντο ἀνὴρ ἐπὶ τοῦ θρόνου αὐτοῦ ἔνοπλοι ἐν ταῖς πύλαις Σαμαρείας· καὶ πάντες οἱ προφῆται ἐπροφήτευον ἐνώπιον αὐτῶν.
[LXX | EL | OT | 1 Kings | Chapter 22 | Verse 11] Καὶ ἐποίησεν ἑαυτῷ Σεδεκίας υἱὸς Χαναὰν κέρατα σιδηρᾶ, καὶ εἶπε, τάδε λέγει Κύριος, ἐν τούτοις κερατιεῖς τὴν Συρίαν ἕως συντελεσθῇ.
