[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 1] आदाम, शेथ, अनोश,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 2] केनान, महललेल, यारेद,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 3] हनोख, मथुशलह, लामेख,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 4] नोहा, शेम, हाम आणि याफेथ.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 5] याफेथाचे पुत्रः गोमर, मागोग, माद्य, यावान, तुबाल, मेशेख, तीरास
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 6] गोमरचे पुत्र आष्कनाज, रीफाथ, तोगार्मा
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 7] यावानाचे पुत्र अलीशा, तार्शीश, कित्तीम, दोदानीम.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 8] हामाचे पुत्र कूश, मिस्राईम, पूट व कनान.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 9] कूशचे पुत्र सबा, हवीला, सब्ता, रामा, साब्तका, रामाचे पुत्र शबा आणि ददान.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 10] कूशाने निम्रोदाला जन्म दिला, जो पृथ्वीवरचा पहिला जगजेत्ता बनला.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 11] मिस्राईमने लूदीम, अनामीम, लहाबीम, नाप्तुहीम
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 12] पात्रुसीम, कास्लूहीम (ज्यांच्यापासून पलिष्टी झाले) व कफतोरीम यांना जन्म दिला.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 13] आणि कनानाचा ज्येष्ठ पुत्र सीदोन व त्यानंतर हेथ,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 14] यबूसी, अमोरी, गिर्गाशी,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 15] हिव्वी, आर्की, शीनी
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 16] अर्वादी, समारी, हमाथी हे होत.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 17] एलाम, अश्शूर, अर्पक्षद, लूद आणि अराम, ऊस, हूल, गेतेर आणि मेशेख हे शेमचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 18] शेलहचा पिता अर्पक्षद आणि एबरचे पिता शेलह.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 19] एबरला दोन पुत्र झाले. एकाचे नाव पेलेग होते, कारण त्याच्या दिवसात पृथ्वीची विभागणी झाली. पेलेगच्या बंधूचे नाव यक्तान.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 20] यक्तानने अलमोदाद, शेलेफ, हसर्मावेथ, येरह,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 21] हदोराम, ऊजाल, दिक्ला,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 22] एबाल, अबीमाएल, शबा,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 23] ओफीर, हवीला, योबाब यांना जन्म दिला. हे सर्व यक्तानाचे पुत्र होते.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 24] शेम, अर्पक्षद, शेलह,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 25] एबर, पेलेग, रऊ
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 26] सरुग, नाहोर, तेरह,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 27] अब्राम म्हणजेच अब्राहाम.
