[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 1] बेला हा बन्यामीनचा ज्येष्ठ पुत्र. आशबेल हा दुसरा आणि अहरह हा तिसरा.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 2] चौथा नोहा व पाचवा राफा.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 3] आणि बेलाचे पुत्र अद्दार, गेरा, अबीहूद,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 4] अबीशूवा, नामान, अहोह,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 5] गेरा, शफूफान आणि हुराम हे बेलाचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 6] एहूदाचे पुत्र गिबा येथल्या पितृकुलाचे प्रमुख होते. त्यास पाडाव करून मानाहथ येथे नेले.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 7] नामान, अहीया व गेरा यांस त्याने कैदी करून नेले. त्यास उज्जा व अहिहूद हे झाले.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 8] शहरयिमाने मवाबात आपल्या पत्नी हुशीम आणि बारा यांना घटस्फोट दिला. यानंतर त्यास दुसऱ्या एका पत्नीपासून अपत्ये झाली.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 9] त्याची पत्नी होदेश हिच्यापासून त्यास योबाब, सिब्या, मेशा, मल्काम,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 10] यऊस, शख्या, मिर्मा हे पुत्र झाले. ते आपल्या पित्याच्या घराण्यांचे प्रमुख होते.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 11] हुशीम पासून शहरयिमाला अबीटूब आणि एल्पाल हे पुत्र झाले.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 12] एबर, मिशाम शमेद, बरीया आणि शमा हे एल्पालाचे पुत्र. शमेदने ओनो आणि लोद व त्या आसपासची गावे वसवली.
