[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 1] यानंतर असे झाले की, दावीदाने पलिष्ट्यांवर स्वारी केली आणि त्यांचा पराभव केला. त्याने पलिष्ट्यांच्या हातातून गथ आणि त्यांची गावे घेतली.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 2] मग त्याने मवाबाचा पराभव केला आणि मवाबी लोक दावीदाचे सेवक झाले आणि त्यास कर देऊ लागले.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 3] मग सोबाचा राजा हद्देजर आपल्या राज्याची सीमा फरात नदीपर्यंत स्थिर करण्यास जात असता दावीदाने हमाथाजवळ त्याचा पराभव केला.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 4] दावीदाने त्याच्याकडून एक हजार रथ, सात हजार सारथी, आणि वीस हजार पायदळ एवढे घेतले. दावीदाने रथाच्या जवळपास सर्व घोड्यांच्या शिरा तोडल्या पण त्यातून शंभर रथाचे घोडे मात्र त्याने शाबूत ठेवले.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 5] जेव्हा दिमिष्क नगरातील अरामी लोक सोबाचा राजा हद्देजर याच्या मदतीला आले, त्यांच्यापैकी बावीस हजार लोकांसही दावीदाने जिवे मारले.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 6] नंतर अराममधील दिमिष्कात दावीदाने बस्थान बसविले. अरामी लोक दावीदाचे सेवक होऊन त्यास कर देऊ लागले. अशाप्रकारे दावीद जेथे जेथे जात असे तेथे परमेश्वर त्यास जय देत असे.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 7] हद्देजराच्या सेवकांच्या सोन्याच्या ढाली दावीदाने काढून घेतल्या आणि त्या यरूशलेमेला आणल्या.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 8] हद्देजराची नगरे टिमथ आणि कून यातून दावीदाने पुष्कळ पितळही हस्तगत केले. हे पितळ वापरुन नंतर शलमोनाने पितळी समुद्र, गंगाळ व स्तंभ आणि पितळी भांडी बनवली.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 9] जेव्हा दावीदाने सोबाचा राजा हद्देजर याच्या सर्व सैन्याचा पराभव केल्याची बातमी तोवू हमाथ नगराचा राजा याने ऐकली.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 10] तेव्हा त्याने हदोराम या आपल्या पुत्राला दावीद राजाचे क्षेमकुशल विचारण्यासाठी आणि त्याचे अभिनंदन करण्यासाठी त्याच्याकडे पाठवले, कारण दावीद हद्देजराविरुध्द लढला व त्याचा पराभव केला, तोवू आणि हद्देजर यांच्यात लढाया होतच असत. हदोरामने आपल्याबरोबर सोने, रुपे, पितळ याची भांडी आणली.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 11] जे सोने रुपे त्याने सर्व राष्ट्रांपासून, अदोम, मवाब, अम्मोनी, पलिष्टी आणि अमालेकी यांच्यापासून घेतले होते, ती भांडीही दावीद राजाने परमेश्वरास समर्पिली.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 12] सरुवेचा पुत्र अबीशय याने क्षार खोऱ्यात अठरा हजार अदोमी लोकांस मारले.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 13] अदोमामध्ये अबीशयने मजबूत बस्थान बसविले आणि सर्व अदोमी दावीदाचे सेवक झाले. परमेश्वराने दावीदाला जेथे कोठे तो गेला तेथे त्यास जय मिळवून दिला.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 14] दावीदाने सर्व इस्राएलावर राज्य केले आणि त्याने त्याच्या सर्व लोकांचा योग्य न्याय करत असे व नीतिने वागत असे.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 15] सरुवेचा पुत्र यवाब हा दावीदाच्या सैन्याचा मुख्य अधिकारी होता. अहीलुदाचा पुत्र यहोशाफाट अखबारनवीस त्याचा अधिकारी होता.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 16] अहीटूबचा पुत्र सादोक आणि अब्याथारचा पुत्र अबीमलेख याजक होते. शवूशा हा नियमशास्त्र शिक्षक होता.
[IRV | MR | OT | 1 Chronicles | Chapter 18 | Verse 17] यहोयादाचा पुत्र बनाया हा करेथी व पलेथी लोकांवरील जबाबदार अधिकारी होता. दावीदाचे पुत्र राजाचे मुख्य सल्लागार होते.
