[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 1] अहरोनाच्या वंशजांची वर्गवारी नादाब, अबीहू एलाजार व इथामार.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 2] पण नादाब आणि अबीहू हे दोघे आपल्या पित्याच्या आधीच मरण पावले. त्यांना अपत्य ही नव्हती. तेव्हा एलाजार आणि इथामार हेच याजक झाले.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 3] दावीद व एलाजाराच्या वंशातला सादोक आणि इथामार यांच्या वंशातला अहीमलेख यांनी त्यांच्या नेमणुकीप्रमाणे त्यांच्या सेवेसाठी त्यांची वाटणी केली.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 4] इथामारापेक्षा एलाजाराच्या वंशजात वडीलधारी प्रमुख मंडळी अधिक निघाली. एलाजाराच्या वंशजात सोळा जण तर इथामारच्या वंशजात आठ जण प्रमुख होते.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 5] दोन्ही वंशजातील पुरुषांची निवड चिठ्ठ्या टाकून केली. काहीजणांना पवित्रस्थानाच्या देखभालीचे अधिकारी आणि देवाकडचे अधिकारी असे केले. हे सर्वजण एलाजार आणि इथामार यांच्या वंशजातलेच होते.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 6] आणि लेव्यांतला लेखक, नथनेलाचा पुत्र शमाया याने राजा व अधिकारी, सादोक याजक, अब्याथारचा पुत्र अहीमलेख, याजक आणि लेवी यांच्या घराण्यातील प्रमुख ह्याच्यासमोर त्यांची नावे लिहिली. चिठ्ठ्या टाकून एलाजाराच्या कुळाच्या वंशातून निवड करण्यात येई आणि पुढच्या वेळेला इथामार यांच्या कुळातील वंशातून निवड करण्यात येई.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 7] पहिली चिठ्ठी यहोयारीबाची निघाली. दुसरी यदायाची,
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 8] तिसरी हारीमाची, चौथी सोरीमाची,
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 9] पाचवी मल्कीयाची, सहावी मयामिनाची,
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 10] सातवी हक्कोसाची, आठवी अबीयाची.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 11] नववी येशूवाची, दहावी शकन्याची,
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 12] अकरावी एल्याशिबाची, बारावी याकीमाची
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 13] तेरावी हुप्पाची, चवदावी येशेबाबाची,
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 14] पंधरावी बिल्गाची, सोळावी इम्मेराची.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 15] सतरावी हेजीराची, अठरावी हप्पिसेसाची,
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 16] एकोणीसावी पथह्याची, विसावी यहेजकेलाची,
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 17] एकविसावी याखीनाची, बाविसावी गामूलची,
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 18] तेविसावी दलायाची आणि चोविसावी माज्याची.
