[IRV | UR | NT | Matthew | Chapter 14 | Verse 1] उस वक़्त चौथाई मुल्क के हाकिम हेरोदेस ने ईसा की शोहरत सुनी।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 2] और अपने ख़ादिमों से कहा “ये यूहन्ना बपतिस्मा देनेवाला है वो मुर्दों में से जी उठा है; इसलिए उससे ये मोजिज़े ज़ाहिर होते हैं।”
[IRV | UR | NT | Matthew | Chapter 14 | Verse 3] क्यूँकि हेरोदेस ने अपने भाई फ़िलिप्पुस की बीवी हेरोदियास की वजह से यूहन्ना को पकड़ कर बाँधा और क़ैद खाने में डाल दिया था।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 4] क्यूँकि यूहन्ना ने उससे कहा था कि इसका रखना तुझे जायज़ नहीं।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 5] और वो हर चन्द उसे क़त्ल करना चाहता था, मगर आम लोगों से डरता था क्यूँकि वो उसे नबी मानते थे।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 6] लेकिन जब हेरोदेस की साल गिरह हुई तो हेरोदियास की बेटी ने महफ़िल में नाच कर हेरोदेस को ख़ुश किया।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 7] इस पर उसने क़सम खाकर उससे वा'दा किया “जो कुछ तू माँगेगी तुझे दूँगा।”
[IRV | UR | NT | Matthew | Chapter 14 | Verse 8] उसने अपनी माँ के सिखाने से कहा, “मुझे यूहन्ना बपतिस्मा देने वाले का सिर थाल में यहीं मँगवा दे।”
[IRV | UR | NT | Matthew | Chapter 14 | Verse 9] बादशाह ग़मगीन हुआ; मगर अपनी क़समों और मेहमानों की वजह से उसने हुक्म दिया कि दे दिया जाए।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 10] और आदमी भेज कर क़ैद खाने में यूहन्ना का सिर कटवा दिया।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 11] और उस का सिर थाल में लाया गया और लड़की को दिया गया; और वो उसे अपनी माँ के पास ले गई।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 12] और उसके शागिर्दों ने आकर लाश उठाई और उसे दफ़्न कर दिया, और जा कर ईसा को ख़बर दी।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 13] जब ईसा ने ये सुना तो वहाँ से नाव पर अलग किसी वीरान जगह को रवाना हुआ और लोग ये सुनकर शहर — शहर से पैदल उसके पीछे गए।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 14] उसने उतर कर बड़ी भीड़ देखी और उसे उन पर तरस आया; और उसने उनके बीमारों को अच्छा कर दिया।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 15] जब शाम हुई तो शागिर्द उसके पास आकर कहने लगे “जगह वीरान है और वक़्त गुज़र गया है लोगों को रुख़्सत कर दे ताकि गाँव में जाकर अपने लिए खाना ख़रीद लें।”
[IRV | UR | NT | Matthew | Chapter 14 | Verse 16] ईसा ने उनसे कहा, “इन्हें जाने की ज़रूरत नहीं, तुम ही इनको खाने को दो।”
[IRV | UR | NT | Matthew | Chapter 14 | Verse 17] उन्होंने उससे कहा “यहाँ हमारे पास पाँच रोटियाँ और दो मछलियों के सिवा और कुछ नहीं।”
[IRV | UR | NT | Matthew | Chapter 14 | Verse 18] उसने कहा “वो यहाँ मेरे पास ले आओ,”
[IRV | UR | NT | Matthew | Chapter 14 | Verse 19] और उसने लोगों को घास पर बैठने का हुक्म दिया। फिर उस ने वो पाँच रोटियों और दो मछलियाँ लीं और आसमान की तरफ़ देख कर बर्क़त दी और रोटियाँ तोड़ कर शागिर्दों को दीं और शागिर्दों ने लोगों को।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 20] और सब खाकर सेर हो गए; और उन्होंने बिना इस्तेमाल बचे हुए खाने से भरी हुई बारह टोकरियाँ उठाईं।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 21] और खानेवाले औरतों और बच्चों के सिवा पाँच हज़ार मर्द के क़रीब थे।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 22] और उसने फ़ौरन शागिर्दों को मजबूर किया कि नाव में सवार होकर उससे पहले पार चले जाएँ जब तक वो लोगों को रुख़्सत करे।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 23] और लोगों को रुख़्सत करके तन्हा दुआ करने के लिए पहाड़ पर चढ़ गया; और जब शाम हुई तो वहाँ अकेला था।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 24] मगर नाव उस वक़्त झील के बीच में थी और लहरों से डगमगा रही थी; क्यूँकि हवा मुख़ालिफ़ थी।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 25] और वो रात के चौथे पहर झील पर चलता हुआ उनके पास आया।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 26] शागिर्द उसे झील पर चलते हुए देखकर घबरा गए और कहने लगे “भूत है,” और डर कर चिल्ला उठे।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 27] ईसा ने फ़ौरन उन से कहा “इत्मीनान रख्खो! मैं हूँ। डरो मत।”
[IRV | UR | NT | Matthew | Chapter 14 | Verse 28] पतरस ने उससे जवाब में कहा “ऐ ख़ुदावन्द, अगर तू है तो मुझे हुक्म दे कि पानी पर चलकर तेरे पास आऊँ।”
[IRV | UR | NT | Matthew | Chapter 14 | Verse 29] उस ने कहा, “आ।” पतरस नाव से उतर कर ईसा के पास जाने के लिए पानी पर चलने लगा।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 30] मगर जब हवा देखी तो डर गया और जब डूबने लगा तो चिल्ला कर कहा “ऐ ख़ुदावन्द, मुझे बचा!”
[IRV | UR | NT | Matthew | Chapter 14 | Verse 31] ईसा ने फ़ौरन हाथ बढ़ा कर उसे पकड़ लिया। और उससे कहा, “ऐ कम ईमान तूने क्यूँ शक किया?”
[IRV | UR | NT | Matthew | Chapter 14 | Verse 32] जब वो नाव पर चढ़ आए तो हवा थम गई;
[IRV | UR | NT | Matthew | Chapter 14 | Verse 33] जो नाव पर थे, उन्होंने सज्दा करके कहा “यक़ीनन तू ख़ुदा का बेटा है!”
[IRV | UR | NT | Matthew | Chapter 14 | Verse 34] वो नदी पार जाकर गनेसरत के इलाक़े में पहुँचे।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 35] और वहाँ के लोगों ने उसे पहचान कर उस सारे इलाक़े में ख़बर भेजी; और सब बीमारों को उस के पास लाए।
[IRV | UR | NT | Matthew | Chapter 14 | Verse 36] और वो उसकी मिन्नत करने लगे कि उसकी पोशाक का किनारा ही छू लें और जितनों ने उसे छुआ वो अच्छे हो गए।
