[IRV | UR | NT | Matthew | Chapter 28 | Verse 1] सबत के बाद हफ़्ते के पहले दिन धूप निकलते वक़्त मरियम मग़दलिनी और दूसरी मरियम क़ब्र को देखने आईं।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 2] और देखो, एक बड़ा भुन्चाल आया क्यूँकि ख़ुदा का फ़रिश्ता आसमान से उतरा और पास आकर पत्थर को लुढ़का दिया; और उस पर बैठ गया।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 3] उसकी सूरत बिजली की तरह थी, और उसकी पोशाक बर्फ़ की तरह सफ़ेद थी।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 4] और उसके डर से निगहबान काँप उठे, और मुर्दा से हो गए।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 5] फ़रिश्ते ने औरतों से कहा, “तुम न डरो। क्यूँकि मैं जानता हूँ कि तुम ईसा को ढूँड रही हो जो मस्लूब हुआ था।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 6] वो यहाँ नहीं है, क्यूँकि अपने कहने के मुताबिक़ जी उठा है; आओ ये जगह देखो जहाँ ख़ुदावन्द पड़ा था।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 7] और जल्दी जा कर उस के शागिर्दों से कहो वो मुर्दों में से जी उठा है, और देखो; वो तुम से पहले गलील को जाता है वहाँ तुम उसे देखोगे, देखो मैंने तुम से कह दिया है।”
[IRV | UR | NT | Matthew | Chapter 28 | Verse 8] और वो ख़ौफ़ और बड़ी ख़ुशी के साथ क़ब्र से जल्द रवाना होकर उसके शागिर्दों को ख़बर देने दौड़ीं।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 9] और देखो ईसा उन से मिला, और उस ने कहा, “सलाम।” उन्होंने पास आकर उसके क़दम पकड़े और उसे सज्दा किया।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 10] इस पर ईसा ने उन से कहा, “डरो नहीं। जाओ, मेरे भाइयों से कहो कि गलील को चले जाएँ, वहाँ मुझे देखेंगे।”
[IRV | UR | NT | Matthew | Chapter 28 | Verse 11] जब वो जा रही थीं, तो देखो; पहरेदारों में से कुछ ने शहर में आकर तमाम माजरा सरदार काहिनों से बयान किया।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 12] और उन्होंने बुज़ुर्गों के साथ जमा होकर मशवरा किया और सिपाहियों को बहुत सा रुपऐ दे कर कहा,
[IRV | UR | NT | Matthew | Chapter 28 | Verse 13] “ये कह देना, कि रात को जब हम सो रहे थे उसके शागिर्द आकर उसे चुरा ले गए।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 14] अगर ये बात हाकिम के कान तक पहुँची तो हम उसे समझाकर तुम को ख़तरे से बचा लेंगे”
[IRV | UR | NT | Matthew | Chapter 28 | Verse 15] पस उन्होंने रुपऐ लेकर जैसा सिखाया गया था, वैसा ही किया; और ये बात यहूदियों में मशहूर है।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 16] और ग्यारह शागिर्द गलील के उस पहाड़ पर गए, जो ईसा ने उनके लिए मुक़र्रर किया था।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 17] उन्होंने उसे देख कर सज्दा किया, मगर कुछ ने शक किया।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 18] ईसा ने पास आ कर उन से बातें की और कहा “आस्मान और ज़मीन का कुल इख़्तियार मुझे दे दिया गया है।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 19] पस तुम जा कर सब क़ौमों को शागिर्द बनाओ और उन को बाप और बेटे और रूह — उल — क़ुद्दूस के नाम से बपतिस्मा दो।
[IRV | UR | NT | Matthew | Chapter 28 | Verse 20] और उन को ये ता'लीम दो, कि उन सब बातों पर अमल करें जिनका मैंने तुम को हुक्म दिया; और देखो, मैं दुनिया के आख़िर तक हमेशा तुम्हारे साथ हूँ।”
