[IRV | UR | NT | Matthew | Chapter 9 | Verse 1] फिर वो नाव पर चढ़ कर पार गया; और अपने शहर में आया।
[IRV | UR | NT | Matthew | Chapter 9 | Verse 2] और देखो, लोग एक फ़ालिज के मारे हुए को जो चारपाई पर पड़ा हुआ था उसके पास लाए; ईसा ने उसका ईमान देखकर मफ़्लूज से कहा “बेटा, इत्मीनान रख। तेरे गुनाह मुआफ़ हुए।”
[IRV | UR | NT | Matthew | Chapter 9 | Verse 3] और देखो कुछ आलिमों ने अपने दिल में कहा, “ये कुफ़्र बकता है”
[IRV | UR | NT | Matthew | Chapter 9 | Verse 4] ईसा ने उनके ख़याल मा'लूम करके कहा, “तुम क्यूँ अपने दिल में बुरे ख़याल लाते हो?
[IRV | UR | NT | Matthew | Chapter 9 | Verse 5] आसान क्या है? ये कहना तेरे गुनाह मु'आफ़ हुए; या ये कहना; उठ और चल फिर।
[IRV | UR | NT | Matthew | Chapter 9 | Verse 6] लेकिन इसलिए कि तुम जान लो कि इबने आदम को ज़मीन पर गुनाह मु'आफ़ करने का इख़्तियार है,” उसने फ़ालिज का मारे हुए से कहा, “उठ, अपनी चारपाई उठा और अपने घर चला जा।”
[IRV | UR | NT | Matthew | Chapter 9 | Verse 7] वो उठ कर अपने घर चला गया।
[IRV | UR | NT | Matthew | Chapter 9 | Verse 8] लोग ये देख कर डर गए; और ख़ुदा की बड़ाई करने लगे; जिसने आदमियों को ऐसा इख़्तियार बख़्शा।
[IRV | UR | NT | Matthew | Chapter 9 | Verse 9] ईसा ने वहाँ से आगे बढ़कर मत्ती नाम एक शख़्स को महसूल की चौकी पर बैठे देखा; और उस से कहा, “मेरे पीछे हो ले।” वो उठ कर उसके पीछे हो लिया।
[IRV | UR | NT | Matthew | Chapter 9 | Verse 10] जब वो घर में खाना खाने बैठा; तो ऐसा हुआ कि बहुत से महसूल लेने वाले और गुनहगार आकर ईसा और उसके शागिर्दों के साथ खाना खाने बैठे।
[IRV | UR | NT | Matthew | Chapter 9 | Verse 11] फ़रीसियों ने ये देख कर उसके शागिर्दों से कहा, “तुम्हारा उस्ताद महसूल लेने वालों और गुनहगारों के साथ क्यूँ खाता है?”
[IRV | UR | NT | Matthew | Chapter 9 | Verse 12] उसने ये सुनकर कहा, “तन्दरुस्तों को हकीम की ज़रुरत नहीं बल्कि बीमारों को।
[IRV | UR | NT | Matthew | Chapter 9 | Verse 13] मगर तुम जाकर उसके मा'ने मा'लूम करो:मैं क़ुर्बानी नहीं बल्कि रहम पसन्द करता हूँ। क्यूँकि मैं रास्तबाज़ों को नहीं बल्कि गुनाहगारों को बुलाने आया हूँ।”
[IRV | UR | NT | Matthew | Chapter 9 | Verse 14] उस वक़्त यूहन्ना के शागिर्दों ने उसके पास आकर कहा, “क्या वजह है कि हम और फ़रीसी तो अक्सर रोज़ा रखते हैं, और तेरे शागिर्द रोज़ा नहीं रखते?”
[IRV | UR | NT | Matthew | Chapter 9 | Verse 15] ईसा ने उस से कहा, “क्या बाराती जब तक दुल्हा उनके साथ है, मातम कर सकते हैं? मगर वो दिन आएँगे; कि दुल्हा उनसे जुदा किया जाएगा; उस वक़्त वो रोज़ा रखेंगे।
[IRV | UR | NT | Matthew | Chapter 9 | Verse 16] कोरे कपड़े का पैवन्द पुरानी पोशाक में कोई नहीं लगाता क्यूँकि वो पैवन्द पोशाक में से कुछ खींच लेता है और वो ज़्यादा फट जाती है।
