[IRV | UR | NT | Matthew | Chapter 27 | Verse 1] जब सुबह हुई तो सब सरदार काहिनों और क़ौम के बुज़ुर्गों ने ईसा के ख़िलाफ़ मशवरा किया कि उसे मार डालें।
[IRV | UR | NT | Matthew | Chapter 27 | Verse 2] और उसे बाँध कर ले गए, और पीलातुस हाकिम के हवाले किया।
[IRV | UR | NT | Matthew | Chapter 27 | Verse 3] जब उसके पकड़वाने वाले यहूदाह ने ये देखा, कि वो मुजरिम ठहराया गया, तो अफ़्सोस किया और वो तीस रुपऐ सरदार काहिन और बुज़ुर्गों के पास वापस लाकर कहा।
[IRV | UR | NT | Matthew | Chapter 27 | Verse 4] “मैंने गुनाह किया, कि बेक़ुसूर को क़त्ल के लिए पकड़वाया।” उन्हों ने कहा “हमें क्या! तू जान।”
[IRV | UR | NT | Matthew | Chapter 27 | Verse 5] वो रुपऐऊँ को मक़दिस में फेंक कर चला गया। और जाकर अपने आपको फाँसी दी।
[IRV | UR | NT | Matthew | Chapter 27 | Verse 6] सरदार काहिन ने रुपऐ लेकर कहा “इनको हैकल के ख़ज़ाने में डालना जायज़ नहीं; क्यूँकि ये ख़ून की क़ीमत है।”
[IRV | UR | NT | Matthew | Chapter 27 | Verse 7] पस उन्होंने मशवरा करके उन रुपऐऊँ से कुम्हार का खेत परदेसियों के दफ़्न करने के लिए ख़रीदा।
[IRV | UR | NT | Matthew | Chapter 27 | Verse 8] इस वजह से वो खेत आज तक ख़ून का खेत कहलाता है।
[IRV | UR | NT | Matthew | Chapter 27 | Verse 9] उस वक़्त वो पूरा हुआ जो यरमियाह नबी के ज़रिए कहा गया था कि जिसकी क़ीमत ठहराई गई थी, “उन्होंने उसकी क़ीमत के वो तीस रुपऐ ले लिए, (उसकी क़ीमत कुछ बनी इस्राईल ने ठहराई थी)
[IRV | UR | NT | Matthew | Chapter 27 | Verse 10] और उसको कुम्हार के खेत के लिए दिया, जैसा ख़ुदावन्द ने मुझे हुक्म दिया।”
[IRV | UR | NT | Matthew | Chapter 27 | Verse 11] ईसा हाकिम के सामने खड़ा था, और हाकिम ने उससे पूछा, क्या तू यहूदियों का बादशाह है? ईसा ने उस से कहा, “तू ख़ुद कहता है।”
[IRV | UR | NT | Matthew | Chapter 27 | Verse 12] जब सरदार काहिन और बुज़ुर्ग उस पर इल्ज़ाम लगा रहे थे, उसने कुछ जवाब न दिया।
[IRV | UR | NT | Matthew | Chapter 27 | Verse 13] इस पर पीलातुस ने उस से कहा “क्या तू नहीं सुनता, ये तेरे ख़िलाफ़ कितनी गवाहियाँ देते हैं?”
[IRV | UR | NT | Matthew | Chapter 27 | Verse 14] उसने एक बात का भी उसको जवाब न दिया, यहाँ तक कि हाकिम ने बहुत ता'ज्जुब किया।
[IRV | UR | NT | Matthew | Chapter 27 | Verse 15] और हाकिम का दस्तूर था, कि ईद पर लोगों की ख़ातिर एक क़ैदी जिसे वो चाहते थे छोड़ देता था।
[IRV | UR | NT | Matthew | Chapter 27 | Verse 16] उस वक़्त बरअब्बा नाम उन का एक मशहूर क़ैदी था।
[IRV | UR | NT | Matthew | Chapter 27 | Verse 17] पस जब वो इकटठे हुए तो पीलातुस ने उस से कहा, “तुम किसे चाहते हो कि तुम्हारी ख़ातिर छोड़ दूँ? बरअब्बा को या ईसा को जो मसीह कहलाता है?”
[IRV | UR | NT | Matthew | Chapter 27 | Verse 18] क्यूँकि उसे मा'लूम था, कि उन्होंने उसको जलन से पकड़वाया है।
