[IRV | UR | NT | Matthew | Chapter 17 | Verse 1] छः दिन के बाद ईसा ने पतरस, को और याक़ूब और उसके भाई यूहन्ना को साथ लिया और उन्हें एक ऊँचे पहाड़ पर ले गया।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 2] और उनके सामने उसकी सूरत बदल गई; और उसका चेहरा सूरज की तरह चमका और उसकी पोशाक नूर की तरह सफ़ेद हो गई।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 3] और देखो; मूसा और एलियाह उसके साथ बातें करते हुए उन्हें दिखाई दिए।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 4] पतरस ने ईसा से कहा “ऐ ख़ुदावन्द, हमारा यहाँ रहना अच्छा है; मर्ज़ी हो तो मैं यहाँ तीन डेरे बनाऊँ। एक तेरे लिए; एक मूसा के लिए; और एक एलियाह के लिए।”
[IRV | UR | NT | Matthew | Chapter 17 | Verse 5] वो ये कह ही रहा था कि देखो; “एक नूरानी बादल ने उन पर साया कर लिया और उस बादल में से आवाज़ आई; ये मेरा प्यारा बेटा है जिससे मैं ख़ुश हूँ; उसकी सुनो।”
[IRV | UR | NT | Matthew | Chapter 17 | Verse 6] शागिर्द ये सुनकर मुँह के बल गिरे और बहुत डर गए।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 7] ईसा ने पास आ कर उन्हें छुआ और कहा, “उठो, डरो मत।”
[IRV | UR | NT | Matthew | Chapter 17 | Verse 8] जब उन्होंने अपनी आँखें उठाईं तो ईसा के सिवा और किसी को न देखा।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 9] जब वो पहाड़ से उतर रहे थे तो ईसा ने उन्हें ये हुक्म दिया “जब तक इब्न — ए — आदम मुर्दों में से जी न उठे; जो कुछ तुम ने देखा है किसी से इसका ज़िक्र न करना।”
[IRV | UR | NT | Matthew | Chapter 17 | Verse 10] शागिर्दों ने उस से पूछा, “फिर आलिम क्यूँ कहते हैं कि एलियाह का पहले आना ज़रूर है?”
[IRV | UR | NT | Matthew | Chapter 17 | Verse 11] उस ने जवाब में कहा, “एलियाह अलबत्ता आएगा और सब कुछ बहाल करेगा।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 12] लेकिन मैं तुम से कहता हूँ; कि एलियाह तो आ चुका और उन्हों ने उसे नहीं पहचाना बल्कि जो चाहा उसके साथ किया; इसी तरह इबने आदम भी उनके हाथ से दु:ख उठाएगा।”
[IRV | UR | NT | Matthew | Chapter 17 | Verse 13] और शागिर्द समझ गए; कि उसने उनसे यूहन्ना बपतिस्मा देने वाले के बारे में कहा है।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 14] और जब वो भीड़ के पास पहुँचे तो एक आदमी उसके पास आया; और उसके आगे घुटने टेक कर कहने लगा।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 15] “ऐ ख़ुदावन्द, मेरे बेटे पर रहम कर, क्यूँकि उसको मिर्गी आती है और वो बहुत दु:ख उठाता है; इसलिए कि अक्सर आग और पानी में गिर पड़ता है।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 16] और मैं उसको तेरे शागिर्दों के पास लाया था; मगर वो उसे अच्छा न कर सके।”
[IRV | UR | NT | Matthew | Chapter 17 | Verse 17] ईसा ने जवाब में कहा, “ऐ बे ऐ'तिक़ाद और टेढ़ी नस्ल मैं कब तक तुम्हारे साथ रहूँगा? कब तक तुम्हारी बर्दाश्त करूँगा? उसे यहाँ मेरे पास लाओ।”
[IRV | UR | NT | Matthew | Chapter 17 | Verse 18] ईसा ने उसे झिड़का और बदरूह उससे निकल गई; वो लड़का उसी वक़्त अच्छा हो गया।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 19] तब शागिर्दों ने ईसा के पास आकर तन्हाई में कहा “हम इस को क्यूँ न निकाल सके?”
[IRV | UR | NT | Matthew | Chapter 17 | Verse 20] उस ने उनसे कहा, “अपने ईमान की कमी की वजह से ‘क्यूँकि मैं तुम से सच कहता हूँ, कि अगर तुम में राई के दाने के बराबर भी ईमान होगा’ तो इस पहाड़ से कह सकोगे; यहाँ से सरक कर वहाँ चला जा, और वो चला जाएगा; और कोई बात तुम्हारे लिए नामुमकिन न होगी।”
[IRV | UR | NT | Matthew | Chapter 17 | Verse 21] (लेकिन ये क़िस्म दुआ और रोज़े के सिवा और किसी तरह नहीं निकल सकती)
[IRV | UR | NT | Matthew | Chapter 17 | Verse 22] जब वो गलील में ठहरे हुए थे, ईसा ने उनसे कहा, “इब्न — ए — आदम आदमियों के हवाले किया जाएगा।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 23] और वो उसे क़त्ल करेंगे और तीसरे दिन ज़िन्दा किया जाएगा।” इस पर वो बहुत ही ग़मगीन हुए।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 24] और जब कफ़रनहूम में आए तो नीम मिस्क़ाल लेनेवालों ने पतरस के पास आकर कहा, “क्या तुम्हारा उस्ताद नीम मिस्क़ाल नहीं देता?”
[IRV | UR | NT | Matthew | Chapter 17 | Verse 25] उसने कहा, “हाँ देता है।” और जब वो घर में आया तो ईसा ने उसके बोलने से पहले ही कहा, ऐ “शमौन तू क्या समझता है? दुनिया के बादशाह किनसे महसूल या जिज़िया लेते हैं; अपने बेटों से या ग़ैरों से?”
[IRV | UR | NT | Matthew | Chapter 17 | Verse 26] जब उसने कहा, “ग़ैरों से,” तो ईसा ने उनसे कहा, “पस बेटे बरी हुए।
[IRV | UR | NT | Matthew | Chapter 17 | Verse 27] लेकिन मुबाद हम इनके लिए ठोकर का बा'इस हों तू झील पर जाकर बन्सी डाल और जो मछली पहले निकले उसे ले और जब तू उसका मुँह खोलेगा; तो एक चाँदी का सिक्का पाएगा; वो लेकर मेरे और अपने लिए उन्हें दे।”
