[IRV | UR | NT | Matthew | Chapter 7 | Verse 1] बुराई न करो, कि तुम्हारी भी बुराई न की जाए।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 2] क्यूँकि जिस तरह तुम बुराई करते हो उसी तरह तुम्हारी भी बुराई की जाएगी और जिस पैमाने से तुम नापते हो उसी से तुम्हारे लिए नापा जाएगा।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 3] तू क्यूँ अपने भाई की आँख के तिनके को देखता है और अपनी आँख के शहतीर पर ग़ौर नहीं करता?
[IRV | UR | NT | Matthew | Chapter 7 | Verse 4] और जब तेरी ही आँख में शहतीर है तो तू अपने भाई से क्यूँ कर कह सकता है, 'ला, तेरी आँख में से तिनका निकाल दूँ?
[IRV | UR | NT | Matthew | Chapter 7 | Verse 5] ऐ रियाकार, पहले अपनी आँख में से तो शहतीर निकाल, फिर अपने भाई की आँख में से तिनके को अच्छी तरह देख कर निकाल सकता है।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 6] पाक चीज़ कुत्तों को ना दो, और अपने मोती सुअरों के आगे न डालो, ऐसा न हो कि वो उनको पाँव के तले रौंदें और पलट कर तुम को फाड़ें।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 7] माँगो तो तुम को दिया जाएगा। ढूँडो तो पाओगे; दरवाज़ा खटखटाओ तो तुम्हारे लिए खोला जाएगा।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 8] क्यूँकि जो कोई माँगता है उसे मिलता है; और जो ढूँडता है वो पाता है और जो खटखटाता है उसके लिए खोला जाएगा।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 9] तुम में ऐसा कौन सा आदमी है, कि अगर उसका बेटा उससे रोटी माँगे तो वो उसे पत्थर दे?
[IRV | UR | NT | Matthew | Chapter 7 | Verse 10] या अगर मछली माँगे तो उसे साँप दे!
[IRV | UR | NT | Matthew | Chapter 7 | Verse 11] पस जबकि तुम बुरे होकर अपने बच्चों को अच्छी चीज़ें देना जानते हो, तो तुम्हारा बाप जो आसमान पर है; अपने माँगने वालों को अच्छी चीज़ें क्यूँ न देगा।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 12] पस जो कुछ तुम चाहते हो कि लोग तुम्हारे साथ करें वही तुम भी उनके साथ करो; क्यूँकि तौरेत और नबियों की ता'लीम यही है।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 13] तंग दरवाज़े से दाख़िल हो, क्यूँकि वो दरवाज़ा चौड़ा है, और वो रास्ता चौड़ा है जो हलाकत को पहुँचाता है; और उससे दाख़िल होने वाले बहुत हैं।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 14] क्यूँकि वो दरवाज़ा तंग है और वो रास्ता सुकड़ा है जो ज़िन्दगी को पहुँचाता है और उस के पाने वाले थोड़े हैं।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 15] झूठे नबियों से ख़बरदार रहो! जो तुम्हारे पास भेड़ों के भेस में आते हैं; मगर अन्दर से फाड़ने वाले भेड़िये की तरह हैं।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 16] उनके फलों से तुम उनको पहचान लोगे; क्या झाड़ियों से अंगूर या ऊँट कटारों से अंजीर तोड़ते हैं?
[IRV | UR | NT | Matthew | Chapter 7 | Verse 17] इसी तरह हर एक अच्छा दरख़्त अच्छा फल लाता है और बुरा दरख़्त बुरा फल लाता है।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 18] अच्छा दरख़्त बुरा फल नहीं ला सकता, न बुरा दरख़्त अच्छा फल ला सकता है।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 19] जो दरख़्त अच्छा फल नहीं लाता वो काट कर आग में डाला जाता है।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 20] पस उनके फलों से तुम उनको पहचान लोगे।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 21] “जो मुझ से ऐ ख़ुदावन्द! ‘ऐ ख़ुदावन्द!’ कहते हैं उन में से हर एक आस्मान की बादशाही में दाख़िल न होगा। मगर वही जो मेरे आस्मानी बाप की मर्ज़ी पर चलता है।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 22] उस दिन बहुत से मुझसे कहेंगे, ‘ऐ ख़ुदावन्द! ख़ुदावन्द! क्या हम ने तेरे नाम से नबुव्वत नहीं की, और तेरे नाम से बदरूहों को नहीं निकाला और तेरे नाम से बहुत से मोजिज़े नहीं दिखाए?’
[IRV | UR | NT | Matthew | Chapter 7 | Verse 23] उस दिन मैं उन से साफ़ कह दूँगा, मेरी तुम से कभी वाक़फ़ियत न थी, ऐ बदकारो! मेरे सामने से चले जाओ।”
[IRV | UR | NT | Matthew | Chapter 7 | Verse 24] “पस जो कोई मेरी यह बातें सुनता और उन पर अमल करता है वह उस अक़्लमन्द आदमी की तरह ठहरेगा जिस ने चट्टान पर अपना घर बनाया।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 25] और मेंह बरसा और पानी चढ़ा और आन्धियाँ चलीं और उस घर पर टक्करें लगीं; लेकिन वो न गिरा क्यूँकि उस की बुनियाद चट्टान पर डाली गई थी।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 26] और जो कोई मेरी यह बातें सुनता है और उन पर अमल नहीं करता वह उस बेवक़ूफ़ आदमी की तरह ठहरेगा जिस ने अपना घर रेत पर बनाया।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 27] और मेंह बरसा और पानी चढ़ा और आन्धियाँ चलीं, और उस घर को सदमा पहुँचा और वो गिर गया, और बिल्कुल बरबाद हो गया।”
[IRV | UR | NT | Matthew | Chapter 7 | Verse 28] जब ईसा ने यह बातें ख़त्म कीं तो ऐसा हुआ कि भीड़ उस की तालीम से हैरान हुई।
[IRV | UR | NT | Matthew | Chapter 7 | Verse 29] क्यूँकि वह उन के आलिमों की तरह नहीं बल्कि साहिब — ए — इख़्तियार की तरह उनको ता'लीम देता था।
