[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 1] जब शहरपनाह बन गई, और मैंने उसके फाटक खड़े किए, और द्वारपाल, और गवैये, और लेवीय लोग ठहराये गए,
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 2] तब मैंने अपने भाई हनानी और राजगढ़ के हाकिम हनन्याह को यरूशलेम का अधिकारी ठहराया, क्योंकि यह सच्चा पुरुष और बहुतेरों से अधिक परमेश्वर का भय माननेवाला था।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 3] और मैंने उनसे कहा, “जब तक धूप कड़ी न हो, तब तक यरूशलेम के फाटक न खोले जाएँ और जब पहरुए पहरा देते रहें, तब ही फाटक बन्द किए जाएँ और बेड़े लगाए जाएँ। फिर यरूशलेम के निवासियों में से तू रखवाले ठहरा जो अपना-अपना पहरा अपने-अपने घर के सामने दिया करें।”
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 4] नगर तो लम्बा चौड़ा था, परन्तु उसमें लोग थोड़े थे, और घर नहीं बने थे।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 5] तब मेरे परमेश्वर ने मेरे मन में यह उपजाया कि रईसों, हाकिमों और प्रजा के लोगों को इसलिए इकट्ठे करूँ, कि वे अपनी-अपनी वंशावली के अनुसार गिने जाएँ। और मुझे पहले-पहल यरूशलेम को आए हुओं का वंशावली पत्र मिला, और उसमें मैंने यह लिखा हुआ पाया।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 6] जिनको बाबेल का राजा, नबूकदनेस्सर बन्दी बना करके ले गया था, उनमें से प्रान्त के जो लोग बँधुआई से छूटकर, यरूशलेम और यहूदा के अपने-अपने नगर को आए।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 7] वे जरुब्बाबेल, येशुअ, नहेम्याह, अजर्याह, राम्याह, नहमानी, मोर्दकै, बिलशान, मिस्पेरेत, बिगवै, नहूम और बानाह के संग आए। इस्राएली प्रजा के लोगों की गिनती यह है:
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 8] परोश की सन्तान दो हजार एक सौ बहत्तर,
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 9] शपत्याह की सन्तान तीन सौ बहत्तर,
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 10] आरह की सन्तान छः सौ बावन।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 11] पहत्मोआब की सन्तान याने येशुअ और योआब की सन्तान, दो हजार आठ सौ अठारह।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 12] एलाम की सन्तान बारह सौ चौवन,
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 13] जत्तू की सन्तान आठ सौ पैंतालीस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 14] जक्कई की सन्तान सात सौ साठ।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 15] बिन्नूई की सन्तान छः सौ अड़तालीस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 16] बेबै की सन्तान छः सौ अट्ठाईस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 17] अजगाद की सन्तान दो हजार तीन सौ बाईस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 18] अदोनीकाम की सन्तान छः सौ सड़सठ।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 19] बिगवै की सन्तान दो हजार सड़सठ।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 20] आदीन की सन्तान छः सौ पचपन।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 21] हिजकिय्याह की सन्तान आतेर के वंश में से अट्ठानवे।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 22] हाशूम, की सन्तान तीन सौ अट्ठाईस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 23] बेसै की सन्तान तीन सौ चौबीस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 24] हारीफ की सन्तान एक सौ बारह।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 25] गिबोन के लोग पंचानबे।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 26] बैतलहम और नतोपा के मनुष्य एक सौ अट्ठासी।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 27] अनातोत के मनुष्य एक सौ अट्ठाईस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 28] बेतजमावत के मनुष्य बयालीस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 29] किर्यत्यारीम, कपीरा, और बेरोत के मनुष्य सात सौ तैंतालीस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 30] रामाह और गेबा के मनुष्य छः सौ इक्कीस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 31] मिकमाश के मनुष्य एक सौ बाईस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 32] बेतेल और आई के मनुष्य एक सौ तेईस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 33] दूसरे नबो के मनुष्य बावन।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 34] दूसरे एलाम की सन्तान बारह सौ चौवन।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 35] हारीम की सन्तान तीन सौ बीस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 36] यरीहो के लोग तीन सौ पैंतालीस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 37] लोद हादीद और ओनो के लोग सात सौ इक्कीस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 38] सना के लोग तीन हजार नौ सौ तीस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 39] फिर याजक अर्थात् येशुअ के घराने में से यदायाह की सन्तान नौ सौ तिहत्तर।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 40] इम्मेर की सन्तान एक हजार बावन।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 41] पशहूर की सन्तान बारह सौ सैंतालीस।
[IRV | HI | OT | Nehemiah | Chapter 7 | Verse 42] हारीम की सन्तान एक हजार सत्रह।
