[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 1] जब सम्बल्लत ने सुना कि यहूदी लोग शहरपनाह को बना रहे हैं, तब उसने बुरा माना, और बहुत रिसियाकर यहूदियों को उपहास में उड़ाने लगा।
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 2] वह अपने भाइयों के और सामरिया की सेना के सामने यह कहने लगा, “वे निर्बल यहूदी क्या करना चाहते हैं? क्या वे वह काम अपने बल से करेंगे? क्या वे अपना स्थान दृढ़ करेंगे? क्या वे यज्ञ करेंगे? क्या वे आज ही सब को निपटा डालेंगे? क्या वे मिट्टी के ढेरों में के जले हुए पत्थरों को फिर नये सिरे से बनाएँगे?”
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 3] उसके पास तो अम्मोनी तोबियाह था, और वह कहने लगा, “जो कुछ वे बना रहे हैं, यदि कोई गीदड़ भी उस पर चढ़े, तो वह उनकी बनाई हुई पत्थर की शहरपनाह को तोड़ देगा।”
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 4] हे हमारे परमेश्वर सुन ले, कि हमारा अपमान हो रहा है; और उनका किया हुआ अपमान उन्हीं के सिर पर लौटा दे, और उन्हें बँधुआई के देश में लुटवा दे।
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 5] और उनका अधर्म तू न ढाँप, और न उनका पाप तेरे सम्मुख से मिटाया जाए; क्योंकि उन्होंने तुझे शहरपनाह बनानेवालों के सामने क्रोध दिलाया है।
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 6] हम लोगों ने शहरपनाह को बनाया; और सारी शहरपनाह आधी ऊँचाई तक जुड़ गई। क्योंकि लोगों का मन उस काम में नित लगा रहा।
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 7] जब सम्बल्लत और तोबियाह और अरबियों, अम्मोनियों और अश्दोदियों ने सुना, कि यरूशलेम की शहरपनाह की मरम्मत होती जाती है, और उसमें के नाके बन्द होने लगे हैं, तब उन्होंने बहुत ही बुरा माना;
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 8] और सभी ने एक मन से गोष्ठी की, कि जाकर यरूशलेम से लड़ें, और उसमें गड़बड़ी डालें।
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 9] परन्तु हम लोगों ने अपने परमेश्वर से प्रार्थना की, और उनके डर के मारे उनके विरुद्ध दिन-रात के पहरुए ठहरा दिए।
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 10] परन्तु यहूदी कहने लगे, “ढोनेवालों का बल घट गया, और मिट्टी बहुत पड़ी है, इसलिए शहरपनाह हम से नहीं बन सकती।”
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 11] और हमारे शत्रु कहने लगे, “जब तक हम उनके बीच में न पहुँचे, और उन्हें घात करके वह काम बन्द न करें, तब तक उनको न कुछ मालूम होगा, और न कुछ दिखाई पड़ेगा।”
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 12] फिर जो यहूदी उनके आस-पास रहते थे, उन्होंने सब स्थानों से दस बार आ आकर, हम लोगों से कहा, “तुम को हमारे पास लौट आना चाहिये।”
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 13] इस कारण मैंने लोगों को तलवारें, बर्छियाँ और धनुष देकर शहरपनाह के पीछे सबसे नीचे के खुले स्थानों में घराने-घराने के अनुसार बैठा दिया।
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 14] तब मैं देखकर उठा, और रईसों और हाकिमों और सब लोगों से कहा, “उनसे मत डरो; प्रभु जो महान और भययोग्य है, उसी को स्मरण करके, अपने भाइयों, बेटों, बेटियों, स्त्रियों और घरों के लिये युद्ध करना।”
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 15] जब हमारे शत्रुओं ने सुना, कि यह बात हमको मालूम हो गई है और परमेश्वर ने उनकी युक्ति निष्फल की है, तब हम सब के सब शहरपनाह के पास अपने-अपने काम पर लौट गए।
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 16] और उस दिन से मेरे आधे सेवक तो उस काम में लगे रहे और आधे बर्छियों, तलवारों, धनुषों और झिलमों को धारण किए रहते थे; और यहूदा के सारे घराने के पीछे हाकिम रहा करते थे।
[IRV | HI | OT | Nehemiah | Chapter 4 | Verse 17] शहरपनाह को बनानेवाले और बोझ के ढोनेवाले दोनों भार उठाते थे, अर्थात् एक हाथ से काम करते थे और दूसरे हाथ से हथियार पकड़े रहते थे।
