[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 1] And it cometh to pass after this, the sons of Moab have come in, and the sons of Ammon, and with them of the peoples, against Jehoshaphat to battle.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 2] And they come in and declare to Jehoshaphat, saying, 'Come against thee hath a great multitude from beyond the sea, from Aram, and lo, they [are] in Hazezon-Tamar — it [is] En-Gedi.'
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 3] And Jehoshaphat feareth, and setteth his face to seek to Jehovah, and proclaimeth a fast over all Judah;
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 4] and Judah is gathered to inquire of Jehovah; also, from all the cities of Judah they have come in to seek Jehovah.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 5] And Jehoshaphat standeth in the assembly of Judah and Jerusalem, in the house of Jehovah, at the front of the new court,
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 6] and saith, 'O Jehovah, God of our fathers, art not Thou — God in the heavens? yea, Thou art ruling over all kingdoms of the nations, and in Thy hand [is] power and might, and there is none with Thee to station himself.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 7] 'Art not Thou our God? Thou hast dispossessed the inhabitants of this land from before Thy people Israel, and dost give it to the seed of Abraham Thy friend to the age,
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 8] and they dwell in it, and build to Thee in it a sanctuary for Thy name, saying,
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 9] If evil doth come upon us — sword, judgment, and pestilence, and famine — we stand before this house, and before Thee, for Thy name [is] in this house, and cry unto Thee out of our distress, and Thou dost hear and save.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 10] 'And now, lo, sons of Ammon, and Moab, and mount Seir, whom Thou didst not grant to Israel to go in against in their coming out of the land of Egypt, for they turned aside from off them and destroyed them not,
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 11] and lo, they are recompensing to us — to come in to drive us out of Thy possession, that Thou hast caused us to possess.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 12] 'O our God, dost Thou not execute judgment upon them? for there is no power in us before this great multitude that hath come against us, and we know not what we do, but on Thee [are] our eyes.'
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 13] And all Judah are standing before Jehovah, also their infants, their wives, and their sons.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 14] And upon Jahaziel, son of Zechariah, son of Benaiah, son of Jeiel, son of Mattaniah, the Levite, of the sons of Asaph, hath the Spirit of Jehovah been, in the midst of the assembly,
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 15] and he saith, 'Attend, all Judah, and ye inhabitants of Jerusalem, and O king Jehoshaphat, Thus said Jehovah to you, Ye fear not, nor are afraid of the face of this great multitude, for not for you [is] the battle, but for God.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 16] To-morrow, go ye down against them, lo, they are coming up by the ascent of Ziz, and ye have found them in the end of the valley, the front of the wilderness of Jeruel.
