[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 1] And Jehoshaphat his son reigneth in his stead, and he strengtheneth himself against Israel,
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 2] and putteth a force in all the fenced cities of Judah, and putteth garrisons in the land of Judah, and in the cities of Ephraim that Asa his father had captured.
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 3] And Jehovah is with Jehoshaphat, for he hath walked in the first ways of David his father, and hath not sought to Baalim,
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 4] for to the God of his father he hath sought, and in His commands he hath walked, and not according to the work of Israel.
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 5] And Jehovah doth establish the kingdom in his hand, and all Judah give a present to Jehoshaphat, and he hath riches and honour in abundance,
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 6] and his heart is high in the ways of Jehovah, and again he hath turned aside the high places and the shrines out of Judah.
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 7] And in the third year of his reign he hath sent for his heads, for Ben-Hail, and for Obadiah, and for Zechariah, and for Nethaneel, and for Michaiah, to teach in cities of Judah,
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 8] and with them the Levites, Shemaiah, and Nethaniah, and Zebadiah, and Asahel, and Shemiramoth, and Jehonathan, and Adonijah, and Tobijath, and Tob-Adonijah, the Levites; and with them Elishama and Jehoram, the priests.
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 9] And they teach in Judah, and with them [is] the Book of the Law of Jehovah, and they go round about into all cities of Judah, and teach among the people.
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 10] And here is a fear of Jehovah on all kingdoms of the lands that [are] round about Judah, and they have not fought with Jehoshaphat;
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 11] and of the Philistines they are bringing in to Jehoshaphat a present, and tribute silver; also, the Arabians are bringing to him a flock, rams seven thousand an seven hundred, and he-goats seven thousand and seven hundred.
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 12] And Jehoshaphat is going on and becoming very great, and he buildeth in Judah palaces and cities of store,
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 13] and he hath much work in cities of Judah; and men of war, mighty of valour, [are] in Jerusalem.
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 14] And these [are] their numbers, for the house of their fathers: Of Judah, heads of thousands, Adnah the head, and with him mighty ones of valour, three hundred chiefs.
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 15] And at his hand [is] Jehohanan the head, and with him two hundred and eighty chiefs.
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 16] And at his hand [is] Amasiah son of Zichri, who is willingly offering himself to Jehovah, and with him two hundred chiefs, mighty of valour.
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 17] And of Benjamin: mighty of valour, Eliada, and with him, armed with bow and shield, two hundred chiefs.
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 18] And at his hand [is] Jehozabad, and with him a hundred and eighty chiefs, armed ones of the host.
[YLT | EN | OT | 2 Chronicles | Chapter 17 | Verse 19] These [are] those serving the king, apart from those whom the king put in the cities of fortress, in all Judah.
