[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 1] And the queen of Sheba hath heard of the fame of Solomon, and cometh in to try Solomon with acute sayings, to Jerusalem, with a very great company, and camels bearing spices and gold in abundance, and precious stone; and she cometh in unto Solomon, and speaketh with him all that hath been with her heart,
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 2] and Solomon declareth to her all her matters, and there hath not been hid a thing from Solomon that he hath not declared to her.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 3] And the queen of Sheba seeth the wisdom of Solomon, and the house that he hath built,
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 4] and the food of his table, and the sitting of his servants, and the standing of his ministers, and their clothing, and his stewards, and their clothing, an his burnt-offering that he offered up in the house of Jehovah, and there hath not been any more spirit in her.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 5] And she saith unto the king, 'True [is] the word that I heard in my land concerning thy matters and concerning thy wisdom,
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 6] and I have given no credence to their words, till that I have come, and mine eyes see, and lo, there hath not been declared to me the half of the abundance of thy wisdom — thou hast added unto the report that I heard.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 7] 'O the happiness of thy men, and the happiness of thy servants — these — who are standing before thee continually, and hearing thy wisdom.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 8] Let Jehovah thy God be blessed who hath delighted in thee, to put thee on His throne for king for Jehovah thy God; in the love of thy God to Israel, to establish it to the age, He hath put thee over them for king, to do judgment and righteousness.'
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 9] And she giveth to the king a hundred and twenty talents of gold, and spices in great abundance, and precious stone; and there hath not been any such spice as the queen of Sheba hath given to king Solomon.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 10] And also, servants of Huram, and servants of Solomon, who brought in gold from Ophir, have brought in algum-trees and precious stone.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 11] And the king maketh the algum-trees staircases for the house of Jehovah, and for the house of the king, and harps and psalteries for singers; and there have been none seen like these before in the land of Judah.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 12] And king Solomon hath given to the queen of Sheba all her desire that she asked, apart from that which she had brought unto the king, and she turneth and goeth to her land, she and her servants.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 13] And the weight of the gold that is coming to Solomon in one year is six hundred and sixty and six talents of gold,
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 14] apart from [what] the tourists, and the merchants, are bringing in; and all the kings of Arabia, and the governors of the land, are bringing in gold and silver to Solomon.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 15] And king Solomon maketh two hundred targets of alloyed gold, six hundred [shekels] of alloyed gold he causeth to go up on the one target;
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 16] and three hundred shields of alloyed gold, three hundred [shekels] of gold he causeth to go up on the one shield, and the king putteth them in the house of the forest of Lebanon.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 17] And the king maketh a great throne of ivory, and overlayeth it with pure gold;
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 18] and six steps [are] to the throne, and a footstool of gold, to the throne they are fastened, and hands [are] on this [side] and on that on the place of the sitting, and two lions are standing near the hands,
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 19] and twelve lions are standing there on the six steps on this [side], and on that: it hath not been made so for any kingdom.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 20] And all the drinking vessels of king Solomon [are] of gold, and all the vessels of the house of the forest of Lebanon [are] of refined gold — silver is not reckoned in the days of Solomon for anything;
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 21] for ships of the king are going to Tarshish, with servants of Huram: once in three years come do the ships of Tarshish bearing gold, and silver, ivory, apes, and peacocks.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 22] And king Solomon becometh greater than any of the kings of the earth for riches and wisdom;
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 23] and all the kings of the earth are seeking the presence of Solomon to hear his wisdom that God hath put in his heart,
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 24] and they are bringing in each his present, vessels of silver, and vessels of gold, and garments, harness, and spices, horses, and mules, a rate year by year.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 25] And there are to Solomon four thousand stalls for horses and chariots, and twelve thousand horsemen, and he placed them in cities of the chariot, and with the king in Jerusalem.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 26] And he is ruling over all the kings from the River even unto the land of the Philistines, and unto the border of Egypt.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 27] And the king maketh the silver in Jerusalem as stones, and the cedars he hath made as sycamores, that [are] in the low country, for abundance,
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 28] and they are bringing out horses from Egypt to Solomon, and from all the lands.
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 29] And the rest of the matters of Solomon, the first and the last, are they not written beside the matters of Nathan the prophet, and beside the prophecy of Ahijah the Shilonite, and with the visions of Iddo the seer concerning Jeroboam son of Nebat?
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 30] And Solomon reigneth in Jerusalem over all Israel forty years,
[YLT | EN | OT | 2 Chronicles | Chapter 9 | Verse 31] and Solomon lieth with his fathers, and they bury him in the city of David his father, and reign doth Rehoboam his son in his stead.
