[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 1] As God’s fellow workers, then, we urge you not to receive God’s grace in vain.
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 2] For He says: “In the time of favor I heard you, and in the day of salvation I helped you.” Behold, now is the time of favor; now is the day of salvation!
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 3] We put no obstacle in anyone’s way, so that no one can discredit our ministry.
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 4] Rather, as servants of God we commend ourselves in every way: in great endurance; in troubles, hardships, and calamities;
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 5] in beatings, imprisonments, and riots; in labor, sleepless nights, and hunger;
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 6] in purity, knowledge, patience, and kindness; in the Holy Spirit and in sincere love;
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 7] in truthful speech and in the power of God; with the weapons of righteousness in the right hand and in the left;
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 8] through glory and dishonor, slander and praise; viewed as imposters, yet genuine;
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 9] as unknown, yet well-known; dying, and yet we live on; punished, yet not killed;
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 10] sorrowful, yet always rejoicing; poor, yet making many rich; having nothing, and yet possessing everything.
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 11] We have spoken freely to you, Corinthians. Our hearts are open wide.
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 12] It is not our affection, but yours, that is restrained.
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 13] As a fair exchange, I ask you as my children: Open wide your hearts also.
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 14] Do not be unequally yoked with unbelievers. For what partnership can righteousness have with wickedness? Or what fellowship does light have with darkness?
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 15] What harmony is there between Christ and Belial? Or what does a believer have in common with an unbeliever?
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 16] What agreement can exist between the temple of God and idols? For we are the temple of the living God. As God has said: “I will dwell with them and walk among them, and I will be their God, and they will be My people.”
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 17] “Therefore come out from among them and be separate, says the Lord. Touch no unclean thing, and I will receive you.”
[BSB | EN | NT | 2 Corinthians | Chapter 6 | Verse 18] And: “I will be a Father to you, and you will be My sons and daughters, says the Lord Almighty.”
