[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 1] Now, brothers, we want you to know about the grace that God has given the churches of Macedonia.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 2] In the terrible ordeal they suffered, their abundant joy and deep poverty overflowed into rich generosity.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 3] For I testify that they gave according to their ability and even beyond it. Of their own accord,
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 4] they earnestly pleaded with us for the privilege of sharing in this service to the saints.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 5] And not only did they do as we expected, but they gave themselves first to the Lord and then to us, because it was the will of God.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 6] So we urged Titus to help complete your act of grace, just as he had started it.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 7] But just as you excel in everything—in faith, in speech, in knowledge, in complete earnestness, and in the love we inspired in you —see that you also excel in this grace of giving.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 8] I am not making a demand, but I am testing the sincerity of your love in comparison to the earnestness of others.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 9] For you know the grace of our Lord Jesus Christ, that though He was rich, yet for your sakes He became poor, so that you through His poverty might become rich.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 10] And this is my opinion about what is helpful for you in this matter: Last year you were the first not only to give, but even to have such a desire.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 11] Now finish the work, so that you may complete it just as eagerly as you began, according to your means.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 12] For if the eagerness is there, the gift is acceptable according to what one has, not according to what he does not have.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 13] It is not our intention that others may be relieved while you are burdened, but that there may be equality.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 14] At the present time, your surplus will meet their need, so that in turn their surplus will meet your need. Then there will be equality.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 15] As it is written: “He who gathered much had no excess, and he who gathered little had no shortfall.”
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 16] But thanks be to God, who put into the heart of Titus the same devotion I have for you.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 17] For not only did he welcome our appeal, but he is eagerly coming to you of his own volition.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 18] Along with Titus we are sending the brother who is praised by all the churches for his work in the gospel.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 19] More than that, this brother was chosen by the churches to accompany us with the offering —the gracious gift we administer to honor the Lord Himself and to show our eagerness to help.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 20] We hope to avoid any criticism of the way we administer this generous gift.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 21] For we are taking great care to do what is right, not only in the eyes of the Lord, but also in the eyes of men.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 22] And we are sending along with them our brother whose earnestness has been proven many times and in many ways, and now even more so by his great confidence in you.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 23] As for Titus, he is my partner and fellow worker among you. As for our brothers, they are messengers of the churches, to the glory of Christ.
[BSB | EN | NT | 2 Corinthians | Chapter 8 | Verse 24] In full view of the churches, then, show these men the proof of your love and the reason for our boasting about you.
