[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 1] Paul, an apostle of Christ Jesus by the will of God, and Timothy our brother, To the church of God in Corinth, together with all the saints throughout Achaia:
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 2] Grace and peace to you from God our Father and the Lord Jesus Christ.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 3] Blessed be the God and Father of our Lord Jesus Christ, the Father of compassion and the God of all comfort,
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 4] who comforts us in all our troubles, so that we can comfort those in any trouble with the comfort we ourselves have received from God.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 5] For just as the sufferings of Christ overflow to us, so also through Christ our comfort overflows.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 6] If we are afflicted, it is for your comfort and salvation; if we are comforted, it is for your comfort, which accomplishes in you patient endurance of the same sufferings we experience.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 7] And our hope for you is sure, because we know that just as you share in our sufferings, so also you will share in our comfort.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 8] We do not want you to be unaware, brothers, of the hardships we encountered in the province of Asia. We were under a burden far beyond our ability to endure, so that we despaired even of life.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 9] Indeed, we felt we were under the sentence of death, in order that we would not trust in ourselves, but in God, who raises the dead.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 10] He has delivered us from such a deadly peril, and He will deliver us. In Him we have placed our hope that He will yet again deliver us,
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 11] as you help us by your prayers. Then many will give thanks on our behalf for the favor shown us in answer to their prayers.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 12] And this is our boast: Our conscience testifies that we have conducted ourselves in the world, and especially in relation to you, in the holiness and sincerity that are from God—not in worldly wisdom, but in the grace of God.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 13] For we do not write you anything that is beyond your ability to read and understand. And I hope that you will understand us completely,
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 14] as you have already understood us in part, so that you may boast of us just as we will boast of you in the day of our Lord Jesus.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 15] Confident of this, I planned to visit you first, so that you might receive a double blessing.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 16] I wanted to visit you on my way to Macedonia, and to return to you from Macedonia, and then to have you help me on my way to Judea.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 17] When I planned this, did I do it carelessly? Or do I make my plans by human standards, so as to say “Yes, yes” when I really mean “No, no”?
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 18] But as surely as God is faithful, our message to you is not “Yes” and “No.”
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 19] For the Son of God, Jesus Christ, who was proclaimed among you by me and Silvanus and Timothy, was not “Yes” and “No,” but in Him it has always been “Yes.”
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 20] For all the promises of God are “Yes” in Christ. And so through Him, our “Amen” is spoken to the glory of God.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 21] Now it is God who establishes both us and you in Christ. He anointed us,
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 22] placed His seal on us, and put His Spirit in our hearts as a pledge of what is to come.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 23] I call God as my witness that it was in order to spare you that I did not return to Corinth.
[BSB | EN | NT | 2 Corinthians | Chapter 1 | Verse 24] Not that we lord it over your faith, but we are fellow workers with you for your joy, because it is by faith that you stand firm.
