[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 1] Now about the service to the saints, there is no need for me to write to you.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 2] For I know your eagerness to help, and I have been boasting to the Macedonians that since last year you in Achaia were prepared to give. And your zeal has stirred most of them to do likewise.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 3] But I am sending the brothers in order that our boasting about you in this matter should not prove empty, but that you will be prepared, just as I said.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 4] Otherwise, if any Macedonians come with me and find you unprepared, we—to say nothing of you—would be ashamed of having been so confident.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 5] So I thought it necessary to urge the brothers to visit you beforehand and make arrangements for the bountiful gift you had promised. This way, your gift will be prepared generously and not begrudgingly.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 6] Remember this: Whoever sows sparingly will also reap sparingly, and whoever sows generously will also reap generously.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 7] Each one should give what he has decided in his heart to give, not out of regret or compulsion. For God loves a cheerful giver.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 8] And God is able to make all grace abound to you, so that in all things, at all times, having all that you need, you will abound in every good work.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 9] As it is written: “He has scattered abroad His gifts to the poor; His righteousness endures forever.”
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 10] Now He who supplies seed to the sower and bread for food will supply and multiply your store of seed and will increase the harvest of your righteousness.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 11] You will be enriched in every way to be generous on every occasion, so that through us your giving will produce thanksgiving to God.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 12] For this ministry of service is not only supplying the needs of the saints, but is also overflowing in many expressions of thanksgiving to God.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 13] Because of the proof this ministry provides, the saints will glorify God for your obedient confession of the gospel of Christ, and for the generosity of your contribution to them and to all the others.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 14] And their prayers for you will express their affection for you, because of the surpassing grace God has given you.
[BSB | EN | NT | 2 Corinthians | Chapter 9 | Verse 15] Thanks be to God for His indescribable gift!
