[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 1] This is the third time I am coming to you. “Every matter must be established by the testimony of two or three witnesses.”
[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 2] I already warned you the second time I was with you. So now in my absence I warn those who sinned earlier and everyone else: If I return, I will not spare anyone,
[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 3] since you are demanding proof that Christ is speaking through me. He is not weak in dealing with you, but is powerful among you.
[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 4] For He was indeed crucified in weakness, yet He lives by God’s power. And though we are weak in Him, yet by God’s power we will live with Him to serve you.
[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 5] Examine yourselves to see whether you are in the faith; test yourselves. Can’t you see for yourselves that Jesus Christ is in you—unless you actually fail the test?
[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 6] And I hope you will realize that we have not failed the test.
[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 7] Now we pray to God that you will not do anything wrong—not that we will appear to have stood the test, but that you will do what is right, even if we appear to have failed.
[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 8] For we cannot do anything against the truth, but only for the truth.
[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 9] In fact, we rejoice when we are weak but you are strong, and our prayer is for your perfection.
[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 10] This is why I write these things while absent, so that when I am present I will not need to be severe in my use of the authority that the Lord gave me for building you up, not for tearing you down.
[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 11] Finally, brothers, rejoice! Aim for perfect harmony, encourage one another, be of one mind, live in peace. And the God of love and peace will be with you.
[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 12] Greet one another with a holy kiss.
[BSB | EN | NT | 2 Corinthians | Chapter 13 | Verse 13] All the saints send you greetings.
