[YLT | EN | OT | Genesis | Chapter 5 | Verse 1] This [is] an account of the births of Adam: In the day of God's preparing man, in the likeness of God He hath made him;
[YLT | EN | OT | Genesis | Chapter 5 | Verse 2] a male and a female He hath prepared them, and He blesseth them, and calleth their name Man, in the day of their being prepared.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 3] And Adam liveth an hundred and thirty years, and begetteth [a son] in his likeness, according to his image, and calleth his name Seth.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 4] And the days of Adam after his begetting Seth are eight hundred years, and he begetteth sons and daughters.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 5] And all the days of Adam which he lived are nine hundred and thirty years, and he dieth.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 6] And Seth liveth an hundred and five years, and begetteth Enos.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 7] And Seth liveth after his begetting Enos eight hundred and seven years, and begetteth sons and daughters.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 8] And all the days of Seth are nine hundred and twelve years, and he dieth.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 9] And Enos liveth ninety years, and begetteth Cainan.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 10] And Enos liveth after his begetting Cainan eight hundred and fifteen years, and begetteth sons and daughters.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 11] And all the days of Enos are nine hundred and five years, and he dieth.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 12] And Cainan liveth seventy years, and begetteth Mahalaleel.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 13] And Cainan liveth after his begetting Mahalaleel eight hundred and forty years, and begetteth sons and daughters.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 14] And all the days of Cainan are nine hundred and ten years, and he dieth.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 15] And Mahalaleel liveth five and sixty years, and begetteth Jared.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 16] And Mahalaleel liveth after his begetting Jared eight hundred and thirty years, and begetteth sons and daughters.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 17] And all the days of Mahalaleel are eight hundred and ninety and five years, and he dieth.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 18] And Jared liveth an hundred and sixty and two years, and begetteth Enoch.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 19] And Jared liveth after his begetting Enoch eight hundred years, and begetteth sons and daughters.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 20] And all the days of Jared are nine hundred and sixty and two years, and he dieth.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 21] And Enoch liveth five and sixty years, and begetteth Methuselah.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 22] And Enoch walketh habitually with God after his begetting Methuselah three hundred years, and begetteth sons and daughters.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 23] And all the days of Enoch are three hundred and sixty and five years.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 24] And Enoch walketh habitually with God, and he is not, for God hath taken him.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 25] And Methuselah liveth an hundred and eighty and seven years, and begetteth Lamech.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 26] And Methuselah liveth after his begetting Lamech seven hundred and eighty and two years, and begetteth sons and daughters.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 27] And all the days of Methuselah are nine hundred and sixty and nine years, and he dieth.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 28] And Lamech liveth an hundred and eighty and two years, and begetteth a son,
[YLT | EN | OT | Genesis | Chapter 5 | Verse 29] and calleth his name Noah, saying, 'This [one] doth comfort us concerning our work, and concerning the labour of our hands, because of the ground which Jehovah hath cursed.'
[YLT | EN | OT | Genesis | Chapter 5 | Verse 30] And Lamech liveth after his begetting Noah five hundred and ninety and five years, and begetteth sons and daughters.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 31] And all the days of Lamech are seven hundred and seventy and seven years, and he dieth.
[YLT | EN | OT | Genesis | Chapter 5 | Verse 32] And Noah is a son of five hundred years, and Noah begetteth Shem, Ham, and Japheth.
