[YLT | EN | OT | Genesis | Chapter 50 | Verse 1] And Joseph falleth on his father's face, and weepeth over him, and kisseth him;
[YLT | EN | OT | Genesis | Chapter 50 | Verse 2] and Joseph commandeth his servants, the physicians, to embalm his father, and the physicians embalm Israel;
[YLT | EN | OT | Genesis | Chapter 50 | Verse 3] and they fulfil for him forty days, for so they fulfil the days of the embalmed, and the Egyptians weep for him seventy days.
[YLT | EN | OT | Genesis | Chapter 50 | Verse 4] And the days of his weeping pass away, and Joseph speaketh unto the house of Pharaoh, saying, 'If, I pray you, I have found grace in your eyes, speak, I pray you, in the ears of Pharaoh, saying,
[YLT | EN | OT | Genesis | Chapter 50 | Verse 5] My father caused me to swear, saying, Lo, I am dying; in my burying-place which I have prepared for myself in the land of Canaan, there dost thou bury me; and now, let me go up, I pray thee, and bury my father, and return;'
[YLT | EN | OT | Genesis | Chapter 50 | Verse 6] and Pharaoh saith, 'Go up and bury thy father, as he caused thee to swear.'
[YLT | EN | OT | Genesis | Chapter 50 | Verse 7] And Joseph goeth up to bury his father, and go up with him do all the servants of Pharaoh, elders of his house, and all the elders of the land of Egypt,
[YLT | EN | OT | Genesis | Chapter 50 | Verse 8] and all the house of Joseph, and his brethren, and the house of his father; only their infants, and their flock, and their herd, have they left in the land of Goshen;
[YLT | EN | OT | Genesis | Chapter 50 | Verse 9] and there go up with him both chariot and horsemen, and the camp is very great.
[YLT | EN | OT | Genesis | Chapter 50 | Verse 10] And they come unto the threshing-floor of Atad, which [is] beyond the Jordan, and they lament there, a lamentation great and very grievous; and he maketh for his father a mourning seven days,
[YLT | EN | OT | Genesis | Chapter 50 | Verse 11] and the inhabitant of the land, the Canaanite, see the mourning in the threshing-floor of Atad, and say, 'A grievous mourning [is] this to the Egyptians;' therefore hath [one] called its name 'The mourning of the Egyptians,' which [is] beyond the Jordan.
[YLT | EN | OT | Genesis | Chapter 50 | Verse 12] And his sons do to him so as he commanded them,
[YLT | EN | OT | Genesis | Chapter 50 | Verse 13] and his sons bear him away to the land of Canaan, and bury him in the cave of the field of Machpelah, which Abraham bought with the field for a possession of a burying-place, from Ephron the Hittite, on the front of Mamre.
[YLT | EN | OT | Genesis | Chapter 50 | Verse 14] And Joseph turneth back to Egypt, he and his brethren, and all who are going up with him to bury his father, after his burying his father.
[YLT | EN | OT | Genesis | Chapter 50 | Verse 15] And the brethren of Joseph see that their father is dead, and say, 'Peradventure Joseph doth hate us, and doth certainly return to us all the evil which we did with him.'
[YLT | EN | OT | Genesis | Chapter 50 | Verse 16] And they give a charge for Joseph, saying, 'Thy father commanded before his death, saying,
[YLT | EN | OT | Genesis | Chapter 50 | Verse 17] Thus ye do say to Joseph, I pray thee, bear, I pray thee, with the transgression of thy brethren, and their sin, for they have done thee evil; and now, bear, we pray thee, with the transgression of the servants of the God of thy father;' and Joseph weepeth in their speaking unto him.
[YLT | EN | OT | Genesis | Chapter 50 | Verse 18] And his brethren also go and fall before him, and say, 'Lo, we [are] to thee for servants.'
[YLT | EN | OT | Genesis | Chapter 50 | Verse 19] And Joseph saith unto them, 'Fear not, for [am] I in the place of God?
[YLT | EN | OT | Genesis | Chapter 50 | Verse 20] As for you, ye devised against me evil — God devised it for good, in order to do as [at] this day, to keep alive a numerous people;
[YLT | EN | OT | Genesis | Chapter 50 | Verse 21] and now, fear not: I do nourish you and your infants;' and he comforteth them, and speaketh unto their heart.
[YLT | EN | OT | Genesis | Chapter 50 | Verse 22] And Joseph dwelleth in Egypt, he and the house of his father, and Joseph liveth a hundred and ten years,
[YLT | EN | OT | Genesis | Chapter 50 | Verse 23] and Joseph looketh on Ephraim's sons of the third [generation]; sons also of Machir, son of Manasseh, have been born on the knees of Joseph.
[YLT | EN | OT | Genesis | Chapter 50 | Verse 24] And Joseph saith unto his brethren, 'I am dying, and God doth certainly inspect you, and hath caused you to go up from this land, unto the land which He hath sworn to Abraham, to Isaac, and to Jacob.'
[YLT | EN | OT | Genesis | Chapter 50 | Verse 25] And Joseph causeth the sons of Israel to swear, saying, 'God doth certainly inspect you, and ye have brought up my bones from this [place].'
[YLT | EN | OT | Genesis | Chapter 50 | Verse 26] And Joseph dieth, a son of an hundred and ten years, and they embalm him, and he is put into a coffin in Egypt.
