[YLT | EN | OT | Genesis | Chapter 10 | Verse 1] And these [are] births of the sons of Noah, Shem, Ham, and Japheth; and born to them are sons after the deluge.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 2] 'Sons of Japheth [are] Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 3] And sons of Gomer [are] Ashkenaz, and Riphath, and Togarmah.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 4] And sons of Javan [are] Elishah, and Tarshish, Kittim, and Dodanim.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 5] By these have the isles of the nations been parted in their lands, each by his tongue, by their families, in their nations.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 6] And sons of Ham [are] Cush, and Mitzraim, and Phut, and Canaan.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 7] And sons of Cush [are] Seba, and Havilah, and Sabtah, and Raamah, and Sabtechah; and sons of Raamah [are] Sheba and Dedan.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 8] And Cush hath begotten Nimrod;
[YLT | EN | OT | Genesis | Chapter 10 | Verse 9] he hath begun to be a hero in the land; he hath been a hero in hunting before Jehovah; therefore it is said, 'As Nimrod the hero [in] hunting before Jehovah.'
[YLT | EN | OT | Genesis | Chapter 10 | Verse 10] And the first part of his kingdom is Babel, and Erech, and Accad, and Calneh, in the land of Shinar;
[YLT | EN | OT | Genesis | Chapter 10 | Verse 11] from that land he hath gone out to Asshur, and buildeth Nineveh, even the broad places of the city, and Calah,
[YLT | EN | OT | Genesis | Chapter 10 | Verse 12] and Resen, between Nineveh and Calah; it [is] the great city.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 13] And Mitzraim hath begotten the Ludim, and the Anamim, and the Lehabim, and the Naphtuhim,
[YLT | EN | OT | Genesis | Chapter 10 | Verse 14] and the Pathrusim, and the Casluhim, (whence have come out Philistim,) and the Caphtorim.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 15] And Canaan hath begotten Sidon his first-born, and Heth,
[YLT | EN | OT | Genesis | Chapter 10 | Verse 16] and the Jebusite, and the Amorite, and the Girgashite,
[YLT | EN | OT | Genesis | Chapter 10 | Verse 17] and the Hivite, and the Arkite, and the Sinite,
[YLT | EN | OT | Genesis | Chapter 10 | Verse 18] and the Arvadite, and the Zemarite, and the Hamathite; and afterwards have the families of the Canaanite been scattered.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 19] And the border of the Canaanite is from Sidon, [in] thy coming towards Gerar, unto Gaza; [in] thy coming towards Sodom, and Gomorrah, and Admah, and Zeboim, unto Lasha.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 20] These [are] sons of Ham, by their families, by their tongues, in their lands, in their nations.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 21] As to Shem, father of all sons of Eber, brother of Japheth the elder, he hath also begotten:
[YLT | EN | OT | Genesis | Chapter 10 | Verse 22] Sons of Shem [are] Elam, and Asshur, and Arphaxad, and Lud, and Aram.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 23] And sons of Aram [are] Uz, and Hul, and Gether, and Mash.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 24] And Arphaxad hath begotten Salah, and Salah hath begotten Eber.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 25] And to Eber have two sons been born; the name of the one [is] Peleg (for in his days hath the earth been divided,) and his brother's name [is] Joktan.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 26] And Joktan hath begotten Almodad, and Sheleph, and Hazarmaveth, and Jerah,
[YLT | EN | OT | Genesis | Chapter 10 | Verse 27] and Hadoram, and Uzal, and Diklah,
[YLT | EN | OT | Genesis | Chapter 10 | Verse 28] and Obal, and Abimael, and Sheba,
[YLT | EN | OT | Genesis | Chapter 10 | Verse 29] and Ophir, and Havilah, and Jobab; all these [are] sons of Joktan;
[YLT | EN | OT | Genesis | Chapter 10 | Verse 30] and their dwelling is from Mesha, [in] thy coming towards Sephar, a mount of the east.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 31] These [are] sons of Shem, by their families, by their tongues, in their lands, by their nations.
[YLT | EN | OT | Genesis | Chapter 10 | Verse 32] These [are] families of the sons of Noah, by their births, in their nations, and by these have the nations been parted in the earth after the deluge.
