[YLT | EN | OT | Genesis | Chapter 15 | Verse 1] After these things hath the word of Jehovah been unto Abram in a vision, saying, 'Fear not, Abram, I [am] a shield to thee, thy reward [is] exceeding great.'
[YLT | EN | OT | Genesis | Chapter 15 | Verse 2] And Abram saith, 'Lord Jehovah, what dost Thou give to me, and I am going childless? and an acquired son in my house is Demmesek Eliezer.'
[YLT | EN | OT | Genesis | Chapter 15 | Verse 3] And Abram saith, 'Lo, to me Thou hast not given seed, and lo, a domestic doth heir me.'
[YLT | EN | OT | Genesis | Chapter 15 | Verse 4] And lo, the word of Jehovah [is] unto him, saying, 'This [one] doth not heir thee; but he who cometh out from thy bowels, he doth heir thee;'
[YLT | EN | OT | Genesis | Chapter 15 | Verse 5] and He bringeth him out without, and saith, 'Look attentively, I pray thee, towards the heavens, and count the stars, if thou art able to count them;' and He saith to him, 'Thus is thy seed.'
[YLT | EN | OT | Genesis | Chapter 15 | Verse 6] And he hath believed in Jehovah, and He reckoneth it to him — righteousness.
[YLT | EN | OT | Genesis | Chapter 15 | Verse 7] And He saith unto him, 'I [am] Jehovah who brought thee out from Ur of the Chaldees, to give to thee this land to possess it;'
[YLT | EN | OT | Genesis | Chapter 15 | Verse 8] and he saith, 'Lord Jehovah, whereby do I know that I possess it?'
[YLT | EN | OT | Genesis | Chapter 15 | Verse 9] And He saith unto him, 'Take for Me a heifer of three years, and a she-goat of three years, and a ram of three years, and a turtle-dove, and a young bird;'
[YLT | EN | OT | Genesis | Chapter 15 | Verse 10] and he taketh to him all these, and separateth them in the midst, and putteth each piece over against its fellow, but the bird he hath not divided;
[YLT | EN | OT | Genesis | Chapter 15 | Verse 11] and the ravenous birds come down upon the carcases, and Abram causeth them to turn back.
[YLT | EN | OT | Genesis | Chapter 15 | Verse 12] And the sun is about to go in, and deep sleep hath fallen upon Abram, and lo, a terror of great darkness is falling upon him;
[YLT | EN | OT | Genesis | Chapter 15 | Verse 13] and He saith to Abram, 'knowing — know that thy seed is a sojourner in a land not theirs, and they have served them, and they have afflicted them four hundred years,
[YLT | EN | OT | Genesis | Chapter 15 | Verse 14] and the nation also whom they serve I judge, and after this they go out with great substance;
[YLT | EN | OT | Genesis | Chapter 15 | Verse 15] and thou — thou comest in unto thy fathers in peace; thou art buried in a good old age;
[YLT | EN | OT | Genesis | Chapter 15 | Verse 16] and the fourth generation doth turn back hither, for the iniquity of the Amorite is not yet complete.'
[YLT | EN | OT | Genesis | Chapter 15 | Verse 17] And it cometh to pass — the sun hath gone in, and thick darkness hath been — and lo, a furnace of smoke, and a lamp of fire, which hath passed over between those pieces.
[YLT | EN | OT | Genesis | Chapter 15 | Verse 18] In that day hath Jehovah made with Abram a covenant, saying, 'To thy seed I have given this land, from the river of Egypt unto the great river, the river Phrat,
[YLT | EN | OT | Genesis | Chapter 15 | Verse 19] with the Kenite, and the Kenizzite, and the Kadmonite,
[YLT | EN | OT | Genesis | Chapter 15 | Verse 20] and the Hittite, and the Perizzite, and the Rephaim,
[YLT | EN | OT | Genesis | Chapter 15 | Verse 21] and the Amorite, and the Canaanite, and the Girgashite, and the Jebusite.'
