[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 1] Dare any one of you, having a matter against another, prosecute his suit before the unjust, and not before the saints?
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 2] Do ye not then know that the saints shall judge the world? and if the world is judged by you, are ye unworthy of [the] smallest judgments?
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 3] Do ye not know that we shall judge angels? and not then matters of this life?
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 4] If then ye have judgments as to things of this life, set those [to judge] who are little esteemed in the assembly.
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 5] I speak to you [to put you] to shame. Thus there is not a wise person among you, not even one, who shall be able to decide between his brethren!
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 6] But brother prosecutes his suit with brother, and that before unbelievers.
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 7] Already indeed then it is altogether a fault in you that ye have suits between yourselves. Why do ye not rather suffer wrong? why are ye not rather defrauded?
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 8] But ye do wrong, and defraud, and this [your] brethren.
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 9] Do ye not know that unrighteous [persons] shall not inherit [the] kingdom of God? Do not err: neither fornicators, nor idolaters, nor adulterers, nor those who make women of themselves, nor who abuse themselves with men,
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 10] nor thieves, nor covetous, nor drunkards, nor abusive persons, nor [the] rapacious, shall inherit [the] kingdom of God.
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 11] And these things were some of you; but ye have been washed, but ye have been sanctified, but ye have been justified in the name of the Lord Jesus, and by the Spirit of our God.
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 12] All things are lawful to me, but all things do not profit; all things are lawful to me, but I will not be brought under the power of any.
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 13] Meats for the belly, and the belly for meats; but God will bring to nothing both it and them: but the body [is] not for fornication, but for the Lord, and the Lord for the body.
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 14] And God has both raised up the Lord, and will raise us up from among [the dead] by his power.
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 15] Do ye not know that your bodies are members of Christ? Shall I then, taking the members of the Christ, make [them] members of a harlot? Far be the thought.
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 16] Do ye not know that he [that is] joined to the harlot is one body? for the two, he says, shall be one flesh.
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 17] But he that [is] joined to the Lord is one Spirit.
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 18] Flee fornication. Every sin which a man may practise is without the body, but he that commits fornication sins against his own body.
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 19] Do ye not know that your body is [the] temple of the Holy Spirit which [is] in you, which ye have of God; and ye are not your own?
[DARBY | EN | NT | 1 Corinthians | Chapter 6 | Verse 20] for ye have been bought with a price: glorify now then God in your body.
