[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 1] But I make known to you, brethren, the glad tidings which I announced to you, which also ye received, in which also ye stand,
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 2] by which also ye are saved, (if ye hold fast the word which I announced to you as the glad tidings,) unless indeed ye have believed in vain.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 3] For I delivered to you, in the first place, what also I had received, that Christ died for our sins, according to the scriptures;
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 4] and that he was buried; and that he was raised the third day, according to the scriptures;
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 5] and that he appeared to Cephas, then to the twelve.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 6] Then he appeared to above five hundred brethren at once, of whom the most remain until now, but some also have fallen asleep.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 7] Then he appeared to James; then to all the apostles;
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 8] and last of all, as to an abortion, he appeared to me also.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 9] For I am the least of the apostles, who am not fit to be called apostle, because I have persecuted the assembly of God.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 10] But by God's grace I am what I am; and his grace, which [was] towards me, has not been vain; but I have laboured more abundantly than they all, but not I, but the grace of God which [was] with me.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 11] Whether, therefore, I or they, thus we preach, and thus ye have believed.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 12] Now if Christ is preached that he is raised from among [the] dead, how say some among you that there is not a resurrection of [those that are] dead?
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 13] But if there is not a resurrection of [those that are] dead, neither is Christ raised:
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 14] but if Christ is not raised, then, indeed, vain also [is] our preaching, and vain also your faith.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 15] And we are found also false witnesses of God; for we have witnessed concerning God that he raised the Christ, whom he has not raised if indeed [those that are] dead are not raised.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 16] For if [those that are] dead are not raised, neither is Christ raised;
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 17] but if Christ be not raised, your faith [is] vain; ye are yet in your sins.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 18] Then indeed also those who have fallen asleep in Christ have perished.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 19] If in this life only we have hope in Christ, we are [the] most miserable of all men.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 20] (But now Christ is raised from among [the] dead, first-fruits of those fallen asleep.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 21] For since by man [came] death, by man also resurrection of [those that are] dead.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 22] For as in the Adam all die, thus also in the Christ all shall be made alive.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 23] But each in his own rank: [the] first-fruits, Christ; then those that are the Christ's at his coming.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 24] Then the end, when he gives up the kingdom to him [who is] God and Father; when he shall have annulled all rule and all authority and power.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 25] For he must reign until he put all enemies under his feet.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 26] [The] last enemy [that] is annulled [is] death.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 27] For he has put all things in subjection under his feet. But when he says that all things are put in subjection, [it is] evident that [it is] except him who put all things in subjection to him.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 28] But when all things shall have been brought into subjection to him, then the Son also himself shall be placed in subjection to him who put all things in subjection to him, that God may be all in all.)
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 29] Since what shall the baptised for the dead do if [those that are] dead rise not at all? why also are they baptised for them?
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 30] Why do we also endanger ourselves every hour?
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 31] Daily I die, by your boasting which I have in Christ Jesus our Lord.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 32] If, [to speak] after the manner of man, I have fought with beasts in Ephesus, what is the profit to me if [those that are] dead do not rise? let us eat and drink; for to-morrow we die.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 33] Be not deceived: evil communications corrupt good manners.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 34] Awake up righteously, and sin not; for some are ignorant of God: I speak to you as a matter of shame.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 35] But some one will say, How are the dead raised? and with what body do they come?
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 36] Fool; what thou sowest is not quickened unless it die.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 37] And what thou sowest, thou sowest not the body that shall be, but a bare grain: it may be of wheat, or some one of the rest:
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 38] and God gives to it a body as he has pleased, and to each of the seeds its own body.
