[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 1] Let a man so account of us as servants of Christ, and stewards of [the] mysteries of God.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 2] Here, further, it is sought in stewards, that a man be found faithful.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 3] But for me it is the very smallest matter that I be examined of you or of man's day. Nor do I even examine myself.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 4] For I am conscious of nothing in myself; but I am not justified by this: but he that examines me is the Lord.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 5] So that do not judge anything before [the] time, until the Lord shall come, who shall also both bring to light the hidden things of darkness, and shall make manifest the counsels of hearts; and then shall each have [his] praise from God.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 6] Now these things, brethren, I have transferred, in their application, to myself and Apollos, for your sakes, that ye may learn in us the [lesson of] not [letting your thoughts go] above what is written, that ye may not be puffed up one for [such a] one against another.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 7] For who makes thee to differ? and what hast thou which thou hast not received? but if also thou hast received, why boastest thou as not receiving?
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 8] Already ye are filled; already ye have been enriched; ye have reigned without us; and I would that ye reigned, that we also might reign with you.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 9] For I think that God has set us the apostles for the last, as appointed to death. For we have become a spectacle to the world, both to angels and men.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 10] We [are] fools for Christ's sake, but ye prudent in Christ: we weak, but ye strong: ye glorious, but we in dishonour.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 11] To the present hour we both hunger and thirst, and are in nakedness, and buffeted, and wander without a home,
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 12] and labour, working with our own hands. Railed at, we bless; persecuted, we suffer [it];
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 13] insulted, we entreat: we are become as [the] offscouring of the world, [the] refuse of all, until now.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 14] Not [as] chiding do I write these things to you, but as my beloved children I admonish [you].
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 15] For if ye should have ten thousand instructors in Christ, yet not many fathers; for in Christ Jesus I have begotten you through the glad tidings.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 16] I entreat you therefore, be my imitators.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 17] For this reason I have sent to you Timotheus, who is my beloved and faithful child in [the] Lord, who shall put you in mind of my ways [as] they [are] in Christ, according as I teach everywhere in every assembly.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 18] But some have been puffed up, as if I were not coming to you;
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 19] but I will come quickly to you, if the Lord will; and I will know, not the word of those that are puffed up, but the power.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 20] For the kingdom of God [is] not in word, but in power.
[DARBY | EN | NT | 1 Corinthians | Chapter 4 | Verse 21] What will ye? that I come to you with a rod; or in love, and [in] a spirit of meekness?
