[WEB | EN | NT | Matthew | Chapter 4 | Verse 1] Then Jesus was led up by the Spirit into the wilderness to be tempted by the devil.
[WEB | EN | NT | Matthew | Chapter 4 | Verse 2] When he had fasted forty days and forty nights, he was hungry afterward.
[WEB | EN | NT | Matthew | Chapter 4 | Verse 3] The tempter came and said to him, “If you are the Son of God, command that these stones become bread.”
[WEB | EN | NT | Matthew | Chapter 4 | Verse 4] But he answered, “It is written, ‘Man shall not live by bread alone, but by every word that proceeds out of God’s mouth.’”
[WEB | EN | NT | Matthew | Chapter 4 | Verse 5] Then the devil took him into the holy city. He set him on the pinnacle of the temple,
[WEB | EN | NT | Matthew | Chapter 4 | Verse 6] and said to him, “If you are the Son of God, throw yourself down, for it is written, ‘He will command his angels concerning you,’ and, ‘On their hands they will bear you up, so that you don’t dash your foot against a stone.’”
[WEB | EN | NT | Matthew | Chapter 4 | Verse 7] Jesus said to him, “Again, it is written, ‘You shall not test the Lord, your God.’”
[WEB | EN | NT | Matthew | Chapter 4 | Verse 8] Again, the devil took him to an exceedingly high mountain, and showed him all the kingdoms of the world and their glory.
[WEB | EN | NT | Matthew | Chapter 4 | Verse 9] He said to him, “I will give you all of these things, if you will fall down and worship me.”
[WEB | EN | NT | Matthew | Chapter 4 | Verse 10] Then Jesus said to him, “Get behind me, Satan! For it is written, ‘You shall worship the Lord your God, and you shall serve him only.’”
[WEB | EN | NT | Matthew | Chapter 4 | Verse 11] Then the devil left him, and behold, angels came and served him.
[WEB | EN | NT | Matthew | Chapter 4 | Verse 12] Now when Jesus heard that John was delivered up, he withdrew into Galilee.
[WEB | EN | NT | Matthew | Chapter 4 | Verse 13] Leaving Nazareth, he came and lived in Capernaum, which is by the sea, in the region of Zebulun and Naphtali,
[WEB | EN | NT | Matthew | Chapter 4 | Verse 14] that it might be fulfilled which was spoken through Isaiah the prophet, saying,
[WEB | EN | NT | Matthew | Chapter 4 | Verse 15] “The land of Zebulun and the land of Naphtali, toward the sea, beyond the Jordan, Galilee of the Gentiles,
[WEB | EN | NT | Matthew | Chapter 4 | Verse 16] the people who sat in darkness saw a great light; to those who sat in the region and shadow of death, to them light has dawned.”
[WEB | EN | NT | Matthew | Chapter 4 | Verse 17] From that time, Jesus began to preach, and to say, “Repent! For the Kingdom of Heaven is at hand.”
[WEB | EN | NT | Matthew | Chapter 4 | Verse 18] Walking by the sea of Galilee, he saw two brothers: Simon, who is called Peter, and Andrew, his brother, casting a net into the sea; for they were fishermen.
[WEB | EN | NT | Matthew | Chapter 4 | Verse 19] He said to them, “Come after me, and I will make you fishers for men.”
[WEB | EN | NT | Matthew | Chapter 4 | Verse 20] They immediately left their nets and followed him.
[WEB | EN | NT | Matthew | Chapter 4 | Verse 21] Going on from there, he saw two other brothers, James the son of Zebedee, and John his brother, in the boat with Zebedee their father, mending their nets. He called them.
[WEB | EN | NT | Matthew | Chapter 4 | Verse 22] They immediately left the boat and their father, and followed him.
[WEB | EN | NT | Matthew | Chapter 4 | Verse 23] Jesus went about in all Galilee, teaching in their synagogues, preaching the Good News of the Kingdom, and healing every disease and every sickness among the people.
[WEB | EN | NT | Matthew | Chapter 4 | Verse 24] The report about him went out into all Syria. They brought to him all who were sick, afflicted with various diseases and torments, possessed with demons, epileptics, and paralytics; and he healed them.
[WEB | EN | NT | Matthew | Chapter 4 | Verse 25] Great multitudes from Galilee, Decapolis, Jerusalem, Judea, and from beyond the Jordan followed him.
