[WEB | EN | NT | Matthew | Chapter 27 | Verse 1] Now when morning had come, all the chief priests and the elders of the people took counsel against Jesus to put him to death.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 2] They bound him, led him away, and delivered him up to Pontius Pilate, the governor.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 3] Then Judas, who betrayed him, when he saw that Jesus was condemned, felt remorse, and brought back the thirty pieces of silver to the chief priests and elders,
[WEB | EN | NT | Matthew | Chapter 27 | Verse 4] saying, “I have sinned in that I betrayed innocent blood.” But they said, “What is that to us? You see to it.”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 5] He threw down the pieces of silver in the sanctuary and departed. Then he went away and hanged himself.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 6] The chief priests took the pieces of silver and said, “It’s not lawful to put them into the treasury, since it is the price of blood.”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 7] They took counsel, and bought the potter’s field with them to bury strangers in.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 8] Therefore that field has been called “The Field of Blood” to this day.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 9] Then that which was spoken through Jeremiah the prophet was fulfilled, saying, “They took the thirty pieces of silver, the price of him upon whom a price had been set, whom some of the children of Israel priced,
[WEB | EN | NT | Matthew | Chapter 27 | Verse 10] and they gave them for the potter’s field, as the Lord commanded me.”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 11] Now Jesus stood before the governor; and the governor asked him, saying, “Are you the King of the Jews?” Jesus said to him, “So you say.”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 12] When he was accused by the chief priests and elders, he answered nothing.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 13] Then Pilate said to him, “Don’t you hear how many things they testify against you?”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 14] He gave him no answer, not even one word, so that the governor marveled greatly.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 15] Now at the feast the governor was accustomed to release to the multitude one prisoner whom they desired.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 16] They had then a notable prisoner called Barabbas.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 17] When therefore they were gathered together, Pilate said to them, “Whom do you want me to release to you? Barabbas, or Jesus who is called Christ?”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 18] For he knew that because of envy they had delivered him up.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 19] While he was sitting on the judgment seat, his wife sent to him, saying, “Have nothing to do with that righteous man, for I have suffered many things today in a dream because of him.”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 20] Now the chief priests and the elders persuaded the multitudes to ask for Barabbas and destroy Jesus.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 21] But the governor answered them, “Which of the two do you want me to release to you?” They said, “Barabbas!”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 22] Pilate said to them, “What then shall I do to Jesus who is called Christ?” They all said to him, “Let him be crucified!”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 23] But the governor said, “Why? What evil has he done?” But they cried out exceedingly, saying, “Let him be crucified!”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 24] So when Pilate saw that nothing was being gained, but rather that a disturbance was starting, he took water and washed his hands before the multitude, saying, “I am innocent of the blood of this righteous person. You see to it.”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 25] All the people answered, “May his blood be on us and on our children!”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 26] Then he released Barabbas to them, but Jesus he flogged and delivered to be crucified.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 27] Then the governor’s soldiers took Jesus into the Praetorium, and gathered the whole garrison together against him.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 28] They stripped him and put a scarlet robe on him.
