[IRV | BN | OT | Leviticus | Chapter 21 | Verse 1] আর সদাপ্রভু মোশিকে বললেন, তুমি হারোণের ছেলে যাজকদের কে বল, তাদেরকে বল, স্বজাতীয় মৃতের জন্য তারা কেউ অশুচি হবে না।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 2] কেবল নিজের ঘনিষ্ট আত্মীয় অর্থাৎ নিজের মা, কি বাবা, কি ছেলে, কি মেয়ে, কি ভাই মরলে অশুচি হবে।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 3] আর কাছের যে কুমারী বোনের স্বামী হয়নি, এরকম বোন মরলে সে অশুচি হবে।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 4] নিজের লোকদের মধ্যে প্রধান বলে সে নিজেকে অপবিত্র করার জন্য অশুচি হবে না।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 5] তারা নিজের নিজের মাথা মুণ্ডন করবে না ও নিজের নিজের শরীরে অস্ত্রাঘাত করবে না।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 6] তারা নিজের ঈশ্বরের উদ্দেশ্যে পবিত্র হবে ও নিজের ঈশ্বরের নাম অপবিত্র করবে না; কারণ তারা সদাপ্রভুর আগুনের করা উপহার, নিজেদের ঈশ্বরের খাদ্য উৎসর্গ করে; অতএব তারা পবিত্র হবে।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 7] তারা বেশ্যা কিংবা ভ্রষ্টা স্ত্রীকে বিয়ে করবে না এবং স্বামী পরিত্যক্ত স্ত্রীকে বিয়ে করবে না, কারণ যাজক নিজের ঈশ্বরের উদ্দেশ্যে পবিত্র।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 8] অতএব তুমি তাকে পবিত্র রাখবে; কারণ সে তোমার ঈশ্বরের খাদ্য উৎসর্গ করে; সে তোমার কাছে পবিত্র হবে; কারণ তোমাদের পবিত্রকারী সদাপ্রভু আমি পবিত্র।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 9] আর কোনো যাজকের মেয়ে যদি ব্যভিচার কাজ দ্বারা নিজেকে অপবিত্র করে, তবে সে নিজের বাবাকে অপবিত্র করে; তাকে আগুনে পুড়িয়ে দিতে হবে।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 10] আর নিজের ভাইদের মধ্যে প্রধান যাজক, যার মাথাতে অভিষেক-তেল ঢালা হয়েছে, যে ব্যক্তি হস্তপূরণ দ্বারা পবিত্র বস্ত্র পরার অধিকারী হয়েছে, সে নিজের মাথা ন্যাড়া করবে না ও নিজের কাপড় ছিঁড়বে না।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 11] আর সে কোনো মৃত দেহের কাছে যাবে না, নিজের বাবার কি নিজের মায়ের জন্যও সে নিজেকে অশুচি করবে না
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 12] এবং ধর্ম্মধাম থেকে বাহরে যাবে না এবং নিজের ঈশ্বরের ধর্ম্মধাম অপবিত্র করবে না, কারণ তার ঈশ্বরের অভিষেক-তেলের সংস্কার তার ওপরে আছে; আমি সদাপ্রভু।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 13] আর সে কেবল কুমারীকে বিয়ে করবে।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 14] বিধবা, কি পরিত্যক্তা, কি ভ্রষ্টা স্ত্রী, কি বেশ্যা, এদের মধ্যে এক কুমারীকে বিয়ে করবে।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 15] সে নিজের লোকদের মধ্যে নিজের বংশ অপবিত্র করবে না, কারণ আমি সদাপ্রভু তার পবিত্রকারী।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 16] আর সদাপ্রভু মোশিকে বললেন,
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 17] তুমি হারোণকে বল, পুরুষানুক্রমে তোমার বংশের মধ্যে যার গায়ে দোষ থাকে, সে নিজের ঈশ্বরের খাদ্য উৎসর্গ করতে কাছাকাছি না হোক।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 18] যে কোন ব্যক্তির দোষ আছে, সে কাছে যাবে না; অন্ধ, কি খোঁড়া,
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 19] কি খাঁদা, কি বিকলাঙ্গ, কি পা ভাঙা, কি হাত ভাঙা, কি কুঁজো, কি বামন,
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 20] কি ছানিপড়া, কি কালসিটে, কি খোস, কি ক্ষতিগ্রস্ত অন্ডকোষ;
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 21] কোনো দোষ বিশিষ্ট কোনো পুরুষ হারোণ যাজকের বংশের মধ্যে আছে, সে সদাপ্রভুর উদ্দেশ্যে আগুনে করা উপহার উৎসর্গ করতে কাছে যাবে না; তার দোষ আছে, সে নিজের ঈশ্বরের খাদ্য উৎসর্গ করতে কাছে যাবে না।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 22] সে নিজের ঈশ্বরের খাদ্য, অতি পবিত্র বস্তু ও পবিত্র বস্তু ভোজন করতে পারবে;
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 23] কিন্তু পর্দার ভেতরে প্রবেশ করবে না ও বেদির কাছে যাবে না, কারণ তার দোষ আছে; সে আমার পবিত্র জায়গা সব অপবিত্র করবে না, কারণ আমি সদাপ্রভু সে সকলের পবিত্রকারী।
[IRV | BN | OT | Leviticus | Chapter 21 | Verse 24] মোশি হারোণকে, তাঁর ছেলেদেরকে ও সমস্ত ইস্রায়েলদের কে এই কথা বললেন।
