[ERV | EN | OT | Proverbs | Chapter 7 | Verse 1] My son, keep my words, and lay up my commandments with thee.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 2] Keep my commandments and live; and my law as the apple of thine eye.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 3] Bind them upon thy fingers; write them upon the table of thine heart.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 4] Say unto wisdom, Thou art my sister; and call understanding thy kinswoman:
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 5] That they may keep thee from the strange woman, from the stranger which flattereth with her words.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 6] For at the window of my house I looked forth through my lattice;
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 7] And I beheld among the simple ones, I discerned among the youths, a young man void of understanding,
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 8] Passing through the street near her corner, and he went the way to her house;
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 9] In the twilight, in the evening of the day, in the blackness of night and the darkness.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 10] And, behold, there met him a woman with the attire of an harlot, and wily of heart.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 11] She is clamorous, and wilful; her feet abide not in her house:
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 12] Now she is in the streets, now in the broad places, and lieth in wait at every corner.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 13] So she caught him, and kissed him, and with an impudent face she said unto him:
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 14] Sacrifices of peace offerings are with me; this day have I paid my vows.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 15] Therefore came I forth to meet thee, diligently to seek thy face, and I have found thee.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 16] I have spread my couch with carpets of tapestry, with striped cloths of the yarn of Egypt.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 17] I have perfumed my bed with myrrh, aloes, and cinnamon.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 18] Come, let us take our fill of love until the morning; let us solace ourselves with loves.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 19] For the goodman is not at home, he is gone a long journey:
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 20] He hath taken a bag of money with him; he will come home at the full moon.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 21] With her much fair speech she causeth him to yield, with the flattering of her lips she forceth him away.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 22] He goeth after her straightway, as an ox goeth to the slaughter, or as fetters to the correction of the fool;
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 23] Till an arrow strike through his liver; as a bird hasteth to the snare, and knoweth not that it is for his life.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 24] Now therefore, my sons, hearken unto me, and attend to the words of my mouth.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 25] Let not thine heart decline to her ways, go not astray in her paths.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 26] For she hath cast down many wounded: yea, all her slain are a mighty host.
[ERV | EN | OT | Proverbs | Chapter 7 | Verse 27] Her house is the way to Sheol, going down to the chambers of death.
