[ERV | EN | OT | Proverbs | Chapter 5 | Verse 1] My son, attend unto my wisdom; incline thine ear to my understanding:
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 2] That thou mayest preserve discretion, and that thy lips may keep knowledge.
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 3] For the lips of a strange woman drop honey, and her mouth is smoother than oil:
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 4] But her latter end is bitter as wormwood, sharp as a two-edged sword.
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 5] Her feet go down to death; her steps take hold on Sheol;
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 6] So that she findeth not the level path of life: her ways are unstable and she knoweth it not.
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 7] Now therefore, my sons, hearken unto me, and depart not from the words of my mouth.
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 8] Remove thy way far from her, and come not nigh the door of her house:
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 9] Lest thou give thine honour unto others, and thy years unto the cruel:
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 10] Lest strangers be filled with thy strength; and thy labours be in the house of an alien;
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 11] And thou mourn at thy latter end, when thy flesh and thy body are consumed,
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 12] And say, How have I hated instruction, and my heart despised reproof;
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 13] Neither have I obeyed the voice of my teachers, nor inclined mine ear to them that instructed me!
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 14] I was well nigh in all evil in the midst of the congregation and assembly.
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 15] Drink waters out of thine own cistern, and running waters out of thine own well.
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 16] Should thy springs be dispersed abroad, and rivers of water in the streets?
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 17] Let them be for thyself alone, and not for strangers with thee.
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 18] Let thy fountain be blessed; and rejoice in the wife of thy youth.
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 19] As a loving hind and a pleasant doe, let her breasts satisfy thee at all times; and be thou ravished always with her love.
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 20] For why shouldest thou, my son, be ravished with a strange woman, and embrace the bosom of a stranger?
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 21] For the ways of man are before the eyes of the LORD, and he maketh level all his paths.
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 22] His own iniquities shall take the wicked, and he shall be holden with the cords of his sin.
[ERV | EN | OT | Proverbs | Chapter 5 | Verse 23] He shall die for lack of instruction; and in the greatness of his folly he shall go astray.
