[ERV | EN | OT | Proverbs | Chapter 21 | Verse 1] The king’s heart is in the hand of the LORD as the watercourses: he turneth it whithersoever he will.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 2] Every way of a man is right in his own eyes: but the LORD weigheth the hearts.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 3] To do justice and judgment is more acceptable to the LORD than sacrifice.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 4] An high look, and a proud heart, even the lamp of the wicked, is sin.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 5] The thoughts of the diligent tend only to plenteousness: but every one that is hasty hasteth only to want.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 6] The getting of treasures by a lying tongue is a vapour driven to and fro; they that seek them seek death.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 7] The violence of the wicked shall sweep them away; because they refuse to do judgment.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 8] The way of him that is laden with guilt is exceeding crooked: but as for the pure, his work is right.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 9] It is better to dwell in the corner of the housetop, than with a contentious woman in a wide house.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 10] The soul of the wicked desireth evil: his neighbour findeth no favour in his eyes.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 11] When the scorner is punished, the simple is made wise: and when the wise is instructed, he receiveth knowledge.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 12] The righteous man considereth the house of the wicked; how the wicked are overthrown to their ruin.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 13] Whoso stoppeth his ears at the cry of the poor, he also shall cry, but shall not be heard.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 14] A gift in secret pacifieth anger, and a present in the bosom strong wrath.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 15] It is joy to the righteous to do judgment; but it is a destruction to the workers of iniquity.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 16] The man that wandereth out of the way of understanding shall rest in the congregation of the dead.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 17] He that loveth pleasure shall be a poor man: he that loveth wine and oil shall not be rich.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 18] The wicked is a ransom for the righteous; and the treacherous cometh in the stead of the upright.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 19] It is better to dwell in a desert land, than with a contentious and fretful woman.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 20] There is precious treasure and oil in the dwelling of the wise; but a foolish man swalloweth it up.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 21] He that followeth after righteousness and mercy findeth life, righteousness, and honour.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 22] A wise man scaleth the city of the mighty, and bringeth down the strength of the confidence thereof.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 23] Whoso keepeth his mouth and his tongue keepeth his soul from troubles.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 24] The proud and haughty man, scorner is his name, he worketh in the arrogance of pride.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 25] The desire of the slothful killeth him; for his hands refuse to labour.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 26] There is that coveteth greedily all the day long: but the righteous giveth and withholdeth not.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 27] The sacrifice of the wicked is an abomination: how much more, when he bringeth it with a wicked mind!
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 28] A false witness shall perish: but the man that heareth shall speak unchallenged.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 29] A wicked man hardeneth his face: but as for the upright, he ordereth his ways.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 30] There is no wisdom nor understanding nor counsel against the LORD.
[ERV | EN | OT | Proverbs | Chapter 21 | Verse 31] The horse is prepared against the day of battle: but victory is of the LORD,
