[ERV | EN | OT | Proverbs | Chapter 24 | Verse 1] Be not thou envious against evil men, neither desire to be with them.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 2] For their heart studieth oppression, and their lips talk of mischief.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 3] Through wisdom is an house builded; and by understanding it is established:
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 4] And by knowledge are the chambers filled with all precious and pleasant riches.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 5] A wise man is strong; yea, a man of knowledge increaseth might.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 6] For by wise guidance thou shalt make thy war: and in the multitude of counsellors there is safety.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 7] Wisdom is too high for a fool: he openeth not his mouth in the gate.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 8] He that deviseth to do evil, men shall call him a mischievous person.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 9] The thought of the foolish is sin: and the scorner is an abomination to men.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 10] If thou faint in the day of adversity, thy strength is small.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 11] Deliver them that are carried away unto death, and those that are ready to be slain see that thou hold back.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 12] If thou sayest, Behold, we knew not this: doth not he that weigheth the hearts consider it? and he that keepeth thy soul, doth not he know it? and shall not he render to every man according to his work?
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 13] My son, eat thou honey, for it is good; and the honeycomb, which is sweet to thy taste:
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 14] So shalt thou know wisdom to be unto thy soul: if thou hast found it, then shall there be a reward, and thy hope shall not be cut off.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 15] Lay not wait, O wicked man, against the habitation of the righteous; spoil not his resting place:
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 16] For a righteous man falleth seven times, and riseth up again: but the wicked are overthrown by calamity.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 17] Rejoice not when thine enemy falleth, and let not thine heart be glad when he is overthrown:
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 18] Lest the LORD see it, and it displease him, and he turn away his wrath from him.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 19] Fret not thyself because of evil-doers; neither be thou envious at the wicked:
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 20] For there will be no reward to the evil man; the lamp of the wicked shall be put out.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 21] My son, fear thou the LORD and the king: and meddle not with them that are given to change:
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 22] For their calamity shall rise suddenly; and who knoweth the destruction of them both?
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 23] These also are sayings of the wise. To have respect of persons in judgment is not good.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 24] He that saith unto the wicked, Thou art righteous; peoples shall curse him, nations shall abhor him:
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 25] But to them that rebuke him shall be delight, and a good blessing shall come upon them.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 26] He kisseth the lips that giveth a right answer.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 27] Prepare thy work without, and make it ready for thee in the field; and afterwards build thine house.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 28] Be not a witness against thy neighbour without cause; and deceive not with thy lips.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 29] Say not, I will do so to him as he hath done to me; I will render to the man according to his work.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 30] I went by the field of the slothful, and by the vineyard of the man void of understanding;
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 31] And, lo, it was all grown over with thorns, the face thereof was covered with nettles, and the stone wall thereof was broken down.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 32] Then I beheld, and considered well: I saw, and received instruction.
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 33] Yet a little sleep, a little slumber, a little folding of the hands to sleep:
[ERV | EN | OT | Proverbs | Chapter 24 | Verse 34] So shall thy poverty come as a robber; and thy want as an armed man.
