[ERV | EN | OT | Proverbs | Chapter 4 | Verse 1] Hear, my sons, the instruction of a father, and attend to know understanding:
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 2] For I give you good doctrine; forsake ye not my law.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 3] For I was a son unto my father, tender and only beloved in the sight of my mother.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 4] And he taught me, and said unto me, Let thine heart retain my words; keep my commandments, and live:
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 5] Get wisdom, get understanding; forget it not, neither decline from the words of my mouth:
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 6] Forsake her not, and she shall preserve thee; love her, and she shall keep thee.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 7] Wisdom is the principal thing; therefore get wisdom: yea, with all thou hast gotten get understanding.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 8] Exalt her, and she shall promote thee: she shall bring thee to honour, when thou dost embrace her.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 9] She shall give to thine head a chaplet of grace: a crown of beauty shall she deliver to thee.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 10] Hear, O my son, and receive my sayings; and the years of thy life shall be many.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 11] I have taught thee in the way of wisdom; I have led thee in paths of uprightness.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 12] When thou goest, thy steps shall not be straitened; and if thou runnest, thou shalt not stumble.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 13] Take fast hold of instruction; let her not go: keep her; for she is thy life.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 14] Enter not into the path of the wicked, and walk not in the way of evil men.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 15] Avoid it, pass not by it; turn from it, and pass on.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 16] For they sleep not, except they have done mischief; and their sleep is taken away, unless they cause some to fall.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 17] For they eat the bread of wickedness, and drink the wine of violence.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 18] But the path of the righteous is as the shining light, that shineth more and more unto the perfect day.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 19] The way of the wicked is as darkness: they know not at what they stumble.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 20] My son, attend to my words; incline thine ear unto my sayings.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 21] Let them not depart from thine eyes; keep them in the midst of thine heart.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 22] For they are life unto those that find them, and health to all their flesh.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 23] Keep thy heart with all diligence; for out of it are the issues of life.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 24] Put away from thee a froward mouth, and perverse lips put far from thee.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 25] Let thine eyes look right on, and let thine eyelids look straight before thee.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 26] Make level the path of thy feet, and let all thy ways be established.
[ERV | EN | OT | Proverbs | Chapter 4 | Verse 27] Turn not to the right hand nor to the left: remove thy foot from evil.
