[ERV | EN | OT | Proverbs | Chapter 10 | Verse 1] The proverbs of Solomon. A wise son maketh a glad father: but a foolish son is the heaviness of his mother.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 2] Treasures of wickedness profit nothing: but righteousness delivereth from death.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 3] The LORD will not suffer the soul of the righteous to famish: but he thrusteth away the desire of the wicked.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 4] He becometh poor that dealeth with a slack hand: but the hand of the diligent maketh rich.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 5] He that gathereth in summer is a wise son: but he that sleepeth in harvest is a son that causeth shame.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 6] Blessings are upon the head of the righteous: but violence covereth the mouth of the wicked.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 7] The memory of the just is blessed: but the name of the wicked shall rot.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 8] The wise in heart will receive commandments: but a prating fool shall fall.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 9] He that walketh uprightly walketh surely: but he that perverteth his ways shall be known.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 10] He that winketh with the eye causeth sorrow: but a prating fool shall fall.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 11] The mouth of the righteous is a fountain of life: but violence covereth the mouth of the wicked.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 12] Hatred stirreth up strifes: but love covereth all transgressions.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 13] In the lips of him that hath discernment wisdom is found: but a rod is for the back of him that is void of understanding.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 14] Wise men lay up knowledge: but the mouth of the foolish is a present destruction.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 15] The rich man’s wealth is his strong city: the destruction of the poor is their poverty.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 16] The labour of the righteous tendeth to life; the increase of the wicked to sin.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 17] He is in the way of life that heedeth correction: but he that forsaketh reproof erreth.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 18] He that hideth hatred is of lying lips; and he that uttereth a slander is a fool.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 19] In the multitude of words there wanteth not transgression: but he that refraineth his lips doeth wisely.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 20] The tongue of the righteous is as choice silver: the heart of the wicked is little worth.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 21] The lips of the righteous feed many: but the foolish die for lack of understanding.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 22] The blessing of the LORD, it maketh rich, and he addeth no sorrow therewith.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 23] It is as sport to a fool to do wickedness: and so is wisdom to a man of understanding.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 24] The fear of the wicked, it shall come upon him: and the desire of the righteous shall be granted.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 25] When the whirlwind passeth, the wicked is no more: but the righteous is an everlasting foundation.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 26] As vinegar to the teeth, and as smoke to the eyes, so is the sluggard to them that send him.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 27] The fear of the LORD prolongeth days: but the years of the wicked shall be shortened.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 28] The hope of the righteous shall be gladness: but the expectation of the wicked shall perish.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 29] The way of the LORD is a strong hold to the upright; but it is a destruction to the workers of iniquity.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 30] The righteous shall never be removed: but the wicked shall not dwell in the land.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 31] The mouth of the righteous bringeth forth wisdom: but the froward tongue shall be cut off.
[ERV | EN | OT | Proverbs | Chapter 10 | Verse 32] The lips of the righteous know what is acceptable: but the mouth of the wicked speaketh frowardness.
