[ERV | EN | OT | Proverbs | Chapter 3 | Verse 1] My son, forget not my law; but let thine heart keep my commandments:
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 2] For length of days, and years of life, and peace, shall they add to thee.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 3] Let not mercy and truth forsake thee: bind them about thy neck; write them upon the table of thine heart:
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 4] So shalt thou find favour and good understanding in the sight of God and man.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 5] Trust in the LORD with all thine heart, and lean not upon thine own understanding:
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 6] In all thy ways acknowledge him, and he shall direct thy paths.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 7] Be not wise in thine own eyes; fear the LORD, and depart from evil:
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 8] It shall be health to thy navel, and marrow to thy bones.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 9] Honour the LORD with thy substance, and with the firstfruits of all thine increase:
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 10] So shall thy barns be filled with plenty, and thy vats shall overflow with new wine.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 11] My son, despise not the chastening of the LORD; neither be weary of his reproof:
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 12] For whom the LORD loveth he reproveth; even as a father the son in whom he delighteth.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 13] Happy is the man that findeth wisdom, and the man that getteth understanding.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 14] For the merchandise of it is better than the merchandise of silver, and the gain thereof than fine gold.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 15] She is more precious than rubies: and none of the things thou canst desire are to be compared unto her.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 16] Length of days is in her right had; in her left hand are riches and honour.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 17] Her ways are ways of pleasantness, and all her paths are peace.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 18] She is a tree of life to them that lay hold upon her: and happy is every one that retaineth her.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 19] The LORD by wisdom founded the earth; by understanding he established the heavens.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 20] By his knowledge the depths were broken up, and the skies drop down the dew.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 21] My son, let not them depart from thine eyes; keep sound wisdom and discretion;
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 22] So shall they be life unto thy soul, and grace to thy neck.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 23] Then shalt thou walk in thy way securely, and thy foot shall not stumble.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 24] When thou liest down, thou shalt not be afraid: yea, thou shalt lie down, and thy sleep shall be sweet.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 25] Be not afraid of sudden fear, neither of the desolation of the wicked, when it cometh:
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 26] For the LORD shall be thy confidence, and shall keep thy foot from being taken.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 27] Withhold not good from them to whom it is due, when it is in the power of thine hand to do it.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 28] Say not unto thy neighbour, Go, and come again, and tomorrow I will give; when thou hast it by thee.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 29] Devise not evil against thy neighbour, seeing he dwelleth securely by thee.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 30] Strive not with a man without cause, if he have done thee no harm.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 31] Envy thou not the man of violence, and choose none of his ways.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 32] For the perverse is an abomination to the LORD: but his secret is with the upright.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 33] The curse of the LORD is in the house of the wicked; but he blesseth the habitation of the righteous.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 34] Surely he scorneth the scorners, but he giveth grace unto the lowly.
[ERV | EN | OT | Proverbs | Chapter 3 | Verse 35] The wise shall inherit glory; but shame shall be the promotion of fools.
