[ERV | EN | OT | Proverbs | Chapter 22 | Verse 1] A good name is rather to be chosen than great riches, and loving favour rather than silver and gold.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 2] The rich and the poor meet together: the LORD is the maker of them all.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 3] A prudent man seeth the evil, and hideth himself: but the simple pass on, and suffer for it.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 4] The reward of humility and the fear of the LORD is riches, and honour, and life.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 5] Thorns and snares are in the way of the froward: he that keepeth his soul shall be far from them.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 6] Train up a child in the way he should go, and even when he is old he will not depart from it.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 7] The rich ruleth over the poor, and the borrower is servant to the lender.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 8] He that soweth iniquity shall reap calamity: and the rod of his wrath shall fail.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 9] He that hath a bountiful eye shall be blessed; for he giveth of his bread to the poor.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 10] Cast out the scorner, and contention shall go out; yea, strife and ignominy shall cease.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 11] He that loveth pureness of heart, for the grace of his lips the king shall be his friend.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 12] The eyes of the LORD preserve him that hath knowledge, but he overthroweth the words of the treacherous man.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 13] The sluggard saith, There is a lion without: I shall be murdered in the streets.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 14] The mouth of strange women is a deep pit: he that is abhorred of the LORD shall fall therein.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 15] Foolishness is bound up in the heart of a child; but the rod of correction shall drive it far from him.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 16] He that oppresseth the poor to increase his gain, and he that giveth to the rich, cometh only to want.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 17] Incline thine ear, and hear the words of the wise, and apply thine heart unto my knowledge.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 18] For it is a pleasant thing if thou keep them within thee, if they be established together upon thy lips.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 19] That thy trust may be in the LORD, I have made them known to thee this day, even to thee.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 20] Have not I written unto thee excellent things of counsels and knowledge;
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 21] To make thee know the certainty of the words of truth, that thou mayest carry back words of truth to them that send thee?
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 22] Rob not the poor, because he is poor, neither oppress the afflicted in the gate:
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 23] For the LORD will plead their cause, and despoil of life those that despoil them.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 24] Make no friendship with a man that is given to anger; and with a wrathful man thou shalt not go:
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 25] Lest thou learn his ways, and get a snare to thy soul.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 26] Be thou not one of them that strike hands, or of them that are sureties for debts:
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 27] If thou hast not wherewith to pay, why should he take away thy bed from under thee?
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 28] Remove not the ancient landmark, which thy fathers have set.
[ERV | EN | OT | Proverbs | Chapter 22 | Verse 29] Seest thou a man diligent in his business? he shall stand before kings; he shall not stand before mean men.
