[ERV | EN | OT | Proverbs | Chapter 14 | Verse 1] Every wise woman buildeth her house: but the foolish plucketh it down with her own hands.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 2] He that walketh in his uprightness feareth the LORD: but he that is perverse in his ways despiseth him.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 3] In the mouth of the foolish is a rod of pride: but the lips of the wise shall preserve them.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 4] Where no oxen are, the crib is clean: but much increase is by the strength of the ox.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 5] A faithful witness will not lie: but a false witness uttereth lies.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 6] A scorner seeketh wisdom, and findeth it not: but knowledge is easy unto him that hath understanding.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 7] Go into the presence of a foolish man, and thou shalt not perceive in him the lips of knowledge.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 8] The wisdom of the prudent is to understand his way: but the folly of fools is deceit.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 9] The foolish make a mock at guilt: but among the upright there is good will.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 10] The heart knoweth its own bitterness; and a stranger doth not intermeddle with its joy.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 11] The house of the wicked shall be overthrown: but the tent of the upright shall flourish.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 12] There is a way which seemeth right unto a man, but the end thereof are the ways of death.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 13] Even in laughter the heart is sorrowful; and the end of mirth is heaviness.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 14] The backslider in heart shall be filled with his own ways: and a good man shall be satisfied from himself.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 15] The simple believeth every word: but the prudent man looketh well to his going.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 16] A wise man feareth, and departeth from evil: but the fool beareth himself insolently, and is confident.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 17] He that is soon angry will deal foolishly: and a man of wicked devices is hated.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 18] The simple inherit folly: but the prudent are crowned with knowledge.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 19] The evil bow before the good; and the wicked at the gates of the righteous.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 20] The poor is hated even of his own neighbour: but the rich hath many friends.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 21] He that despiseth his neighbour sinneth: but he that hath pity on the poor, happy is he.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 22] Do they not err that devise evil? but mercy and truth shall be to them that devise good.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 23] In all labour there is profit: but the talk of the lips tendeth only to penury.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 24] The crown of the wise is their riches: but the folly of fools is only folly.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 25] A true witness delivereth souls: but he that uttereth lies causeth deceit.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 26] In the fear of the LORD is strong confidence: and his children shall have a place of refuge.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 27] The fear of the LORD is a fountain of life, to depart from the snares of death.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 28] In the multitude of people is the king’s glory: but in the want of people is the destruction of the prince.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 29] He that is slow to anger is of great understanding: but he that is hasty of spirit exalteth folly.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 30] A sound heart is the life of the flesh: but envy is the rottenness of the bones.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 31] He that oppresseth the poor reproacheth his Maker: but he that hath mercy on the needy honoureth him.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 32] The wicked is thrust down in his evil-doing: but the righteous hath hope in his death.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 33] Wisdom resteth in the heart of him that hath understanding: but that which is in the inward part of fools is made known.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 34] Righteousness exalteth a nation: but sin is a reproach to any people.
[ERV | EN | OT | Proverbs | Chapter 14 | Verse 35] The king’s favour is toward a servant that dealeth wisely: but his wrath shall be against him that causeth shame.
