[ERV | EN | OT | Proverbs | Chapter 6 | Verse 1] My son, if thou art become surety for thy neighbour, if thou hast stricken thy hands for a stranger,
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 2] Thou art snared with the words of thy mouth, thou art taken with the words of thy mouth.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 3] Do this now, my son, and deliver thyself, seeing thou art come into the hand of thy neighbour; go, humble thyself, and importune thy neighbour.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 4] Give not sleep to thine eyes, nor slumber to thine eyelids.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 5] Deliver thyself as a roe from the hand of the hunter, and as a bird from the hand of the fowler.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 6] Go to the ant, thou sluggard; consider her ways, and be wise:
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 7] Which having no chief, overseer, or ruler,
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 8] Provideth her meat in the summer, and gathereth her food in the harvest.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 9] How long wilt thou sleep, O sluggard? when wilt thou arise out of thy sleep?
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 10] Yet a little sleep, a little slumber, a little folding of the hands to sleep:
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 11] So shall thy poverty come as a robber, and thy want as an armed man.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 12] A worthless person, a man of iniquity; he walketh with a froward mouth;
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 13] He winketh with his eyes, he speaketh with his feet, he maketh signs with his fingers;
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 14] Frowardness is in his heart, he deviseth evil continually; he soweth discord.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 15] Therefore shall his calamity come suddenly; on a sudden shall he be broken and that without remedy.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 16] There be six things which the LORD hateth; yea, seven which are an abomination unto him:
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 17] Haughty eyes, a lying tongue, and hands that shed innocent blood;
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 18] An heart that deviseth wicked imaginations, feet that be swift in running to mischief;
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 19] A false witness that uttereth lies, and he that soweth discord among brethren.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 20] My son, keep the commandment of thy father, and forsake not the law of thy mother:
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 21] Bind them continually upon thine heart, tie them about thy neck.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 22] When thou walkest, it shall lead thee; when thou sleepest, it shall watch over thee; and when thou awakest, it shall talk with thee.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 23] For the commandment is a lamp; and the law is light; and reproofs of instruction are the way of life:
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 24] To keep thee from the evil woman, from the flattery of the stranger’s tongue.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 25] Lust not after her beauty in thine heart; neither let her take thee with her eyelids.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 26] For on account of a whorish woman a man is brought to a piece of bread: and the adulteress hunteth for the precious life.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 27] Can a man take fire in his bosom, and his clothes not be burned?
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 28] Or can one walk upon hot coals, and his feet not be scorched?
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 29] So he that goeth in to his nieghbour’s wife; whosoever toucheth her shall not be unpunished.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 30] Men do not despise a thief, if he steal to satisfy his soul when he is hungry:
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 31] But if he be found, he shall restore sevenfold; he shall give all the substance of his house.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 32] He that committeth adultery with a woman is void of understanding: he doeth it that would destroy his own soul.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 33] Wounds and dishonour shall he get; and his reproach shall not be wiped away.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 34] For jealousy is the rage of a man; and he will not spare in the day of vengeance.
[ERV | EN | OT | Proverbs | Chapter 6 | Verse 35] He will not regard any ransom; neither will he rest content, though thou givest many gifts.
