[ERV | EN | OT | Proverbs | Chapter 11 | Verse 1] A FALSE balance is an abomination to the LORD: but a just weight is his delight.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 2] When pride cometh, then cometh shame: but with the lowly is wisdom.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 3] The integrity of the upright shall guide them: but the perverseness of the treacherous shall destroy them.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 4] Riches profit not in the day of wrath: but righteousness delivereth from death.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 5] The righteousness of the perfect shall direct his way: but the wicked shall fall by his own wickedness.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 6] The righteousness of the upright shall deliver them: but they that deal treacherously shall be taken in their own mischief.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 7] When a wicked man dieth his expectation shall perish: and the hope of iniquity perisheth.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 8] The righteous is delivered out of trouble, and the wicked cometh in his stead.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 9] With his mouth the godless man destroyeth his neighbour: but through knowledge shall the righteous be delivered.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 10] When it goeth well with the righteous, the city rejoiceth: and when the wicked perish, there is shouting.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 11] By the blessing of the upright the city is exalted: but it is overthrown by the mouth of the wicked.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 12] He that despiseth his neighbour is void of wisdom: but a man of understanding holdeth his peace.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 13] He that goeth about as a talebearer revealeth secrets: but he that is of a faithful spirit concealeth the matter.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 14] Where no wise guidance is, the people falleth: but in the multitude of counsellors there is safety.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 15] He that is surety for a stranger shall smart for it: but he that hateth suretiship is sure.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 16] A gracious woman retaineth honour: and violent men retain riches.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 17] The merciful man doeth good to his own soul: but he that is cruel troubleth his own flesh.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 18] The wicked earneth deceitful wages: but he that soweth righteousness hath a sure reward.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 19] He that is stedfast in righteousness shall attain unto life: and he that pursueth evil doeth it to his own death.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 20] They that are perverse in heart are an abomination to the LORD: but such as are perfect in their way are his delight.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 21] Though hand join in hand, the evil man shall not be unpunished: but the seed of the righteous shall be delivered.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 22] As a jewel of gold in a swine’s snout, so is a fair woman which is without discretion.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 23] The desire of the righteous is only good: but the expectation of the wicked is wrath.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 24] There is that scattereth, and increaseth yet more; and there is that withholdeth more than is meet, but it tendeth only to want.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 25] The liberal soul shall be made fat: and he that watereth shall be watered also himself.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 26] He that withholdeth corn, the people shall curse him: but blessing shall be upon the head of him that selleth it.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 27] He that diligently seeketh good seeketh favour: but he that searcheth after mischief, it shall come unto him.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 28] He that trusteth in his riches shall fall: but the righteous shall flourish as the green leaf.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 29] He that troubleth his own house shall inherit the wind: and the foolish shall be servant to the wise of heart.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 30] The fruit of the righteous is a tree of life; and he that is wise winneth souls.
[ERV | EN | OT | Proverbs | Chapter 11 | Verse 31] Behold, the righteous shall be recompensed in the earth: how much more the wicked and the sinner!
