[ERV | EN | OT | Proverbs | Chapter 31 | Verse 1] The words of king Lemuel; the oracle which his mother taught him.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 2] What, my son? and what, O son of my womb, and what, O son of my vows?
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 3] Give not thy strength unto women, nor thy ways to that which destroyeth kings.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 4] It is not for kings, O Lemuel, it is not for kings to drink wine; nor for princes to say, Where is strong drink?
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 5] Lest they drink, and forget the law, and pervert the judgment of any that is afflicted.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 6] Give strong drink unto him that is ready to perish, and wine unto the bitter in soul:
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 7] Let him drink, and forget his poverty, and remember his misery no more.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 8] Open thy mouth for the dumb, in the cause of all such as are left desolate.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 9] Open thy mouth, judge righteously, and minister judgment to the poor and needy.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 10] A virtuous woman who can find? for her price is far above rubies.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 11] The heart of her husband trusteth in her, and he shall have no lack of gain.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 12] She doeth him good and not evil all the days of her life.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 13] She seeketh wool and flax, and worketh willingly with her hands.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 14] She is like the merchant-ships; she bringeth her food from afar.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 15] She riseth also while it is yet night, and giveth meat to her household, and their task to her maidens.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 16] She considereth a field, and buyeth it: with the fruit of her hands she planteth a vineyard.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 17] She girdeth her loins with strength, and maketh strong her arms.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 18] She perceiveth that her merchandise is profitable: her lamp goeth not out by night.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 19] She layeth her hands to the distaff, and her hands hold the spindle.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 20] She spreadeth out her hand to the poor; yea, she reacheth forth her hands to the needy.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 21] She is not afraid of the snow for her household; for all her household are clothed with scarlet.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 22] She maketh for herself carpets of tapestry; her clothing is fine linen and purple.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 23] Her husband is known in the gates, when he sitteth among the elders of the land.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 24] She maketh linen garments and selleth them; and delivereth girdles unto the merchant.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 25] Strength and dignity are her clothing; and she laugheth at the time to come.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 26] She openeth her mouth with wisdom; and the law of kindness is on her tongue.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 27] She looketh well to the ways of her household, and eateth not the bread of idleness.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 28] Her children rise up, and call her blessed; her husband also, and he praiseth her, saying:
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 29] Many daughters have done virtuously, but thou excellest them all.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 30] Favour is deceitful, and beauty is vain: but a woman that feareth the LORD, she shall be praised.
[ERV | EN | OT | Proverbs | Chapter 31 | Verse 31] Give her of the fruit of her hands; and let her works praise her in the gates.
