[ERV | EN | OT | Proverbs | Chapter 29 | Verse 1] He that being often reproved hardeneth his neck shall suddenly be broken, and that without remedy.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 2] When the righteous are increased, the people rejoice: but when a wicked man beareth rule, the people sigh.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 3] Whoso loveth wisdom rejoiceth his father: but he that keepeth company with harlots wasteth his substance.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 4] The king by judgment establisheth the land: but he that exacteth gifts overthroweth it.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 5] A man that flattereth his neighbour spreadeth a net for his steps.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 6] In the transgression of an evil man there is a snare: but the righteous doth sing and rejoice.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 7] The righteous taketh knowledge of the cause of the poor: the wicked hath not understanding to know it.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 8] Scornful men set a city in a flame: but wise men turn away wrath.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 9] If a wise man hath a controversy with a foolish man, whether he be angry or laugh, there will be no rest.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 10] The bloodthirsty hate him that is perfect: and as for the upright, they seek his life.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 11] A fool uttereth all his anger: but a wise man keepeth it back and stilleth it.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 12] If a ruler hearkeneth to falsehood, all his servants are wicked.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 13] The poor man and the oppressor meet together: the LORD lighteneth the eyes of them both.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 14] The king that faithfully judgeth the poor, his throne shall be established for ever.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 15] The rod and reproof give wisdom: but a child left to himself causeth shame to his mother.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 16] When the wicked are increased, transgression increaseth: but the righteous shall look upon their fall.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 17] Correct thy son, and he shall give thee rest; yea, he shall give delight unto thy soul.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 18] Where there is no vision, the people cast off restraint: but he that keepeth the law, happy is he.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 19] A servant will not be corrected by words: for though he understand he will not give heed.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 20] Seest thou a man that is hasty in his words? there is more hope of a fool than of him.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 21] He that delicately bringeth up his servant from a child shall have him become a son at the last.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 22] An angry man stirreth up strife, and a wrathful man aboundeth in transgression.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 23] A man’s pride shall bring him low: but he that is of a lowly spirit shall obtain honour.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 24] Whoso is partner with a thief hateth his own soul: he heareth the adjuration and uttereth nothing.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 25] The fear of man bringeth a snare: but whoso putteth his trust in the LORD shall be safe.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 26] Many seek the ruler’s favour: but a man’s judgment cometh from the LORD.
[ERV | EN | OT | Proverbs | Chapter 29 | Verse 27] An unjust man is an abomination to the righteous: and he that is upright in the way is an abomination to the wicked.
