[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 1] Nowe when the wall was builded, and I had set vp the doores, and the porters, and the singers and the Leuites were appointed,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 2] Then I commanded my brother Hanani and Hananiah the prince of the palace in Ierusalem (for he was doubtlesse a faithfull man, and feared God aboue many)
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 3] And I saide vnto them, Let not the gates of Ierusalem be opened, vntill the heate of the sunne: and while they stande by, let them shut the doores, and make them fast: and I appointed wardes of the inhabitants of Ierusalem, euery one in his warde, and euery one ouer against his house.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 4] Nowe the citie was large and great, but the people were few therein, and the houses were not buylded.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 5] And my God put into mine heart, and I gathered the princes, and the rulers, and the people, to count their genealogies: and I found a booke of the genealogie of them, which came vp at the first, and found written therein,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 6] These are the sonnes of the prouince that came vp from the captiuitie that was caried away (whome Nebuchadnezzar King of Babel had caryed away) and they returned to Ierusalem and to Iudah, euery one vnto his citie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 7] They which came with Zerubbabel, Ieshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Biguai, Nehum, Baanah. This is the nomber of the men of the people of Israel.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 8] The sonnes of Parosh, two thousande an hundreth seuentie and two.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 9] The sonnes of Shephatiah, three hundreth seuentie and two.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 10] The sonnes of Arah, sixe hundreth fiftie and two.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 11] The sonnes of Pahath Moab of ye sonnes of Ieshua, and Ioab, two thousand, eight hundreth and eighteene.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 12] The sonnes of Elam, a thousand, two hundreth fiftie and foure.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 13] The sonnes of Zattu, eight hundreth and fiue and fourtie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 14] The sonnes of Zacchai, seuen hundreth and three score.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 15] The sonnes of Binnui, sixe hundreth and eight and fourtie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 16] The sonnes of Bebai, sixe hundreth and eight and twentie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 17] The sonnes of Azgad, two thousand, three hundreth and two and twentie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 18] The sonnes of Adonikam, sixe hundreth three score and seuen.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 19] The sonnes of Biguai, two thousand three score and seuen.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 20] The sonnes of Adin, sixe hundreth, and fiue and fiftie.
