[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 1] Now they that sealed were Nehemiah the Tirshatha the sonne of Hachaliah, and Zidkiiah,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 2] Seraiah, Azariah, Ieremiah,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 3] Pashur, Amariah, Malchiah,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 4] Hattush, Shebaniah, Malluch,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 5] Harim, Merimoth, Obadiah,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 6] Daniel, Ginnethon, Baruch,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 7] Meshullam, Abiiah, Miamin,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 8] Maaziah, Bilgai, Shemaiah: these are the Priestes.
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 9] And the Leuites: Ieshua the sonne of Azaniah, Binnui, of the sonnes of Henadad, Kadmiel.
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 10] And their brethren Shebaniah, Hodiiah, Kelita, Pelaiah, Hanun,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 11] Micha, Rehob, Hashabiah,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 12] Zaccur, Sherebiah, Shebaniah,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 13] Hodiah, Bani, Beninu.
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 14] The chiefe of the people were Parosh, Pahath Moab, Elam, Zattu, Bani,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 15] Bunni, Azgad, Bebai,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 16] Adoniah, Biguai, Adin,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 17] Ater, Hizkiiah, Azzur,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 18] Hodiah, Hashum, Bezai,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 19] Hariph, Anathoth, Nebai,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 20] Magpiash, Meshullam, Hezir,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 21] Meshezabeel, Zadok, Iaddua,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 22] Pelatiah, Hanan, Anaiah,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 23] Hoshea, Hananiah, Hashub,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 24] Hallohesh, Pileha, Shobek,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 25] Rehum, Hashabnah, Maaseiah,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 26] And Ahiiah, Hanan, Anan,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 27] Malluch, Harim, Baanah.
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 28] And the rest of the people, the Priestes, the Leuites, the porters, the singers, the Nethinims, and all that were separated from the people of the landes vnto the Lawe of God, their wiues, their sonnes, and their daughters, all that coulde vnderstande.
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 29] The chiefe of them receiued it for their brethren, and they came to the curse and to the othe to walke in Gods Law, which was giuen by Moses the seruant of God, to obserue and doe all the commandements of the Lord our God, and his iudgements and his statutes:
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 30] And that we would not giue our daughters to the people of the lande, neither take their daughters for our sonnes.
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 31] And if the people of the lande brought ware on the Sabbath, or any vitailes to sell, that we would not take it of them on the Sabbath and on the holy dayes: and that we would let the seuenth yeere be free, and the debtes of euery person.
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 32] And we made statutes for our selues to giue by the yeere the thirde part of a shekel for the seruice of the house of our God,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 33] For the shewbread, and for the daily offring, and for the daily burnt offring, the Sabbaths, the newe moones, for the solemne feastes, and for the thinges that were sanctified, and for the sinne offrings to make an atonement for Israel, and for all the worke of the house of our God.
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 34] We cast also lottes for the offering of the wood, euen the Priestes, the Leuites and the people to bring it into the house of our God, by the house of our fathers, yeerely at the times appointed, to burne it vpon the altar of the Lord our God, as it is written in the Lawe,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 35] And to bring the first fruites of our land, and the first of all the fruites of all trees, yeere by yeere, into the house of the Lord,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 36] And the first borne of our sonnes, and of our cattel, as it is written in the Lawe, and the first borne of our bullockes and of our sheepe, to bring it into the house of our God, vnto ye Priests that minister in the house of our God,
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 37] And that we should bring the first fruite of our dough, and our offrings, and the fruite of euery tree, of wine and of oyle, vnto the Priests, to the chambers of the house of our God: and the tithes of our lande vnto the Leuites, that the Leuites might haue the tithes in all the cities of our trauaile.
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 38] And the Priest, the sonne of Aaron shall be with the Leuites, when ye Leuites take tithes, and the Leuites shall bring vp the tenth parte of the tithes vnto the house of our God, vnto the chambers of the treasure house.
[GNV | EN | OT | Nehemiah | Chapter 10 | Verse 39] For the children of Israel, and the children of Leui shall bring vp the offerings of the corne, of the wine, and of the oyle, vnto the chabers: and there shalbe the vessels of the Sanctuarie, and the Priestes that minister, and the porters, and the fingers, and we will not forsake the house of our God.
