[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 1] But when Sanballat heard that we builded the wall, then was he wroth and sore grieued, and mocked the Iewes,
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 2] And sayde before his brethren and the armie of Samaria, thus he sayde, What doe these weake Iewes? wil they fortifie them selues? wil they sacrifice? will they finish it in a day? will they make the stones whole againe out of the heapes of dust, seeing they are burnt?
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 3] And Tobiah the Ammonite was beside him, and said, Although they buylde, yet if a foxe goe vp, he shall euen breake downe their stonie wall.
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 4] Heare, O our God (for we are despised) and turne their shame vpon their owne head, and giue them vnto a pray in the lande of their captiuitie,
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 5] And couer not their iniquitie, neither let their sinne be put out in thy presence: for they haue prouoked vs before the builders.
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 6] So we built the wall, and all the wall was ioyned vnto the halfe thereof, and the heart of the people was to worke.
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 7] But when Sanballat, and Tobiah, and the Arabians, and the Ammonites, and the Ashdodims heard that the walles of Ierusalem were repayred, (for the breaches began to be stopped) then they were very wroth,
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 8] And conspired all together to come and to fight against Ierusalem, and to hinder them.
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 9] The we prayed vnto our God, and set watchmen by them, day and night, because of them.
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 10] And Iudah said, The strength of the bearers is weakened, and there is much earth, so that we are not able to build the wall.
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 11] Also our aduersaries had sayde, They shall not knowe, neither see, till we come into the middes of them and slay them, and cause the worke to cease.
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 12] But when the Iewes (which dwelt beside them) came, they told vs ten times, From all places whence ye shall returne, they wil be vpon vs.
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 13] Therefore set I in the lower places behind the wall vpon the toppes of the stones, and placed the people by their families, with their swordes, their speares and their bowes.
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 14] Then I behelde, and rose vp, and said vnto the Princes, and to the rulers, and to the rest of the people, Be not afrayde of them: remember the great Lord, and fearefull, and fight for your brethren, your sonnes, and your daughters, your wiues, and your houses.
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 15] And when our enemies heard that it was knowen vnto vs, then God brought their counsell to nought, and we turned all againe to the wall, euery one vnto his worke.
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 16] And from that day, halfe of the yong men did the labour, and the other halfe part of them helde the speares, and shieldes, and bowes, and habergins: and the rulers stoode behinde all the house of Iudah.
[GNV | EN | OT | Nehemiah | Chapter 4 | Verse 17] They that buylded on the wall, and they that bare burdens, and they that laded, did the worke with one hand, and with the other helde the sworde.
