[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 1] Ὁ πρεσβύτερος Γαΐῳ τῷ ἀγαπητῷ, ὃν ἐγὼ ἀγαπῶ ἐν ἀληθείᾳ.
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 2] Ἀγαπητέ, περὶ πάντων εὔχομαί σε εὐοδοῦσθαι καὶ ὑγιαίνειν, καθὼς εὐοδοῦταί σου ἡ ψυχή.
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 3] ἐχάρην γὰρ λίαν ἐρχομένων ἀδελφῶν καὶ μαρτυρούντων σου τῇ ἀληθείᾳ, καθὼς σὺ ἐν ἀληθείᾳ περιπατεῖς.
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 4] μειζοτέραν τούτων οὐκ ἔχω ⸀χαράν, ἵνα ἀκούω τὰ ἐμὰ τέκνα ἐν ⸀τῇ ἀληθείᾳ περιπατοῦντα.
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 5] Ἀγαπητέ, πιστὸν ποιεῖς ὃ ἐὰν ἐργάσῃ εἰς τοὺς ἀδελφοὺς καὶ ⸀τοῦτο ξένους,
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 6] οἳ ἐμαρτύρησάν σου τῇ ἀγάπῃ ἐνώπιον ἐκκλησίας, οὓς καλῶς ποιήσεις προπέμψας ἀξίως τοῦ θεοῦ·
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 7] ὑπὲρ γὰρ τοῦ ὀνόματος ἐξῆλθον μηδὲν λαμβάνοντες ἀπὸ τῶν ⸀ἐθνικῶν.
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 8] ἡμεῖς οὖν ὀφείλομεν ⸀ὑπολαμβάνειν τοὺς τοιούτους, ἵνα συνεργοὶ γινώμεθα τῇ ἀληθείᾳ.
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 9] Ἔγραψά ⸀τι τῇ ἐκκλησίᾳ· ἀλλʼ ὁ φιλοπρωτεύων αὐτῶν Διοτρέφης οὐκ ἐπιδέχεται ἡμᾶς.
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 10] διὰ τοῦτο, ἐὰν ἔλθω, ὑπομνήσω αὐτοῦ τὰ ἔργα ἃ ποιεῖ, λόγοις πονηροῖς φλυαρῶν ἡμᾶς, καὶ μὴ ἀρκούμενος ἐπὶ τούτοις οὔτε αὐτὸς ἐπιδέχεται τοὺς ἀδελφοὺς καὶ τοὺς βουλομένους κωλύει καὶ ἐκ τῆς ἐκκλησίας ἐκβάλλει.
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 11] Ἀγαπητέ, μὴ μιμοῦ τὸ κακὸν ἀλλὰ τὸ ἀγαθόν. ὁ ἀγαθοποιῶν ἐκ τοῦ θεοῦ ἐστιν· ὁ κακοποιῶν οὐχ ἑώρακεν τὸν θεόν.
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 12] Δημητρίῳ μεμαρτύρηται ὑπὸ πάντων καὶ ὑπὸ αὐτῆς τῆς ἀληθείας· καὶ ἡμεῖς δὲ μαρτυροῦμεν, καὶ ⸀οἶδας ὅτι ἡ μαρτυρία ἡμῶν ἀληθής ἐστιν.
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 13] Πολλὰ εἶχον ⸂γράψαι σοι⸃, ἀλλʼ οὐ θέλω διὰ μέλανος καὶ καλάμου σοι ⸀γράφειν·
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 14] ἐλπίζω δὲ εὐθέως ⸂σε ἰδεῖν⸃, καὶ στόμα πρὸς στόμα λαλήσομεν.
[SBLGNT | EL | NT | 3 John | Chapter 1 | Verse 15] Εἰρήνη σοι. ἀσπάζονταί σε οἱ φίλοι. ἀσπάζου τοὺς φίλους κατʼ ὄνομα.
