[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 1] Nebuchadnezzar the king, to all people, nations, and languages, that dwell in all the earth; Peace be multiplied to you.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 2] I thought it good to show the signs and wonders that the high God hath wrought towards me.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 3] How great are his signs! and how mighty are his wonders! his kingdom is an everlasting kingdom, and his dominion is from generation to generation.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 4] I Nebuchadnezzar was at rest in my house, and flourishing in my palace:
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 5] I saw a dream which made me afraid, and the thoughts upon my bed and the visions of my head troubled me.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 6] Therefore I made a decree to bring in all the wise men of Babylon before me, that they might make known to me the interpretation of the dream.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 7] Then came in the magicians, the astrologers, the Chaldeans, and the sooth-sayers: and I told the dream before them; but they did not make known to me the interpretation of it.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 8] But at the last Daniel came in before me, whose name is Belteshazzar, according to the name of my God, and in whom is the spirit of the holy gods: and before him I told the dream, saying ,
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 9] O Belteshazzar, master of the magicians, because I know that the spirit of the holy gods is in thee, and no secret troubleth thee, tell me the visions of my dream that I have seen, and the interpretation of it.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 10] Thus were the visions of my head in my bed; I saw, and behold a tree in the midst of the earth, and its hight was great.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 11] The tree grew, and was strong, and its hight reached to heaven, and the sight of it to the end of all the earth:
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 12] Its leaves were fair, and its fruit abundant, and in it was food for all: the beasts of the field had shade under it, and the fowls of heaven dwelt among its boughs, and all flesh was fed from it.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 13] I saw in the visions of my head upon my bed, and behold, a watcher and a holy one came down from heaven;
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 14] He cried aloud, and said thus, Hew down the tree, and cut off its branches, shake off its leaves, and scatter its fruit: let the beasts escape from under it, and the fowls from its branches.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 15] Nevertheless leave the stump of its roots in the earth, even with a band of iron and brass, in the tender grass of the field; and let it be wet with the dew of heaven, and let its portion be with the beasts in the grass of the earth.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 16] Let his heart be changed from man's, and let a beast's heart be given to him; and let seven times pass over him.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 17] This matter is by the decree of the watchers, and the demand by the word of the holy ones: to the intent that the living may know that the most High ruleth in the kingdom of men, and giveth it to whomsoever he will, and setteth up over it the basest of men.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 18] This dream I king Nebuchadnezzar have seen. Now thou, O Belteshazzar, declare the interpretation of it, forasmuch as all the wise men of my kingdom are not able to make known to me the interpretation: but thou art able; for the spirit of the holy gods is in thee.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 19] Then Daniel, whose name was Belteshazzar, was astonished for one hour, and his thoughts troubled him. The king spoke, and said, Belteshazzar, let not the dream, or the interpretation of it, trouble thee. Belteshazzar answered, and said, My lord, the dream be to them that hate thee, and the interpretation of it to thy enemies.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 20] The tree that thou sawest, which grew, and was strong, whose hight reached to the heaven, and the sight of it to all the earth;
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 21] Whose leaves were fair, and the fruit of it abundant, and in it was food for all; under which the beasts of the field dwelt, and upon whose branches the fowls of heaven had their habitation:
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 22] It is thou, O king, that art grown and become strong: for thy greatness is grown, and reacheth to heaven, and thy dominion to the end of the earth.
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 23] And whereas the king saw a watcher and a holy one coming down from heaven, and saying, Hew the tree down, and destroy it; yet leave the stump of its roots in the earth, even with a band of iron and brass, in the tender grass of the field; and let it be wet with the dew of heaven, and let its portion be with the beasts of the field, till seven times shall pass over him;
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 24] This is the interpretation, O king, and this is the decree of the most High, which is come upon my lord the king:
[WEBSTER | EN | OT | Daniel | Chapter 4 | Verse 25] That they shall drive thee from men, and thy dwelling shall be with the beasts of the field, and they shall make thee to eat grass as oxen, and they shall wet thee with the dew of heaven, and seven times shall pass over thee, till thou shalt know that the most High ruleth in the kingdom of men, and giveth it to whomsoever he will.
