[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 1] Also I, in the first year of Darius the Mede, even I, stood to confirm and to strengthen him.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 2] And now will I show thee the truth. Behold, there shall stand up yet three kings in Persia; and the fourth shall be far richer than they all: and by his strength through his riches he shall stir up all against the realm of Grecia.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 3] And a mighty king shall stand up, that shall rule with great dominion, and do according to his will.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 4] And when he shall stand up, his kingdom shall be broken, and shall be divided towards the four winds of heaven; and not to his posterity, nor according to his dominion which he ruled: for his kingdom shall be plucked up, even for others beside those.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 5] And the king of the south shall be strong, and one of his princes; and he shall be strong above him, and have dominion; his dominion shall be a great dominion.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 6] And in the end of years they shall join themselves together; for the king's daughter of the south shall come to the king of the north to make an agreement: but she shall not retain the power of the arm; neither shall he stand, nor his arm: but she shall be given up, and they that brought her, and he that begat her, and he that strengthened her in these times.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 7] But out of a branch of her roots shall one stand up in his estate, who shall come with an army, and shall enter into the fortress of the king of the north, and shall deal against them, and shall prevail:
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 8] And shall also carry captives into Egypt their gods, with their princes, and with their precious vessels of silver and of gold; and he shall continue more years than the king of the north.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 9] So the king of the south shall come into his kingdom, and shall return into his own land.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 10] But his sons shall be stirred up, and shall assemble a multitude of great forces: and one shall certainly come, and overflow, and pass through: then shall he return, and be stirred up, even to his fortress.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 11] And the king of the south shall be moved with wrath, and shall come forth and fight with him, even with the king of the north: and he shall set forth a great multitude; but the multitude shall be given into his hand.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 12] And when he hath taken away the multitude, his heart shall be lifted up; and he shall cast down many ten thousands: but he shall not be strengthened by it .
