[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 1] Then Esdras rising from the court of the temple went to the chamber of Joanan the son of Eliasib,
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 2] and remained there, and did eat no meat nor drink water, mourning for the great iniquities of the multitude.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 3] And there was a proclamation in all Jewry and Jerusalem to all them that were of the captivity, that they should be gathered together at Jerusalem:
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 4] and that whosoever met not there within two or three days, according as the elders that bare rule appointed, their cattle should be seized to the use of the temple, and himself cast out from them that were of the captivity.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 5] And in three days were all they of the tribe of Judah and Benjamin gathered together at Jerusalem the twentieth day of the ninth month.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 6] And all the multitude sat trembling in the broad court of the temple because of the present foul weather.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 7] So Esdras arose up, and said unto them, Ye have transgressed the law in marrying strange wives, thereby to increase the sins of Israel.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 8] And now by confessing give glory unto the Lord God of our fathers,
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 9] and do his will, and separate yourselves from the heathen of the land, and from the strange women.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 10] Then cried the whole multitude, and said with a loud voice, Like as thou hast spoken, so will we do.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 11] But forasmuch as the people are many, and it is foul weather, so that we cannot stand without, and this is not a work of a day or two, seeing our sin in these things is spread far:
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 12] therefore let the rulers of the multitude stay, and let all them of our habitations that have strange wives come at the time appointed,
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 13] and with them the rulers and judges of every place, till we turn away the wrath of the Lord from us for this matter.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 14] Then Jonathan the son of Azael and Ezechias the son of Theocanus accordingly took this matter upon them: and Mosollam and Levis and Sabbatheus helped them.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 15] And they that were of the captivity did according to all these things.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 16] And Esdras the priest chose unto him the principal men of their families, all by name: and in the first day of the tenth month they sat together to examine the matter.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 17] So their cause that held strange wives was brought to an end in the first day of the first month.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 18] And of the priests that were come together, and had strange wives, there were found;
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 19] of the sons of Jesus the son of Josedec, and his brethren; Matthelas, and Eleazar, and Joribus, and Joadanus.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 20] And they gave their hands to put away their wives, and to offer rams to make reconcilement for their errors.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 21] And of the sons of Emmer; Ananias, and Zabdeus, and Eanes, and Sameius, and Hiereel, and Azarias.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 22] And of the sons of Phaisur; Elionas, Massias, Ismael, and Nathanael, and Ocidelus, and Talsas.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 23] And of the Levites; Jozabad, and Semis, and Colius, who was called Calitas, and Patheus, and Judas, and Jonas.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 24] Of the holy singers; Eleazurus, Bacchurus.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 25] Of the porters; Sallumus, and Tolbanes.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 26] Of them of Israel, of the sons of Phoros; Hiermas, and Eddias, and Melchias, and Maelus, and Eleazar, and Asibias, and Baanias.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 27] Of the sons of Ela; Matthanias, Zacharias, and Hierielus, and Hieremoth, and Aedias.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 28] And of the sons of Zamoth; Eliadas, Elisimus, Othonias, Jarimoth, and Sabatus, and Sardeus.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 29] Of the sons of Bebai; Johannes, and Ananias, and Jozabad, and Amatheis.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 30] Of the sons of Mani; Olamus, Mamuchus, Jedeus, Jasubus, Jasael, and Hieremoth.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 31] And of the sons of Addi; Naathus, and Moosias, Lacunus, and Naidus, and Mathanias, and Sesthel, Balnuus, and Manasseas.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 32] And of the sons of Annas; Elionas, and Aseas, and Melchias, and Sabbeus, and Simon Chosameus.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 33] And of the sons of Asom; Altaneus, and Matthias, and Bannaia, Eliphalat, and Manasses, and Semei.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 34] And of the sons of Maani; Jeremias, Momdis, Omaerus, Juel, Mabdai, and Pelias, and Anos, Carabasion, and Enasibus, and Mamnitanaimus, Eliasis, Bannus, Eliali, Samis, Selemias, Nathanias: and of the sons of Ozora; Sesis, Esril, Azaelus, Samatus, Zambis, Josephus.
