[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 1] The word which came to Jeremiah about all the people of Judah in the fourth year of Jehoiakim, the son of Josiah king of Judah; this was the first year of Nebuchadrezzar, king of Babylon.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 2] This word Jeremiah gave out to all the people of Judah and to those living in Jerusalem, saying,
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 3] From the thirteenth year of Josiah, the son of Amon, king of Judah, even till this day, for twenty-three years, the word of the Lord has been coming to me, and I have given it to you, getting up early and talking to you; but you have not given ear.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 4] And the Lord has sent to you all his servants the prophets, getting up early and sending them; but you have not given attention and your ear has not been open to give hearing;
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 5] Saying, Come back now, everyone from his evil way and from the evil of your doings, and keep your place in the land which the Lord has given to you and to your fathers, from times long past even for ever:
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 6] Do not go after other gods to be their servants and to give them worship, and do not make me angry with the work of your hands, causing evil to yourselves.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 7] But you have not given ear to me, says the Lord; so that you have made me angry with the work of your hands, causing evil to yourselves.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 8] So this is what the Lord of armies has said: Because you have not given ear to my words,
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 9] See, I will send and take all the families of the north, says the Lord, and Nebuchadrezzar, king of Babylon, my servant, and make them come against this land, and against its people, and against all these nations on every side; and I will give them up to complete destruction, and make them a cause of fear and surprise and a waste place for ever.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 10] And more than this, I will take from them the sound of laughing voices, the voice of joy, the voice of the newly-married man, and the voice of the bride, the sound of the stones crushing the grain, and the shining of lights.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 11] All this land will be a waste and a cause of wonder; and these nations will be the servants of the king of Babylon for seventy years.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 12] And it will come about, after seventy years are ended, that I will send punishment on the king of Babylon, and on that nation, says the Lord, for their evil-doing, and on the land of the Chaldaeans; and I will make it a waste for ever.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 13] And I will make that land undergo everything I have said against it, even everything recorded in this book, which Jeremiah the prophet has said against all the nations.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 14] For a number of nations and great kings will make servants of them, even of them: and I will give them the reward of their acts, even the reward of the work of their hands.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 15] For this is what the Lord, the God of Israel, has said to me: Take the cup of the wine of this wrath from my hand, and make all the nations to whom I send you take of it.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 16] And after drinking it, they will go rolling from side to side, and be off their heads, because of the sword which I will send among them.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 17] Then I took the cup from the Lord's hand, and gave a drink from it to all the nations to whom the Lord sent me;
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 18] Jerusalem and the towns of Judah and their kings and their princes, to make them a waste place, a cause of fear and surprise and a curse, as it is this day;
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 19] Pharaoh, king of Egypt, and his servants and his princes and all his people;
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 20] And all the mixed people and all the kings of the land of Uz, and all the kings of the land of the Philistines, and Ashkelon and Gaza and Ekron and the rest of Ashdod;
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 21] Edom and Moab and the children of Ammon,
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 22] And all the kings of Tyre, and all the kings of Zidon, and the kings of the lands across the sea;
