[BSB | EN | OT | Zechariah | Chapter 11 | Verse 1] Open your doors, O Lebanon, that the fire may consume your cedars!
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 2] Wail, O cypress, for the cedar has fallen; the majestic trees are ruined! Wail, O oaks of Bashan, for the dense forest has been cut down!
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 3] Listen to the wailing of the shepherds, for their glory is in ruins. Listen to the roaring of the young lions, for the thickets of the Jordan are destroyed.
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 4] This is what the LORD my God says: “Pasture the flock marked for slaughter,
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 5] whose buyers slaughter them without remorse. Those who sell them say, ‘Blessed be the LORD, for I am rich!’ Even their own shepherds have no compassion on them.
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 6] For I will no longer have compassion on the people of the land, declares the LORD, but behold, I will cause each man to fall into the hands of his neighbor and his king, who will devastate the land, and I will not deliver it from their hands.”
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 7] So I pastured the flock marked for slaughter, especially the afflicted of the flock. Then I took for myself two staffs, calling one Favor and the other Union, and I pastured the flock.
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 8] And in one month I dismissed three shepherds. My soul grew impatient with the flock, and their souls also detested me.
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 9] Then I said, “I will no longer shepherd you. Let the dying die, and the perishing perish; and let those who remain devour one another’s flesh.”
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 10] Next I took my staff called Favor and cut it in two, revoking the covenant I had made with all the nations.
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 11] It was revoked on that day, and so the afflicted of the flock who were watching me knew that it was the word of the LORD.
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 12] Then I told them, “If it seems right to you, give me my wages; but if not, keep them.” So they weighed out my wages, thirty pieces of silver.
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 13] And the LORD said to me, “Throw it to the potter”—this magnificent price at which they valued me. So I took the thirty pieces of silver and threw them to the potter in the house of the LORD.
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 14] Then I cut in two my second staff called Union, breaking the brotherhood between Judah and Israel.
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 15] And the LORD said to me: “Take up once more the equipment of a foolish shepherd.
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 16] For behold, I will raise up a shepherd in the land who will neither care for the lost, nor seek the young, nor heal the broken, nor sustain the healthy, but he will devour the flesh of the choice sheep and tear off their hooves.
[BSB | EN | OT | Zechariah | Chapter 11 | Verse 17] Woe to the worthless shepherd, who deserts the flock! May a sword strike his arm and his right eye! May his arm be completely withered and his right eye utterly blinded!”
