[WEB | EN | OT | Numbers | Chapter 29 | Verse 1] “‘In the seventh month, on the first day of the month, you shall have a holy convocation; you shall do no regular work. It is a day of blowing of trumpets to you.
[WEB | EN | OT | Numbers | Chapter 29 | Verse 2] You shall offer a burnt offering for a pleasant aroma to the LORD: one young bull, one ram, seven male lambs a year old without defect;
[WEB | EN | OT | Numbers | Chapter 29 | Verse 3] and their meal offering, fine flour mixed with oil: three tenths for the bull, two tenths for the ram,
[WEB | EN | OT | Numbers | Chapter 29 | Verse 4] and one tenth for every lamb of the seven lambs;
[WEB | EN | OT | Numbers | Chapter 29 | Verse 5] and one male goat for a sin offering, to make atonement for you;
[WEB | EN | OT | Numbers | Chapter 29 | Verse 6] in addition to the burnt offering of the new moon with its meal offering, and the continual burnt offering with its meal offering, and their drink offerings, according to their ordinance, for a pleasant aroma, an offering made by fire to the LORD.
[WEB | EN | OT | Numbers | Chapter 29 | Verse 7] “‘On the tenth day of this seventh month you shall have a holy convocation. You shall afflict your souls. You shall do no kind of work;
[WEB | EN | OT | Numbers | Chapter 29 | Verse 8] but you shall offer a burnt offering to the LORD for a pleasant aroma: one young bull, one ram, seven male lambs a year old, all without defect;
[WEB | EN | OT | Numbers | Chapter 29 | Verse 9] and their meal offering, fine flour mixed with oil: three tenths for the bull, two tenths for the one ram,
[WEB | EN | OT | Numbers | Chapter 29 | Verse 10] one tenth for every lamb of the seven lambs;
[WEB | EN | OT | Numbers | Chapter 29 | Verse 11] one male goat for a sin offering, in addition to the sin offering of atonement, and the continual burnt offering, and its meal offering, and their drink offerings.
[WEB | EN | OT | Numbers | Chapter 29 | Verse 12] “‘On the fifteenth day of the seventh month you shall have a holy convocation. You shall do no regular work. You shall keep a feast to the LORD seven days.
[WEB | EN | OT | Numbers | Chapter 29 | Verse 13] You shall offer a burnt offering, an offering made by fire, of a pleasant aroma to the LORD: thirteen young bulls, two rams, fourteen male lambs a year old, all without defect;
[WEB | EN | OT | Numbers | Chapter 29 | Verse 14] and their meal offering, fine flour mixed with oil: three tenths for every bull of the thirteen bulls, two tenths for each ram of the two rams,
[WEB | EN | OT | Numbers | Chapter 29 | Verse 15] and one tenth for every lamb of the fourteen lambs;
[WEB | EN | OT | Numbers | Chapter 29 | Verse 16] and one male goat for a sin offering, in addition to the continual burnt offering, its meal offering, and its drink offering.
[WEB | EN | OT | Numbers | Chapter 29 | Verse 17] “‘On the second day you shall offer twelve young bulls, two rams, and fourteen male lambs a year old without defect;
[WEB | EN | OT | Numbers | Chapter 29 | Verse 18] and their meal offering and their drink offerings for the bulls, for the rams, and for the lambs, according to their number, after the ordinance;
[WEB | EN | OT | Numbers | Chapter 29 | Verse 19] and one male goat for a sin offering, in addition to the continual burnt offering, with its meal offering and their drink offerings.
[WEB | EN | OT | Numbers | Chapter 29 | Verse 20] “‘On the third day: eleven bulls, two rams, fourteen male lambs a year old without defect;
[WEB | EN | OT | Numbers | Chapter 29 | Verse 21] and their meal offering and their drink offerings for the bulls, for the rams, and for the lambs, according to their number, after the ordinance;
[WEB | EN | OT | Numbers | Chapter 29 | Verse 22] and one male goat for a sin offering, in addition to the continual burnt offering, and its meal offering, and its drink offering.
[WEB | EN | OT | Numbers | Chapter 29 | Verse 23] “‘On the fourth day ten bulls, two rams, fourteen male lambs a year old without defect;
