[WEB | EN | OT | Numbers | Chapter 7 | Verse 1] On the day that Moses had finished setting up the tabernacle, and had anointed it and sanctified it with all its furniture, and the altar with all its vessels, and had anointed and sanctified them;
[WEB | EN | OT | Numbers | Chapter 7 | Verse 2] the princes of Israel, the heads of their fathers’ houses, gave offerings. These were the princes of the tribes. These are they who were over those who were counted;
[WEB | EN | OT | Numbers | Chapter 7 | Verse 3] and they brought their offering before the LORD, six covered wagons and twelve oxen; a wagon for every two of the princes, and for each one an ox. They presented them before the tabernacle.
[WEB | EN | OT | Numbers | Chapter 7 | Verse 4] The LORD spoke to Moses, saying,
[WEB | EN | OT | Numbers | Chapter 7 | Verse 5] “Accept these from them, that they may be used in doing the service of the Tent of Meeting; and you shall give them to the Levites, to every man according to his service.”
[WEB | EN | OT | Numbers | Chapter 7 | Verse 6] Moses took the wagons and the oxen, and gave them to the Levites.
[WEB | EN | OT | Numbers | Chapter 7 | Verse 7] He gave two wagons and four oxen to the sons of Gershon, according to their service.
[WEB | EN | OT | Numbers | Chapter 7 | Verse 8] He gave four wagons and eight oxen to the sons of Merari, according to their service, under the direction of Ithamar the son of Aaron the priest.
[WEB | EN | OT | Numbers | Chapter 7 | Verse 9] But to the sons of Kohath he gave none, because the service of the sanctuary belonged to them; they carried it on their shoulders.
[WEB | EN | OT | Numbers | Chapter 7 | Verse 10] The princes gave offerings for the dedication of the altar in the day that it was anointed. The princes gave their offerings before the altar.
[WEB | EN | OT | Numbers | Chapter 7 | Verse 11] The LORD said to Moses, “They shall offer their offering, each prince on his day, for the dedication of the altar.”
[WEB | EN | OT | Numbers | Chapter 7 | Verse 12] He who offered his offering the first day was Nahshon the son of Amminadab, of the tribe of Judah,
[WEB | EN | OT | Numbers | Chapter 7 | Verse 13] and his offering was: one silver platter, the weight of which was one hundred thirty shekels, one silver bowl of seventy shekels, according to the shekel of the sanctuary, both of them full of fine flour mixed with oil for a meal offering;
[WEB | EN | OT | Numbers | Chapter 7 | Verse 14] one golden ladle of ten shekels, full of incense;
[WEB | EN | OT | Numbers | Chapter 7 | Verse 15] one young bull, one ram, one male lamb a year old, for a burnt offering;
[WEB | EN | OT | Numbers | Chapter 7 | Verse 16] one male goat for a sin offering;
[WEB | EN | OT | Numbers | Chapter 7 | Verse 17] and for the sacrifice of peace offerings, two head of cattle, five rams, five male goats, and five male lambs a year old. This was the offering of Nahshon the son of Amminadab.
[WEB | EN | OT | Numbers | Chapter 7 | Verse 18] On the second day Nethanel the son of Zuar, prince of Issachar, gave his offering.
[WEB | EN | OT | Numbers | Chapter 7 | Verse 19] He offered for his offering: one silver platter, the weight of which was one hundred thirty shekels, one silver bowl of seventy shekels, according to the shekel of the sanctuary, both of them full of fine flour mixed with oil for a meal offering;
[WEB | EN | OT | Numbers | Chapter 7 | Verse 20] one golden ladle of ten shekels, full of incense;
[WEB | EN | OT | Numbers | Chapter 7 | Verse 21] one young bull, one ram, one male lamb a year old, for a burnt offering;
[WEB | EN | OT | Numbers | Chapter 7 | Verse 22] one male goat for a sin offering;
