[WEB | EN | OT | Numbers | Chapter 16 | Verse 1] Now Korah, the son of Izhar, the son of Kohath, the son of Levi, with Dathan and Abiram, the sons of Eliab, and On, the son of Peleth, sons of Reuben, took some men.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 2] They rose up before Moses, with some of the children of Israel, two hundred fifty princes of the congregation, called to the assembly, men of renown.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 3] They assembled themselves together against Moses and against Aaron, and said to them, “You take too much on yourself, since all the congregation are holy, everyone of them, and the LORD is among them! Why do you lift yourselves up above the LORD’s assembly?”
[WEB | EN | OT | Numbers | Chapter 16 | Verse 4] When Moses heard it, he fell on his face.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 5] He said to Korah and to all his company, “In the morning, the LORD will show who are his, and who is holy, and will cause him to come near to him. Even him whom he shall choose, he will cause to come near to him.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 6] Do this: have Korah and all his company take censers,
[WEB | EN | OT | Numbers | Chapter 16 | Verse 7] put fire in them, and put incense on them before the LORD tomorrow. It shall be that the man whom the LORD chooses, he shall be holy. You have gone too far, you sons of Levi!”
[WEB | EN | OT | Numbers | Chapter 16 | Verse 8] Moses said to Korah, “Hear now, you sons of Levi!
[WEB | EN | OT | Numbers | Chapter 16 | Verse 9] Is it a small thing to you that the God of Israel has separated you from the congregation of Israel, to bring you near to himself, to do the service of the LORD’s tabernacle, and to stand before the congregation to minister to them;
[WEB | EN | OT | Numbers | Chapter 16 | Verse 10] and that he has brought you near, and all your brothers the sons of Levi with you? Do you seek the priesthood also?
[WEB | EN | OT | Numbers | Chapter 16 | Verse 11] Therefore you and all your company have gathered together against the LORD! What is Aaron that you complain against him?”
[WEB | EN | OT | Numbers | Chapter 16 | Verse 12] Moses sent to call Dathan and Abiram, the sons of Eliab; and they said, “We won’t come up!
[WEB | EN | OT | Numbers | Chapter 16 | Verse 13] Is it a small thing that you have brought us up out of a land flowing with milk and honey, to kill us in the wilderness, but you must also make yourself a prince over us?
[WEB | EN | OT | Numbers | Chapter 16 | Verse 14] Moreover you haven’t brought us into a land flowing with milk and honey, nor given us inheritance of fields and vineyards. Will you put out the eyes of these men? We won’t come up.”
[WEB | EN | OT | Numbers | Chapter 16 | Verse 15] Moses was very angry, and said to the LORD, “Don’t respect their offering. I have not taken one donkey from them, neither have I hurt one of them.”
[WEB | EN | OT | Numbers | Chapter 16 | Verse 16] Moses said to Korah, “You and all your company go before the LORD, you, and they, and Aaron, tomorrow.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 17] Each man take his censer and put incense on it, and each man bring before the LORD his censer, two hundred fifty censers; you also, and Aaron, each with his censer.”
[WEB | EN | OT | Numbers | Chapter 16 | Verse 18] They each took his censer, and put fire in it, and laid incense on it, and stood at the door of the Tent of Meeting with Moses and Aaron.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 19] Korah assembled all the congregation opposite them to the door of the Tent of Meeting. The LORD’s glory appeared to all the congregation.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 20] The LORD spoke to Moses and to Aaron, saying,
[WEB | EN | OT | Numbers | Chapter 16 | Verse 21] “Separate yourselves from among this congregation, that I may consume them in a moment!”
[WEB | EN | OT | Numbers | Chapter 16 | Verse 22] They fell on their faces, and said, “God, the God of the spirits of all flesh, shall one man sin, and will you be angry with all the congregation?”
[WEB | EN | OT | Numbers | Chapter 16 | Verse 23] The LORD spoke to Moses, saying,
[WEB | EN | OT | Numbers | Chapter 16 | Verse 24] “Speak to the congregation, saying, ‘Get away from around the tent of Korah, Dathan, and Abiram!’”
[WEB | EN | OT | Numbers | Chapter 16 | Verse 25] Moses rose up and went to Dathan and Abiram; and the elders of Israel followed him.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 26] He spoke to the congregation, saying, “Depart, please, from the tents of these wicked men, and touch nothing of theirs, lest you be consumed in all their sins!”
[WEB | EN | OT | Numbers | Chapter 16 | Verse 27] So they went away from the tent of Korah, Dathan, and Abiram, on every side. Dathan and Abiram came out, and stood at the door of their tents with their wives, their sons, and their little ones.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 28] Moses said, “Hereby you shall know that the LORD has sent me to do all these works; for they are not from my own mind.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 29] If these men die the common death of all men, or if they experience what all men experience, then the LORD hasn’t sent me.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 30] But if the LORD makes a new thing, and the ground opens its mouth, and swallows them up with all that belong to them, and they go down alive into Sheol, then you shall understand that these men have despised the LORD.”
[WEB | EN | OT | Numbers | Chapter 16 | Verse 31] As he finished speaking all these words, the ground that was under them split apart.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 32] The earth opened its mouth and swallowed them up with their households, all of Korah’s men, and all their goods.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 33] So they, and all that belonged to them went down alive into Sheol. The earth closed on them, and they perished from among the assembly.
[WEB | EN | OT | Numbers | Chapter 16 | Verse 34] All Israel that were around them fled at their cry; for they said, “Lest the earth swallow us up!”
[WEB | EN | OT | Numbers | Chapter 16 | Verse 35] Fire came out from the LORD, and devoured the two hundred fifty men who offered the incense.
