[WEB | EN | OT | Numbers | Chapter 10 | Verse 1] The LORD spoke to Moses, saying,
[WEB | EN | OT | Numbers | Chapter 10 | Verse 2] “Make two trumpets of silver. You shall make them of beaten work. You shall use them for the calling of the congregation and for the journeying of the camps.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 3] When they blow them, all the congregation shall gather themselves to you at the door of the Tent of Meeting.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 4] If they blow just one, then the princes, the heads of the thousands of Israel, shall gather themselves to you.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 5] When you blow an alarm, the camps that lie on the east side shall go forward.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 6] When you blow an alarm the second time, the camps that lie on the south side shall go forward. They shall blow an alarm for their journeys.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 7] But when the assembly is to be gathered together, you shall blow, but you shall not sound an alarm.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 8] “The sons of Aaron, the priests, shall blow the trumpets. This shall be to you for a statute forever throughout your generations.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 9] When you go to war in your land against the adversary who oppresses you, then you shall sound an alarm with the trumpets. Then you will be remembered before the LORD your God, and you will be saved from your enemies.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 10] “Also in the day of your gladness, and in your set feasts, and in the beginnings of your months, you shall blow the trumpets over your burnt offerings, and over the sacrifices of your peace offerings; and they shall be to you for a memorial before your God. I am the LORD your God.”
[WEB | EN | OT | Numbers | Chapter 10 | Verse 11] In the second year, in the second month, on the twentieth day of the month, the cloud was taken up from over the tabernacle of the covenant.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 12] The children of Israel went forward on their journeys out of the wilderness of Sinai; and the cloud stayed in the wilderness of Paran.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 13] They first went forward according to the commandment of the LORD by Moses.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 14] First, the standard of the camp of the children of Judah went forward according to their armies. Nahshon the son of Amminadab was over his army.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 15] Nethanel the son of Zuar was over the army of the tribe of the children of Issachar.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 16] Eliab the son of Helon was over the army of the tribe of the children of Zebulun.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 17] The tabernacle was taken down; and the sons of Gershon and the sons of Merari, who bore the tabernacle, went forward.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 18] The standard of the camp of Reuben went forward according to their armies. Elizur the son of Shedeur was over his army.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 19] Shelumiel the son of Zurishaddai was over the army of the tribe of the children of Simeon.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 20] Eliasaph the son of Deuel was over the army of the tribe of the children of Gad.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 21] The Kohathites set forward, bearing the sanctuary. The others set up the tabernacle before they arrived.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 22] The standard of the camp of the children of Ephraim set forward according to their armies. Elishama the son of Ammihud was over his army.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 23] Gamaliel the son of Pedahzur was over the army of the tribe of the children of Manasseh.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 24] Abidan the son of Gideoni was over the army of the tribe of the children of Benjamin.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 25] The standard of the camp of the children of Dan, which was the rear guard of all the camps, set forward according to their armies. Ahiezer the son of Ammishaddai was over his army.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 26] Pagiel the son of Ochran was over the army of the tribe of the children of Asher.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 27] Ahira the son of Enan was over the army of the tribe of the children of Naphtali.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 28] Thus were the travels of the children of Israel according to their armies; and they went forward.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 29] Moses said to Hobab, the son of Reuel the Midianite, Moses’ father-in-law, “We are journeying to the place of which the LORD said, ‘I will give it to you.’ Come with us, and we will treat you well; for the LORD has spoken good concerning Israel.”
[WEB | EN | OT | Numbers | Chapter 10 | Verse 30] He said to him, “I will not go; but I will depart to my own land, and to my relatives.”
[WEB | EN | OT | Numbers | Chapter 10 | Verse 31] Moses said, “Don’t leave us, please; because you know how we are to encamp in the wilderness, and you can be our eyes.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 32] It shall be, if you go with us—yes, it shall be—that whatever good the LORD does to us, we will do the same to you.”
[WEB | EN | OT | Numbers | Chapter 10 | Verse 33] They set forward from the Mount of the LORD three days’ journey. The ark of the LORD’s covenant went before them three days’ journey, to seek out a resting place for them.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 34] The cloud of the LORD was over them by day, when they set forward from the camp.
[WEB | EN | OT | Numbers | Chapter 10 | Verse 35] When the ark went forward, Moses said, “Rise up, LORD, and let your enemies be scattered! Let those who hate you flee before you!”
[WEB | EN | OT | Numbers | Chapter 10 | Verse 36] When it rested, he said, “Return, LORD, to the ten thousands of the thousands of Israel.”
