[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 1] Now Sarai, Abram's wife, bore him no children: and she had a handmaid, an Egyptian, whose name was Hagar.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 2] And Sarai said to Abram, Behold, now, the LORD hath restrained me from bearing: I pray thee go in to my maid; it may be that I may obtain children by her. And Abram hearkened to the voice of Sarai.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 3] And Sarai, Abram's wife, took Hagar her maid, the Egyptian, after Abram had dwelt ten years in the land of Canaan, and gave her to her husband Abram to be his wife.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 4] And he went in to Hagar, and she conceived: and when she saw that she had conceived, her mistress was despised in her eyes.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 5] And Sarai said to Abram, my wrong be upon thee: I have given my maid into thy bosom; and when she saw that she had conceived, I was despised in her eyes: the LORD judge between me and thee.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 6] But Abram said to Sarai, Behold, thy maid is in thy hand; do to her as it pleaseth thee. And when Sarai dealt hardly with her, she fled from her face.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 7] And the angel of the LORD found her by a fountain of water in the wilderness, by the fountain in the way to Shur.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 8] And he said, Hagar, Sarai's maid, whence camest thou? and whither wilt thou go? And she said, I flee from the face of my mistress Sarai.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 9] And the angel of the LORD said to her, Return to thy mistress, and submit thyself under her hands.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 10] And the angel of the LORD said to her, I will multiply thy seed exceedingly, that it shall not be numbered for multitude.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 11] And the angel of the LORD said to her, Behold, thou art with child, and shalt bear a son, and shalt call his name Ishmael; because the LORD hath heard thy affliction.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 12] And he will be a wild man; his hand will be against every man, and every man's hand against him; and he shall dwell in the presence of all his brethren.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 13] And she called the name of the LORD that spoke to her, Thou God seest me: for she said, Have I also here looked after him that seeth me?
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 14] Wherefore the well was called Beer-la-hai-roi; behold, it is between Kadesh and Bered.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 15] And Hagar bore Abram a son: and Abram called his son's name, which Hagar bore, Ishmael.
[WEBSTER | EN | OT | Genesis | Chapter 16 | Verse 16] And Abram was eighty six years old, when Hagar bore Ishmael to Abram.
