[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 1] Then again Abraham took a wife, and her name was Keturah.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 2] And she bore him Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 3] And Jokshan begat Sheba, and Dedan. And the sons of Dedan were Asshurim, and Letushim and Leummim.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 4] And the sons of Midian; Ephah, and Epher, and Hanoch, and Abidah, and Eldaah. All these were the children of Keturah.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 5] And Abraham gave all that he had to Isaac.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 6] But to the sons of the concubines which Abraham had, Abraham gave gifts, and sent them away from Isaac his son (while he yet lived) eastward, to the east country.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 7] And these are the days of the years of Abraham's life which he lived, a hundred and seventy five years.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 8] Then Abraham expired, and died in a good old age, an old man, and full of years; and was gathered to his people.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 9] And his sons Isaac and Ishmael buried him in the cave of Machpelah, in the field of Ephron the son of Zohar the Hittite, which is before Mamre;
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 10] The field which Abraham purchased of the sons of Heth: there was Abraham buried, and Sarah his wife.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 11] And it came to pass after the death of Abraham, that God blessed his son Isaac: and Isaac dwelt by the well Lahai-roi.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 12] Now these are the generations of Ishmael, Abraham's son, whom Hagar the Egyptian, Sarah's handmaid, bore to Abraham.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 13] And these are the names of the sons of Ishmael, by their names, according to their generations: The first-born of Ishmael, Nebajoth; and Kedar, and Adbeel, and Mibsam,
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 14] And Mishma, and Dumah, and Massa,
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 15] Hadar, and Tema, Jetur, Naphish, and Kedemah:
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 16] These are the sons of Ishmael, and these are their names, by their towns, and by their castles; twelve princes according to their nations.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 17] And these are the years of the life of Ishmael; a hundred and thirty and seven years: and he expired and died, and was gathered to his people.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 18] And they dwelt from Havilah to Shur, that is before Egypt, as thou goest towards Assyria: and he died in the presence of all his brethren.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 19] And these are the generations of Isaac, Abraham's son: Abraham begat Isaac:
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 20] And Isaac was forty years old when he took Rebekah to wife, the daughter of Bethuel the Syrian of Padan-aram, the sister to Laban the Syrian.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 21] And Isaac entreated the LORD for his wife, because she was barren: and the LORD was entreated of him, and Rebekah his wife conceived.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 22] And the children struggled together within her: and she said, If it is so, why am I thus? And she went to inquire of the LORD.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 23] And the LORD said to her, Two nations are in thy womb, and two manner of people shall be separated from thy bowels: and the one people shall be stronger than the other people; and the elder shall serve the younger.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 24] And when her days to be delivered were fulfilled, behold, there were twins in her womb.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 25] And the first was born red, all over like a hairy garment: and they called his name Esau.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 26] And after that his brother was born, and his hand took hold on Esau's heel; and his name was called Jacob: and Isaac was sixty years old when she bore them.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 27] And the boys grew: and Esau was a skillful hunter, a man of the field; and Jacob was a plain man dwelling in tents.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 28] And Isaac loved Esau, because he ate of his venison: but Rebekah loved Jacob.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 29] And Jacob boiled pottage: and Esau came from the field, and he was faint.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 30] And Esau said to Jacob, Feed me, I pray thee, with that same red pottage; for I am faint: therefore was his name called Edom.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 31] And Jacob said, Sell to me this day thy birth-right.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 32] And Esau said, Behold, I am at the point to die: and what profit shall this birth-right bring to me?
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 33] And Jacob said, Swear to me this day; and he swore to him: and he sold his birth-right to Jacob.
[WEBSTER | EN | OT | Genesis | Chapter 25 | Verse 34] Then Jacob gave Esau bread and pottage of lentiles; and he ate and drank, and rose and went his way: thus Esau despised his birth-right.
