[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 1] Now these are the generations of Esau, who is Edom.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 2] Esau took his wives of the daughters of Canaan; Adah the daughter of Elon the Hittite, and Aholibamah the daughter of Anah the daughter of Zibeon the Hivite;
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 3] And Bashemath, Ishmael's daughter, sister of Nebajoth.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 4] And Adah bore to Esau, Eliphaz; and Bashemath bore Reuel;
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 5] And Aholibamah bore Jeush, and Jaalam, and Korah: These are the sons of Esau, who were born to him in the land of Canaan.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 6] And Esau took his wives, and his sons, and his daughters, and all the persons of his house, and his cattle, and all his beasts, and all his substance which he had acquired in the land of Canaan; and went into the country from the face of his brother Jacob.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 7] For their riches were more than that they might dwell together: and the land wherein they were strangers could not sustain them, because of their cattle.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 8] Thus dwelt Esau in mount Seir: Esau is Edom.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 9] And these are the generations of Esau the father of the Edomites, in mount Seir:
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 10] These are the names of Esau's sons; Eliphaz the son of Adah the wife of Esau, Reuel the son of Bashemath the wife of Esau.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 11] And the sons of Eliphaz were, Teman, Omar, Zepho, and Gatam, and Kenaz.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 12] And Timna was concubine to Eliphaz Esau's son; and she bore to Eliphaz Amalek: these were the sons of Adah Esau's wife.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 13] And these are the sons of Reuel; Nahath, and Zerah, Shammah, and Mizzah: these were the sons of Bashemath Esau's wife.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 14] And these were the sons of Aholibamah, the daughter of Anah, the daughter of Zibeon Esau's wife: and she bore to Esau, Jeush, and Jaalam, and Korah.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 15] These were dukes of the sons of Esau: the sons of Eliphaz the first-born son of Esau; duke Teman, duke Omar, duke Zepho, duke Kenaz,
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 16] Duke Korah, duke Gatam, and duke Amalek: these are the dukes, descendants of Eliphaz, in the land of Edom: these were the sons of Adah.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 17] And these are the sons of Reuel Esau's son; duke Nahath, duke Zerah, duke Shammah, duke Mizzah: these are the dukes, descendants of Reuel, in the land of Edom: these are the sons of Bashemath Esau's wife.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 18] And these are the sons of Aholibamah Esau's wife; duke Jeush, duke Jaalam, duke Korah: these were the dukes, descendants of Aholibamah the daughter of Anah Esau's wife.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 19] These are the sons of Esau (who is Edom) and these are their dukes.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 20] These are the sons of Seir the Horite, who inhabited the land; Lotan, and Shobal, and Zibeon, and Anah.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 21] And Dishon, and Ezer, and Dishan: these are the dukes of the Horites, the children of Seir in the land of Edom.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 22] And the children of Lotan were Hori, and Heman: and Lotan's sister was Timna.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 23] And the children of Shobal were these; Alvan, and Manahath, and Ebal, Shepho, and Onam.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 24] And these are the children of Zibeon; both Ajah and Anah; this was that Anah that found the mules in the wilderness, as he fed the asses of Zibeon his father.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 25] And the children of Anah were these; Dishon, and Aholibamah the daughter of Anah.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 26] And these are the children of Dishon; Hemdan, and Eshban, and Ithran, and Cheran.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 27] The children of Ezer are these; Bilhan, and Zaavan, and Achan.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 28] The children of Dishan are these; Uz, and Aran.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 29] These are the dukes, descendants of the Horites; duke Lotan, duke Shobal, duke Zibeon, duke Anah,
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 30] Duke Dishon, duke Ezer, duke Dishan; these are the dukes, descendants of Hori, among their dukes in the land of Seir.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 31] And these are the kings that reigned in the land of Edom, before there reigned any king over the children of Israel.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 32] And Bela the son of Beor reigned in Edom: and the name of his city was Dinhabah.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 33] And Bela died, and Jobab the son of Zerah of Bozrah reigned in his stead.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 34] And Jobab died, and Husham of the land of Temani reigned in his stead.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 35] And Husham died, and Hadad the son of Bedad (who smote Midian in the field of Moab) reigned in his stead: and the name of his city was Avith.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 36] And Hadad died, and Samlah of Masrekah reigned in his stead.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 37] And Samlah died, and Saul of Rehoboth by the river reigned in his stead.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 38] And Saul died, and Baal-hanan the son of Achbor reigned in his stead.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 39] And Baal-hanan the son of Achbor died, and Hadar reigned in his stead; and the name of his city was Pau; and his wife's name was Mehetabel, the daughter of Matred, the daughter of Mezahab.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 40] And these are the names of the dukes, descendants of Esau, according to their families, after their places, by their names; duke Timnah, duke Alvah, duke Jetheth,
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 41] Duke Aholibamah, duke Elah, duke Pinon,
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 42] Duke Kenaz, duke Teman, duke Mibzar.
[WEBSTER | EN | OT | Genesis | Chapter 36 | Verse 43] Duke Magdiel, duke Iram; these are the dukes of Edom, according to their habitations, in the land of their possession: he is Esau the father of the Edomites.
