[YLT | EN | OT | Isaiah | Chapter 37 | Verse 1] And it cometh to pass, at the king Hezekiah's hearing, that he rendeth his garments, and covereth himself with sackcloth, and entereth the house of Jehovah,
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 2] and sendeth Eliakim, who [is] over the house, and Shebna the scribe, and the elders of the priests, covering themselves with sackcloth, unto Isaiah son of Amoz the prophet,
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 3] and they say unto him, 'Thus said Hezekiah, A day of distress, and rebuke, and despising, [is] this day; for come have sons unto the birth, and power there is not to bear.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 4] 'It may be Jehovah thy God doth hear the words of Rabshakeh with which the king of Asshur his lord hath sent him to reproach the living God, and hath decided concerning the words that Jehovah thy God hath heard, and thou hast lifted up prayer for the remnant that is found.'
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 5] And the servants of king Hezekiah come in unto Isaiah,
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 6] and Isaiah saith unto them, 'Thus do ye say unto your lord, Thus said Jehovah, Be not afraid because of the words that thou hast heard, with which the servants of the king of Asshur have reviled Me.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 7] Lo, I am giving in him a spirit, and he hath heard a report, and hath turned back unto his land, and I have caused him to fall by the sword in his land.'
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 8] And Rabshakeh turneth back and findeth the king of Asshur fighting against Libnah, for he hath heard that he hath journeyed from Lachish.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 9] And he heareth concerning Tirhakah king of Cush, saying, 'He hath come out to fight with thee;' and he heareth, and sendeth messengers unto Hezekiah, saying,
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 10] 'Thus do ye speak unto Hezekiah king of Judah, saying, Let not thy God lift thee up in whom thou art trusting, saying, Jerusalem is not given into the hand of the king of Asshur.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 11] Lo, thou hast heard that which the kings of Asshur have done to all the lands — to devote them — and thou art delivered!
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 12] Did the gods of the nations deliver them whom my fathers destroyed — Gozan, and Haran, and Rezeph, and the sons of Eden, who [are] in Telassar?
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 13] Where [is] the king of Hamath, and the king of Arpad, and the king of the city of Sepharvaim, Hena, and Ivvah?'
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 14] And Hezekiah taketh the letters out of the hand of the messengers, and readeth them, and Hezekiah goeth up to the house of Jehovah, and Hezekiah spreadeth it before Jehovah.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 15] And Hezekiah prayeth unto Jehovah, saying,
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 16] 'Jehovah of Hosts, God of Israel, inhabiting the cherubs, Thou [art] God Himself — Thyself alone — to all kingdoms of the earth, Thou hast made the heavens and the earth.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 17] Incline, O Jehovah, Thine ear, and hear; open, O Jehovah, Thine eyes and see; and hear Thou all the words of Sennacherib that he hath sent to reproach the living God.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 18] 'Truly, O Jehovah, kings of Asshur have laid waste all the lands and their land,
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 19] so as to put their gods into fire — for they [are] no gods, but work of the hands of man, wood and stone — and they destroy them.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 20] And now, Jehovah our God, save us from his hand, and all kingdoms of the earth do know that Thou [art] Jehovah, Thyself alone.'
