[IRV | GU | OT | Micah | Chapter 5 | Verse 1] હે યરુશાલેમ, હવે તું તારા સૈન્ય સહિત એકત્ર થશે. તેણે નગરની આસપાસ ઘેરો ઘાલ્યો છે; તેઓ ઇઝરાયલના ન્યાયાધીશ પર પ્રહાર કરશે, ગાલ પર સોટી વડે મારશે.
[IRV | GU | OT | Micah | Chapter 5 | Verse 2] હે બેથલેહેમ એફ્રાથા, જો કે તું યહૂદાના કુળો મધ્યે વિસાત વગરનું છે, પણ ઇઝરાયલમાં રાજ કરવા, તારામાંથી એક રાજકર્તા ઉત્પન્ન થશે, તે મારી પાસે આવશે, જેનો પ્રારંભ પ્રાચીન કાળથી, અનંતકાળથી છે.
[IRV | GU | OT | Micah | Chapter 5 | Verse 3] એ માટે જે પ્રસવ વેદનાથી પીડાય છે તેને બાળકો થશે, તે સમયથી યહોવાહ પોતાના લોકોનો ત્યાગ કરશે, પછી તેના બાકી રહેલા ઇઝરાયલ લોકોની પાસે તે પાછા આવશે.
[IRV | GU | OT | Micah | Chapter 5 | Verse 4] યહોવાહના સામર્થ્યથી તથા પોતાના ઈશ્વર યહોવાહના નામના પ્રતાપથી તે પુરુષ ઊભો રહીને પોતાના ટોળાનું પાલન કરશે. તેઓ કાયમ રહેશે, કેમ કે હવે તે પૃથ્વીના છેડા સુધી મોટો ગણાશે.
[IRV | GU | OT | Micah | Chapter 5 | Verse 5] તે આપણી શાંતિ થશે. જ્યારે આશ્શૂરીઓનું સૈન્ય આપણા દેશમાં આવશે, જ્યારે તેઓ આપણા કિલ્લાઓ ઉપર કૂચ કરશે, ત્યારે આપણે તેની વિરુદ્ધ સાત પાળકોને તથા આઠ આગેવાનોને ઊભા કરીશું.
[IRV | GU | OT | Micah | Chapter 5 | Verse 6] આ માણસો આશ્શૂરના દેશ પર તલવારથી, નિમ્રોદના દેશ પર તેઓના હાથોમાંની તલવારોથી શાસન કરશે. જ્યારે તેઓ આપણા દેશમાં આવીને, આપણી સરહદોમાં ફરશે, ત્યારે તે આપણને આશ્શૂરથી બચાવશે.
[IRV | GU | OT | Micah | Chapter 5 | Verse 7] ત્યારે યાકૂબના બચેલા ઘણાં લોકો મધ્યે યહોવાહે મોકલેલા ઝાકળ જેવા, ઘાસ ઉપર વરસતા વરસાદ જેવા થશે. તેઓ મનુષ્ય માટે રોકાતા નથી, કે માનવજાત માટે રાહ જોતા નથી.
[IRV | GU | OT | Micah | Chapter 5 | Verse 8] યાકૂબના બચેલા ઘણી પ્રજાઓ મધ્યે, ઘણાં લોકો મધ્યે, જંગલી પશુઓ મધ્યે સિંહના જેવા, ઘેટાંના ટોળાંમાં જુવાન સિંહના બચ્ચા જેવા થશે. જ્યારે તે તેઓમાં થઈને જાય છે, ત્યારે તે તેઓને કચડી નાખીને ટુકડા કરી દે છે, તેમને છોડાવનાર કોઈ હોતું નથી.
[IRV | GU | OT | Micah | Chapter 5 | Verse 9] તારા શત્રુઓ વિરુદ્ધ તારો હાથ ઊઠશે, તે હાથ તેઓનો નાશ કરશે.
[IRV | GU | OT | Micah | Chapter 5 | Verse 10] “વળી યહોવાહ કહે છે કે, તે દિવસે એવું થશે કે,” “હું તારા ઘોડાઓનો નાશ કરીશ અને તારા રથોને તોડી નાખીશ.
[IRV | GU | OT | Micah | Chapter 5 | Verse 11] હું તારા દેશના નગરોનો નાશ કરીશ, તારા સર્વ કિલ્લાઓને તોડી પાડીશ.
[IRV | GU | OT | Micah | Chapter 5 | Verse 12] હું તારા હાથની જાદુક્રિયાનો નાશ કરીશ, અને હવે પછી તારામાં ભવિષ્ય બતાવનાર કોઈ રહેશે નહિ.
[IRV | GU | OT | Micah | Chapter 5 | Verse 13] હું તારી સર્વ કોતરેલી મૂર્તિઓનો અને તારામાંથી ભજનસ્તંભોનો નાશ કરીશ. તું ફરીથી તારા હાથની કારીગરીની ભક્તિ કરશે નહિ.
[IRV | GU | OT | Micah | Chapter 5 | Verse 14] હું તારામાંથી અશેરીમ દેવીને ઉખેડી નાખીશ; તારાં નગરોનો તથા મૂર્તિઓનો નાશ કરીશ.
