[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 1] I exhort therefore, first of all, that supplications, prayers, intercessions, thanksgivings be made for all men;
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 2] for kings and all that are in dignity, that we may lead a quiet and tranquil life in all piety and gravity;
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 3] for this is good and acceptable before our Saviour God,
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 4] who desires that all men should be saved and come to [the] knowledge of [the] truth.
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 5] For God is one, and [the] mediator of God and men one, [the] man Christ Jesus,
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 6] who gave himself a ransom for all, the testimony [to be rendered] in its own times;
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 7] to which I have been appointed a herald and apostle, (I speak [the] truth, I do not lie,) a teacher of [the] nations in faith and truth.
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 8] I will therefore that the men pray in every place, lifting up pious hands, without wrath or reasoning.
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 9] In like manner also that the women in decent deportment and dress adorn themselves with modesty and discretion, not with plaited [hair] and gold, or pearls, or costly clothing,
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 10] but, what becomes women making profession of the fear of God, by good works.
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 11] Let a woman learn in quietness in all subjection;
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 12] but I do not suffer a woman to teach nor to exercise authority over man, but to be in quietness;
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 13] for Adam was formed first, then Eve:
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 14] and Adam was not deceived; but the woman, having been deceived, was in transgression.
[DARBY | EN | NT | 1 Timothy | Chapter 2 | Verse 15] But she shall be preserved in childbearing, if they continue in faith and love and holiness with discretion.
